"Isolation","Trait_A","Trait_B","Observed_PP","Percent_PP"
"Pathogenic","L-Arabinose","Growth at 37°C",29,0.734
"Pathogenic","D-Arabinose","Growth at 25°C",29,0.472
"Pathogenic","D-Arabinose","Growth at 37°C",22,0.63
"Pathogenic","D-Ribose","Growth at 25°C",42,0.609
"Pathogenic","D-Ribose","Growth at 37°C",30,0.645
"Pathogenic","Methanol","Growth at 25°C",5,0.42
"Pathogenic","Methanol","Growth at 37°C",4,0.629
"Pathogenic","Ethanol","Growth at 25°C",79,0.728
"Pathogenic","Ethanol","Growth at 37°C",59,0.992
"Pathogenic","Glycerol","Growth at 25°C",80,0.779
"Pathogenic","Glycerol","Growth at 37°C",58,0.981
"Pathogenic","Erythritol","Growth at 25°C",28,0.575
"Pathogenic","Erythritol","Growth at 37°C",17,0.347
"Pathogenic","Ribitol","Growth at 25°C",55,0.549
"Pathogenic","Ribitol","Growth at 37°C",39,0.732
"Pathogenic","Galactitol","Growth at 25°C",17,0.704
"Pathogenic","Galactitol","Growth at 37°C",12,0.534
"Pathogenic","D-Mannitol","Growth at 25°C",67,0.346
"Pathogenic","D-Mannitol","Growth at 37°C",49,0.892
"Pathogenic","D-Glucitol","Growth at 25°C",70,0.573
"Pathogenic","D-Glucitol","Growth at 37°C",49,0.883
"Pathogenic","myo-Inositol","Growth at 25°C",9,0.547
"Pathogenic","myo-Inositol","Growth at 37°C",7,0.607
"Pathogenic","DL-Lactate","Growth at 25°C",50,0.773
"Pathogenic","DL-Lactate","Growth at 37°C",39,0.987
"Pathogenic","Succinate","Growth at 25°C",79,0.848
"Pathogenic","Succinate","Growth at 37°C",57,0.973
"Pathogenic","Citrate","Growth at 25°C",66,0.902
"Pathogenic","Citrate","Growth at 37°C",48,0.964
"Pathogenic","D-Gluconate","Growth at 25°C",63,0.912
"Pathogenic","D-Gluconate","Growth at 37°C",43,0.917
"Pathogenic","D-Glucosamine","Growth at 25°C",38,0.602
"Pathogenic","D-Glucosamine","Growth at 37°C",27,0.679
"Pathogenic","Nitrate","Growth at 25°C",11,0.138
"Pathogenic","Nitrate","Growth at 37°C",9,0.394
"Pathogenic","Vitamin-free","Growth at 25°C",19,0.426
"Pathogenic","Vitamin-free","Growth at 37°C",12,0.393
"Pathogenic","2-Keto-D-gluconate","Growth at 25°C",46,0.696
"Pathogenic","2-Keto-D-gluconate","Growth at 37°C",32,0.753
"Pathogenic","Starch formation","Growth at 25°C",6,0.214
"Pathogenic","Starch formation","Growth at 37°C",5,0.504
"Pathogenic","Growth at 19°C","Growth at 25°C",85,0.783
"Pathogenic","Growth at 19°C","Growth at 37°C",61,0.984
"Pathogenic","Growth at 25°C","Growth at 30°C",87,0.956
"Pathogenic","Growth at 25°C","Growth at 37°C",66,1
"Pathogenic","Growth at 30°C","Growth at 37°C",66,1
"Clinical","Glucose_F","Glucose",68,1
"Clinical","Glucose_F","Glycerol",59,1
"Clinical","Glucose_F","Succinate",59,1
"Clinical","Glucose_F","Citrate",49,1
"Clinical","Glucose_F","Growth at 19°C",63,1
"Clinical","Glucose_F","Growth at 25°C",68,1
"Clinical","Glucose_F","Growth at 30°C",65,1
"Clinical","Galactose_F","Glucose",31,1
"Clinical","Galactose_F","Glycerol",30,1
"Clinical","Galactose_F","Succinate",31,1
"Clinical","Galactose_F","Citrate",24,1
"Clinical","Galactose_F","Growth at 19°C",31,1
"Clinical","Galactose_F","Growth at 25°C",31,1
"Clinical","Galactose_F","Growth at 30°C",31,1
"Clinical","Sucrose_F","Glucose",30,1
"Clinical","Sucrose_F","Glycerol",29,1
"Clinical","Sucrose_F","Succinate",30,1
"Clinical","Sucrose_F","Citrate",28,1
"Clinical","Sucrose_F","Growth at 19°C",30,1
"Clinical","Sucrose_F","Growth at 25°C",30,1
"Clinical","Sucrose_F","Growth at 30°C",29,1
"Clinical","Maltose_F","Glucose",22,1
"Clinical","Maltose_F","Glycerol",22,1
"Clinical","Maltose_F","Succinate",22,1
"Clinical","Maltose_F","Citrate",20,1
"Clinical","Maltose_F","Growth at 19°C",22,1
"Clinical","Maltose_F","Growth at 25°C",22,1
"Clinical","Maltose_F","Growth at 30°C",21,1
"Clinical","Lactose_F","Glucose",1,0.987
"Clinical","Lactose_F","Glycerol",1,0.987
"Clinical","Lactose_F","Succinate",1,0.987
"Clinical","Lactose_F","Citrate",1,0.99
"Clinical","Lactose_F","Growth at 19°C",1,0.987
"Clinical","Lactose_F","Growth at 25°C",1,0.987
"Clinical","Lactose_F","Growth at 30°C",1,0.987
"Clinical","Raffinose_F","Glucose",20,1
"Clinical","Raffinose_F","Glycerol",19,1
"Clinical","Raffinose_F","Succinate",20,1
"Clinical","Raffinose_F","Citrate",18,1
"Clinical","Raffinose_F","Growth at 19°C",20,1
"Clinical","Raffinose_F","Growth at 25°C",20,1
"Clinical","Raffinose_F","Growth at 30°C",20,1
"Clinical","Trehalose_F","Glucose",31,1
"Clinical","Trehalose_F","Glycerol",31,1
"Clinical","Trehalose_F","Succinate",28,1
"Clinical","Trehalose_F","Citrate",25,1
"Clinical","Trehalose_F","Growth at 19°C",31,1
"Clinical","Trehalose_F","Growth at 25°C",31,1
"Clinical","Trehalose_F","Growth at 30°C",30,1
"Clinical","Glucose","Inulin",11,1
"Clinical","Glucose","Sucrose",49,1
"Clinical","Glucose","Raffinose",32,1
"Clinical","Glucose","Melibiose",14,1
"Clinical","Glucose","Galactose",62,1
"Clinical","Glucose","Lactose",13,1
"Clinical","Glucose","Trehalose",58,1
"Clinical","Glucose","Maltose",49,1
"Clinical","Glucose","Melezitose",44,1
"Clinical","Glucose","Methyl-?-D-glucoside",44,1
"Clinical","Glucose","Soluble Starch",30,1
"Clinical","Glucose","Cellobiose",53,1
"Clinical","Glucose","Salicin",53,1
"Clinical","Glucose","L-Sorbose",52,1
"Clinical","Glucose","L-Rhamnose",28,1
"Clinical","Glucose","D-Xylose",62,1
"Clinical","Glucose","L-Arabinose",41,1
"Clinical","Glucose","D-Arabinose",29,1
"Clinical","Glucose","D-Ribose",42,1
"Clinical","Glucose","Methanol",5,1
"Clinical","Glucose","Ethanol",79,1
"Clinical","Glucose","Glycerol",80,1
"Clinical","Glucose","Erythritol",28,1
"Clinical","Glucose","Ribitol",55,1
"Clinical","Glucose","Galactitol",17,1
"Clinical","Glucose","D-Mannitol",67,1
"Clinical","Glucose","D-Glucitol",70,1
"Clinical","Glucose","myo-Inositol",9,1
"Clinical","Glucose","DL-Lactate",50,1
"Clinical","Glucose","Succinate",79,1
"Clinical","Glucose","Citrate",66,1
"Clinical","Glucose","D-Gluconate",63,1
"Clinical","Glucose","D-Glucosamine",38,1
"Clinical","Glucose","Nitrate",11,1
"Clinical","Glucose","Vitamin-free",19,1
"Clinical","Glucose","2-Keto-D-gluconate",46,1
"Clinical","Glucose","Starch formation",6,1
"Clinical","Glucose","Growth at 19°C",85,1
"Clinical","Glucose","Growth at 25°C",90,1
"Clinical","Glucose","Growth at 30°C",87,1
"Clinical","Glucose","Growth at 37°C",66,1
"Clinical","Inulin","Glycerol",11,1
"Clinical","Inulin","Succinate",11,1
"Clinical","Inulin","Citrate",10,1
"Clinical","Inulin","Growth at 19°C",11,1
"Clinical","Inulin","Growth at 25°C",11,1
"Clinical","Inulin","Growth at 30°C",10,1
"Clinical","Sucrose","Glycerol",48,1
"Clinical","Sucrose","Succinate",47,1
"Clinical","Sucrose","Citrate",45,1
"Clinical","Sucrose","Growth at 19°C",49,1
"Clinical","Sucrose","Growth at 25°C",49,1
"Clinical","Sucrose","Growth at 30°C",47,1
"Clinical","Raffinose","Glycerol",31,1
"Clinical","Raffinose","Succinate",31,1
"Clinical","Raffinose","Citrate",29,1
"Clinical","Raffinose","Growth at 19°C",32,1
"Clinical","Raffinose","Growth at 25°C",32,1
"Clinical","Raffinose","Growth at 30°C",30,1
"Clinical","Melibiose","Glycerol",14,1
"Clinical","Melibiose","Succinate",14,1
"Clinical","Melibiose","Citrate",14,1
"Clinical","Melibiose","Growth at 19°C",14,1
"Clinical","Melibiose","Growth at 25°C",14,1
"Clinical","Melibiose","Growth at 30°C",12,1
"Clinical","Galactose","Glycerol",61,1
"Clinical","Galactose","Succinate",60,1
"Clinical","Galactose","Citrate",51,1
"Clinical","Galactose","Growth at 19°C",62,1
"Clinical","Galactose","Growth at 25°C",62,1
"Clinical","Galactose","Growth at 30°C",60,1
"Clinical","Lactose","Glycerol",13,1
"Clinical","Lactose","Succinate",13,1
"Clinical","Lactose","Citrate",13,1
"Clinical","Lactose","Growth at 19°C",13,1
"Clinical","Lactose","Growth at 25°C",13,1
"Clinical","Lactose","Growth at 30°C",12,1
"Clinical","Trehalose","Glycerol",56,1
"Clinical","Trehalose","Succinate",54,1
"Clinical","Trehalose","Citrate",47,1
"Clinical","Trehalose","Growth at 19°C",58,1
"Clinical","Trehalose","Growth at 25°C",58,1
"Clinical","Trehalose","Growth at 30°C",55,1
"Clinical","Maltose","Glycerol",48,1
"Clinical","Maltose","Succinate",47,1
"Clinical","Maltose","Citrate",44,1
"Clinical","Maltose","Growth at 19°C",49,1
"Clinical","Maltose","Growth at 25°C",49,1
"Clinical","Maltose","Growth at 30°C",47,1
"Clinical","Melezitose","Glycerol",43,1
"Clinical","Melezitose","Succinate",42,1
"Clinical","Melezitose","Citrate",41,1
"Clinical","Melezitose","Growth at 19°C",44,1
"Clinical","Melezitose","Growth at 25°C",44,1
"Clinical","Melezitose","Growth at 30°C",42,1
"Clinical","Methyl-?-D-glucoside","Glycerol",43,1
"Clinical","Methyl-?-D-glucoside","Succinate",42,1
"Clinical","Methyl-?-D-glucoside","Citrate",42,1
"Clinical","Methyl-?-D-glucoside","Growth at 19°C",44,1
"Clinical","Methyl-?-D-glucoside","Growth at 25°C",44,1
"Clinical","Methyl-?-D-glucoside","Growth at 30°C",42,1
"Clinical","Soluble Starch","Glycerol",30,1
"Clinical","Soluble Starch","Succinate",28,1
"Clinical","Soluble Starch","Citrate",28,1
"Clinical","Soluble Starch","Growth at 19°C",30,1
"Clinical","Soluble Starch","Growth at 25°C",30,1
"Clinical","Soluble Starch","Growth at 30°C",28,1
"Clinical","Cellobiose","Glycerol",48,1
"Clinical","Cellobiose","Succinate",48,1
"Clinical","Cellobiose","Citrate",46,1
"Clinical","Cellobiose","Growth at 19°C",53,1
"Clinical","Cellobiose","Growth at 25°C",53,1
"Clinical","Cellobiose","Growth at 30°C",50,1
"Clinical","Salicin","Glycerol",49,1
"Clinical","Salicin","Succinate",48,1
"Clinical","Salicin","Citrate",46,1
"Clinical","Salicin","Growth at 19°C",53,1
"Clinical","Salicin","Growth at 25°C",53,1
"Clinical","Salicin","Growth at 30°C",50,1
"Clinical","L-Sorbose","Glycerol",52,1
"Clinical","L-Sorbose","Succinate",51,1
"Clinical","L-Sorbose","Citrate",44,1
"Clinical","L-Sorbose","Growth at 19°C",52,1
"Clinical","L-Sorbose","Growth at 25°C",52,1
"Clinical","L-Sorbose","Growth at 30°C",50,1
"Clinical","L-Rhamnose","Glycerol",27,1
"Clinical","L-Rhamnose","Succinate",26,1
"Clinical","L-Rhamnose","Citrate",25,1
"Clinical","L-Rhamnose","Growth at 19°C",28,1
"Clinical","L-Rhamnose","Growth at 25°C",28,1
"Clinical","L-Rhamnose","Growth at 30°C",26,1
"Clinical","D-Xylose","Glycerol",61,1
"Clinical","D-Xylose","Succinate",60,1
"Clinical","D-Xylose","Citrate",53,1
"Clinical","D-Xylose","Growth at 19°C",62,1
"Clinical","D-Xylose","Growth at 25°C",62,1
"Clinical","D-Xylose","Growth at 30°C",60,1
"Clinical","L-Arabinose","Glycerol",40,1
"Clinical","L-Arabinose","Succinate",39,1
"Clinical","L-Arabinose","Citrate",36,1
"Clinical","L-Arabinose","Growth at 19°C",41,1
"Clinical","L-Arabinose","Growth at 25°C",41,1
"Clinical","L-Arabinose","Growth at 30°C",39,1
"Clinical","D-Arabinose","Glycerol",29,1
"Clinical","D-Arabinose","Succinate",28,1
"Clinical","D-Arabinose","Citrate",25,1
"Clinical","D-Arabinose","Growth at 19°C",29,1
"Clinical","D-Arabinose","Growth at 25°C",29,1
"Clinical","D-Arabinose","Growth at 30°C",29,1
"Clinical","D-Ribose","Glycerol",42,1
"Clinical","D-Ribose","Succinate",41,1
"Clinical","D-Ribose","Citrate",37,1
"Clinical","D-Ribose","Growth at 19°C",42,1
"Clinical","D-Ribose","Growth at 25°C",42,1
"Clinical","D-Ribose","Growth at 30°C",40,1
"Clinical","Methanol","Glycerol",3,1
"Clinical","Methanol","Succinate",4,1
"Clinical","Methanol","Citrate",2,0.994
"Clinical","Methanol","Growth at 19°C",5,1
"Clinical","Methanol","Growth at 25°C",5,1
"Clinical","Methanol","Growth at 30°C",5,1
"Clinical","Ethanol","Glycerol",74,1
"Clinical","Ethanol","Succinate",74,1
"Clinical","Ethanol","Citrate",62,1
"Clinical","Ethanol","Growth at 19°C",75,1
"Clinical","Ethanol","Growth at 25°C",79,1
"Clinical","Ethanol","Growth at 30°C",76,1
"Clinical","Glycerol","Erythritol",28,1
"Clinical","Glycerol","Ribitol",54,1
"Clinical","Glycerol","Galactitol",17,1
"Clinical","Glycerol","D-Mannitol",67,1
"Clinical","Glycerol","D-Glucitol",69,1
"Clinical","Glycerol","myo-Inositol",9,1
"Clinical","Glycerol","DL-Lactate",48,1
"Clinical","Glycerol","Succinate",76,1
"Clinical","Glycerol","Citrate",66,1
"Clinical","Glycerol","D-Gluconate",60,1
"Clinical","Glycerol","D-Glucosamine",38,1
"Clinical","Glycerol","Nitrate",11,1
"Clinical","Glycerol","Vitamin-free",18,1
"Clinical","Glycerol","2-Keto-D-gluconate",43,1
"Clinical","Glycerol","Starch formation",3,0.994
"Clinical","Glycerol","Growth at 19°C",80,1
"Clinical","Glycerol","Growth at 25°C",80,1
"Clinical","Glycerol","Growth at 30°C",78,1
"Clinical","Glycerol","Growth at 37°C",58,1
"Clinical","Erythritol","Succinate",27,1
"Clinical","Erythritol","Citrate",25,1
"Clinical","Erythritol","Growth at 19°C",28,1
"Clinical","Erythritol","Growth at 25°C",28,1
"Clinical","Erythritol","Growth at 30°C",26,1
"Clinical","Ribitol","Succinate",53,1
"Clinical","Ribitol","Citrate",48,1
"Clinical","Ribitol","Growth at 19°C",55,1
"Clinical","Ribitol","Growth at 25°C",55,1
"Clinical","Ribitol","Growth at 30°C",53,1
"Clinical","Galactitol","Succinate",16,1
"Clinical","Galactitol","Citrate",16,1
"Clinical","Galactitol","Growth at 19°C",17,1
"Clinical","Galactitol","Growth at 25°C",17,1
"Clinical","Galactitol","Growth at 30°C",17,1
"Clinical","D-Mannitol","Succinate",66,1
"Clinical","D-Mannitol","Citrate",58,1
"Clinical","D-Mannitol","Growth at 19°C",67,1
"Clinical","D-Mannitol","Growth at 25°C",67,1
"Clinical","D-Mannitol","Growth at 30°C",65,1
"Clinical","D-Glucitol","Succinate",68,1
"Clinical","D-Glucitol","Citrate",60,1
"Clinical","D-Glucitol","Growth at 19°C",70,1
"Clinical","D-Glucitol","Growth at 25°C",70,1
"Clinical","D-Glucitol","Growth at 30°C",68,1
"Clinical","myo-Inositol","Succinate",8,1
"Clinical","myo-Inositol","Citrate",7,1
"Clinical","myo-Inositol","Growth at 19°C",9,1
"Clinical","myo-Inositol","Growth at 25°C",9,1
"Clinical","myo-Inositol","Growth at 30°C",9,1
"Clinical","DL-Lactate","Succinate",47,1
"Clinical","DL-Lactate","Citrate",43,1
"Clinical","DL-Lactate","Growth at 19°C",48,1
"Clinical","DL-Lactate","Growth at 25°C",50,1
"Clinical","DL-Lactate","Growth at 30°C",50,1
"Clinical","Succinate","Citrate",65,1
"Clinical","Succinate","D-Gluconate",56,1
"Clinical","Succinate","D-Glucosamine",37,1
"Clinical","Succinate","Nitrate",11,1
"Clinical","Succinate","Vitamin-free",18,1
"Clinical","Succinate","2-Keto-D-gluconate",42,1
"Clinical","Succinate","Starch formation",3,0.995
"Clinical","Succinate","Growth at 19°C",77,1
"Clinical","Succinate","Growth at 25°C",79,1
"Clinical","Succinate","Growth at 30°C",77,1
"Clinical","Succinate","Growth at 37°C",57,1
"Clinical","Citrate","D-Gluconate",51,1
"Clinical","Citrate","D-Glucosamine",33,1
"Clinical","Citrate","Nitrate",10,1
"Clinical","Citrate","Vitamin-free",17,1
"Clinical","Citrate","2-Keto-D-gluconate",37,1
"Clinical","Citrate","Starch formation",2,0.962
"Clinical","Citrate","Growth at 19°C",66,1
"Clinical","Citrate","Growth at 25°C",66,1
"Clinical","Citrate","Growth at 30°C",64,1
"Clinical","Citrate","Growth at 37°C",48,1
"Clinical","D-Gluconate","Growth at 19°C",63,1
"Clinical","D-Gluconate","Growth at 25°C",63,1
"Clinical","D-Gluconate","Growth at 30°C",60,1
"Clinical","D-Glucosamine","Growth at 19°C",38,1
"Clinical","D-Glucosamine","Growth at 25°C",38,1
"Clinical","D-Glucosamine","Growth at 30°C",36,1
"Clinical","Nitrate","Growth at 19°C",11,1
"Clinical","Nitrate","Growth at 25°C",11,1
"Clinical","Nitrate","Growth at 30°C",11,1
"Clinical","Vitamin-free","Growth at 19°C",19,1
"Clinical","Vitamin-free","Growth at 25°C",19,1
"Clinical","Vitamin-free","Growth at 30°C",19,1
"Clinical","2-Keto-D-gluconate","Growth at 19°C",46,1
"Clinical","2-Keto-D-gluconate","Growth at 25°C",46,1
"Clinical","2-Keto-D-gluconate","Growth at 30°C",44,1
"Clinical","Starch formation","Growth at 19°C",5,1
"Clinical","Starch formation","Growth at 25°C",6,1
"Clinical","Starch formation","Growth at 30°C",6,1
"Clinical","Growth at 19°C","Growth at 25°C",85,1
"Clinical","Growth at 19°C","Growth at 30°C",82,1
"Clinical","Growth at 19°C","Growth at 37°C",61,1
"Clinical","Growth at 25°C","Growth at 30°C",87,1
"Clinical","Growth at 25°C","Growth at 37°C",66,1
"Clinical","Growth at 30°C","Growth at 37°C",66,1
"Rotting.Decaying","Glucose_F","Glucose",68,0.387
"Rotting.Decaying","Glucose_F","Ethanol",62,0.481
"Rotting.Decaying","Galactose_F","Glucose",31,0.685
"Rotting.Decaying","Galactose_F","Ethanol",30,0.808
"Rotting.Decaying","Sucrose_F","Glucose",30,0.999
"Rotting.Decaying","Sucrose_F","Ethanol",28,1
"Rotting.Decaying","Maltose_F","Glucose",22,0.969
"Rotting.Decaying","Maltose_F","Ethanol",22,0.983
"Rotting.Decaying","Lactose_F","Glucose",1,0.377
"Rotting.Decaying","Lactose_F","Ethanol",1,0.404
"Rotting.Decaying","Raffinose_F","Glucose",20,0.998
"Rotting.Decaying","Raffinose_F","Ethanol",19,1
"Rotting.Decaying","Trehalose_F","Glucose",31,0.137
"Rotting.Decaying","Trehalose_F","Ethanol",29,0.137
"Rotting.Decaying","Glucose","Inulin",11,0.953
"Rotting.Decaying","Glucose","Sucrose",49,0.028
"Rotting.Decaying","Glucose","Raffinose",32,0.998
"Rotting.Decaying","Glucose","Melibiose",14,0.976
"Rotting.Decaying","Glucose","Galactose",62,0.765
"Rotting.Decaying","Glucose","Lactose",13,0.305
"Rotting.Decaying","Glucose","Trehalose",58,0
"Rotting.Decaying","Glucose","Maltose",49,0.212
"Rotting.Decaying","Glucose","Melezitose",44,0.852
"Rotting.Decaying","Glucose","Methyl-?-D-glucoside",44,0.329
"Rotting.Decaying","Glucose","Soluble Starch",30,0.999
"Rotting.Decaying","Glucose","Cellobiose",53,0
"Rotting.Decaying","Glucose","Salicin",53,0
"Rotting.Decaying","Glucose","L-Sorbose",52,0.154
"Rotting.Decaying","Glucose","L-Rhamnose",28,0.904
"Rotting.Decaying","Glucose","D-Xylose",62,0
"Rotting.Decaying","Glucose","L-Arabinose",41,0.924
"Rotting.Decaying","Glucose","D-Arabinose",29,0.004
"Rotting.Decaying","Glucose","D-Ribose",42,0.792
"Rotting.Decaying","Glucose","Methanol",5,0.003
"Rotting.Decaying","Glucose","Ethanol",79,0
"Rotting.Decaying","Glucose","Glycerol",80,0
"Rotting.Decaying","Glucose","Erythritol",28,0.63
"Rotting.Decaying","Glucose","Ribitol",55,0.162
"Rotting.Decaying","Glucose","Galactitol",17,0.997
"Rotting.Decaying","Glucose","D-Mannitol",67,0
"Rotting.Decaying","Glucose","D-Glucitol",70,0.137
"Rotting.Decaying","Glucose","myo-Inositol",9,0.14
"Rotting.Decaying","Glucose","DL-Lactate",50,0.523
"Rotting.Decaying","Glucose","Succinate",79,0
"Rotting.Decaying","Glucose","Citrate",66,0.577
"Rotting.Decaying","Glucose","D-Gluconate",63,1
"Rotting.Decaying","Glucose","D-Glucosamine",38,0.032
"Rotting.Decaying","Glucose","Nitrate",11,0.022
"Rotting.Decaying","Glucose","Vitamin-free",19,0.583
"Rotting.Decaying","Glucose","2-Keto-D-gluconate",46,0.828
"Rotting.Decaying","Glucose","Starch formation",6,0.061
"Rotting.Decaying","Glucose","Growth at 19°C",85,0
"Rotting.Decaying","Glucose","Growth at 25°C",90,0
"Rotting.Decaying","Glucose","Growth at 30°C",87,0.256
"Rotting.Decaying","Glucose","Growth at 37°C",66,1
"Rotting.Decaying","Inulin","Ethanol",11,0.984
"Rotting.Decaying","Sucrose","Ethanol",45,0.057
"Rotting.Decaying","Raffinose","Ethanol",28,0.995
"Rotting.Decaying","Melibiose","Ethanol",13,0.98
"Rotting.Decaying","Galactose","Ethanol",56,0.54
"Rotting.Decaying","Lactose","Ethanol",13,0.472
"Rotting.Decaying","Trehalose","Ethanol",54,0.002
"Rotting.Decaying","Maltose","Ethanol",45,0.089
"Rotting.Decaying","Melezitose","Ethanol",41,0.693
"Rotting.Decaying","Methyl-?-D-glucoside","Ethanol",42,0.332
"Rotting.Decaying","Soluble Starch","Ethanol",28,0.997
"Rotting.Decaying","Cellobiose","Ethanol",47,0
"Rotting.Decaying","Salicin","Ethanol",48,0
"Rotting.Decaying","L-Sorbose","Ethanol",48,0.083
"Rotting.Decaying","L-Rhamnose","Ethanol",25,0.699
"Rotting.Decaying","D-Xylose","Ethanol",59,0
"Rotting.Decaying","L-Arabinose","Ethanol",38,0.761
"Rotting.Decaying","D-Arabinose","Ethanol",27,0.006
"Rotting.Decaying","D-Ribose","Ethanol",40,0.751
"Rotting.Decaying","Methanol","Ethanol",2,0
"Rotting.Decaying","Ethanol","Glycerol",74,0.001
"Rotting.Decaying","Ethanol","Erythritol",25,0.33
"Rotting.Decaying","Ethanol","Ribitol",50,0.043
