Genus,Species,Paragraph of Species Studied,Ecology,Pathogenic,Clinical,Rotting/Decaying,Spoiled,Contaminated,Plant Pathogen,Animal,Insect,Tree,Stone Chamber,Lichen,Pollen,Feces?Dung,Pine,Bromeliad,Flower,Cactus,Ipomoea,Oak,Hibiscus,Beetle,Ant,Fruit fly,Bee,Water,Tree exudate,Tree flux,Honey,Nematode,Mushroom/Fungus,Soil,Insect Frass,Unknown,Air,Leather Tanning,Industrial,Fodder,Freshwater,Seawater/Marine,Brine,Plant,Food,Pickled/Salted/Brined,Fruit,Drink/Juice,Sugar Cane,Fermented,Wine,Beer,Tequilla,Cider,Wood,Silage,Dairy,Olives
Ascoidea,A. hylecoeti,"CBS 355.80, isolated from oak (Quercus
sp., Fagaceae) wood infested with a bark beetle (Hylecoetus dermestoides),
Sweden, H. Francke-Grosmann.",The species seems to be associated with bark beetles.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascoidea,A. rubescens,"CBS 116.35, H.M. Fitzpatrick; CBS
111.48, isolated from tree, B. Varitchak, former Yugoslavia.",The species seems to be associated with bark beetles.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babjeviella,B. inositovora ,"NRRL Y-12698 (IBPhM Y-888, CBS
8006), isolated from high moor peat in the Moscow region, Russia;
NRRL YB-4776, rotted debris from the stump of a balsam fir (Abies
balsamea), Matane, Quebec, Canada, L.J. Wickerham; NRRL YB-5280,
frass infested with ants from an unidentified tree, Coeur d'Alene
State Park, Washington State, USA, L.J. Wickerham.","Babjeviella inositovora has been isolated once from soil in
Russia and twice from arboreal habitats in North America. Consequently,
the ecology of this species is uncertain.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnettozyma,B. californica,"CBS 252 (NRRL Y-17395), isolated by F.
M. Muller in California, USA, from an enrichment culture of
Azotobacter. The original description of the species was based on this
strain. CBS 5760 (NRRL Y-1680), isolated from soil, Murray Bridge,
South Australia, was considered by Wickerham (1951) as the most
typical strain of the species and came to be regarded by some as the
type strain. The following strains were determined from nuclear
DNA reassociation to be conspecific with the type strain of B. californica
(Kurtzman 1991a): NRRL Y-6420 (CBS 5769), type strain of Pichia
saturnospora, bear (Ursus actos yesoensis) dung, Japan; NRRL Y-6421
(CBS 5782), type strain of Endomycopsis fukushimae, bear dung,
Japan; NRRL YB-3239 (CBS 5762), type strain of Hansenula dimennae,
soil, India; NRRL Y-5863, soil, New Zealand. NRRL strains received
from various investigators and identified from phenotype by L.J.
Wickerham as B. californica: Y-1709 Y-1713, Y-1718, Y-1727, all from
soil, Minnesota, USA; Y-1999, shrimp, California, USA; Y-5861,
Y-5862, Y-5864, soil, New Zealand; Y-6818, ox dung, France; Y-6432,
sewage sludge, Ohio, USA; Y-6434, river water, Utah, USA; Y-7609,
soil, Ohio; Y-7610, stream, Ohio; Y-11750, tree flux (Acacia koa),
Hawaii, USA; YB-1199, soil, Belgium; YB-1863, YB-1866, YB-1873,
soil, Michigan, USA; YB-2412, soil, Australia; YB-2757, insect frass, fir
(Abies firma), Japan; YB-2998, insect frass, European beech (Fagus silvaticus),
Sweden; YB-3178 insect frass, elm (Ulmus sp.), Washington
State, USA; YB-3214, mountain ash (Sorbus americana), Washington
State; YB-3299, soil, Virginia, USA; YB-3439, soil, Vermont, USA; YB-
3550, pond water, Indiana, USA; YB-4269, soil, New Zealand; YB-
4713, soil, Canada; YB-4897, unknown substrate, Spain.","Barnettozyma californica appears to have worldwide distribution,
as seen from the listing under ""origin of strains"" given above.
Isolates are from soil, water, tree fluxes and animal dung, as noted
above, and from acidic soils of the Iberian Pyrite Belt (Gadanho et al.
2006). Identification of many of the isolates has been from phenotype,
and consequently, verification of the ecological diversity of this
species awaits confirmation from molecular identification of the
strains.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnettozyma,B. hawaiiensis,"NRRL Y-27237 (CBS 8760, UCD-FST
72-181), from rotting bark of a tree (Charpentiera sp.), Island of
Hawaii, USA. Phaff et al. (2000) reported the following additional
strains of this species from Charpentiera sp.: UCD-FST 72-170, UCDFST
73-508.1, S78-689.1, the first two from the Island of Hawaii and
the last from the Island of Kauai; S 78-341.1, S 78-345.1, from rotting
tree bark (Pisonia sp.), Island of Hawaii; S 78-346.1, rotting tree bark
(Cheirodendron sp.), Island of Hawaii.","All known isolates of B. hawaiiensis have been isolated from
the bark of native trees in Hawaii. Isolates from the various tree species
(Charpentiera sp., Pisonia sp., Cheirodendron sp.) are phenotypically
similar, but only the type strain has been characterized from gene
sequences.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnettozyma,B. populi,"On the basis of multigene phylogenetic analysis,
B. populi was transferred from Pichia to the genus Barnettozyma.
Unlike its near neighbor B. hawaiiensis, B. populi assimilates nitrate
as a sole source of nitrogen. Of the five strains of B. populi examined
by Phaff et al. (1983), all exhibited high nuclear DNA relatedness
except UCD-FST 68-603, which showed 77% complementarity with
the type strain. This strain and the type strain were isolated in
British Columbia, whereas the other three strains were from Alaska.
"," Barnettozyma populi is currently known only from the fluxes
of cottonwood trees in western Canada and Alaska (Phaff et al. 1983).",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnettozyma,B. pratensis,"CBS 7079 (NRRL Y-12696), from
meadow soil, Russia. Naumova et al. (2001) reported isolating an
additional 15 strains from Caucasian and Tien Shen soils.","All known isolates of B. pratensis were obtained from soil in
Russia and neighboring regions (Bab'eva and Reshetova 1979,
Naumova et al. 2001).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnettozyma,B. salicaria,"CBS 5456 (NRRL Y-6780, UCD-FST
61-344), CBS 5360 (NRRL Y-11538, UCD-FST 61-347), both from slime
fluxes of willows (Salix sp.), USA; CBS 4208 (NRRL Y-6779), from a
human toe, F. Barmeyer, Germany.","With the exception of a clinical isolate, known strains of
B. salicaria are from the slime fluxes of willow trees (Salix sp.) from
the US (Phaff et al. 1964b).",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnettozyma,B. wickerhamii,"CBS 4107 (NRRL Y-2435), type strain
of Endomycopsis wickerhamii, and CBS 4108 (NRRL Y-2437), both
isolated from frass of Pyralidae larvae in a cycad (Encephalartos sp.),
South Africa (van der Walt 1959b).","Barnettozyma wickerhamii is known only from the frass of
moth larvae (Pyralidae) found in a species of cycad (Encephalartos
sp.) from South Africa (van der Walt 1959b).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. adeninivorans,"CBS 7350, isolated from ensiled from
whole-crop chopped maize, Netherlands, W.J. Middelhoven; CBS 7370
(NRRL Y-17693), from soil; CBS 7377, from garden soil, South Africa,
J.P. van der Walt; CBS 7766, from liver and intestines of a Gila monster
(Heloderma suspectum, Helodermatidae), Sweden, R. Mattson; CBS
8244 (NRRL Y-17692), type strain of Trichosporon adeninivorans, from
soil, Netherlands,W.J. Middelhoven.","The ecology of A. adeninivorans is uncertain because, as
listed under “Origin of the strains studied”, isolates have been from
soil, silage and an apparently infected Gila monster.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Blastobotrys,B. americana,"CBS 10337 (NRRL Y-6844), unknown
substrate and location, L. Batra.",Unknown.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. arbuscula,"CBS 227.83 (NRRL Y-17585), isolated
from house air, Finland, E. Tunnela.","The single known strain was isolated from indoor air in
Finland.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. aristata,"CBS 521.75 (NRRL Y-17579), isolated
from moldy plaster, former Czechoslovakia (Marvanová 1976).","The only strain available was isolated from moldy plaster in
Central Europe.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. attinorum,"CBS 9734 (NRRL Y-27639), isolated
from older sponge material of a laboratory nest of a leaf-cutting ant
(Atta sexdens), São Paulo, Brazil, S.C. Carreiro.","Blastobotrys attinorum has been found frequently in nests of
the leaf-cutting ants (Carreiro et al. 2004).",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. capitulata,"CBS 286.82, isolated from straw, USA,
B.W. Horn; CBS 287.82 (NRRL Y-17573), type strain, from rotting candelabra
tree (Euphorbia ingens, Euphorbiaceae), South Africa, J.P. van
der Walt.",Strains of the species are only known from plant material.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. chiropterorum,"CBS 6064 (NRRL Y-17071, IFO 10271,
JCM 9597), isolated from liver of a bat (Mormoops megalophylla),
Colombia, C.J. Marinkelle.",Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. elegans,"CBS 530.83 (NRRL Y-17572), isolated
from house air, Finland, A. H. Rantio-Lehtimäki.","The single known strain of B. elegans was isolated from
indoor air in Finland.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. illinoisensis,"CBS 10339 (NRRL YB-1343), isolated
from debris surrounding the base of a standing, dead deciduous tree,
Marion, Illinois, USA, L.J. Wickerham.","The only known strain of B. illinoisensis was isolated from a
dead deciduous tree in the USA.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. indianensis,"CBS 9600 (NRRL YB-1950), isolated
from an unidentified white fungus growing on the bark of a fallen
pine tree (Pinus sp., Pinaceae), Indiana, USA, L.J. Wickerham.","The only strain known was isolated from an unidentified
white fungus growing on the bark of a fallen pine tree (Pinus sp.),
Indiana, USA.",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. malaysiensis,"CBS 10336 (NRRL Y-6417), isolated
from soil in a cave in Malaysia, C.W. Emmons.","The only known strain of B. malaysiensis was isolated from
soil in a cave in Malaysia.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. mokoenaii,"CBS 8435 (NRRL Y-27120), isolated
from soil, South Africa, T.A. Mokwena","The single known strain of B. mokoenaii was isolated from
soil in South Africa.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. muscicola,"CBS 10338 (NRRL Y-7993), isolated
from an unidentified moss on a fallen log in a wilderness area,
Louisiana, USA, C.P. Kurtzman.","The only known strain of B. muscicola was isolated from an
unidentified moss on a fallen log in a wilderness area in Louisiana, USA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. nivea,"CBS 163.67 (NRRL Y-17581, ATCC
18420), isolated from compost, Germany, A. von Klopotek.","The single known strain was isolated from compost in
Germany.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. parvus,"CBS 6147 (NRRL Y-10004, IFO 10132),
isolated from the Antarctic Ocean; 51 other strains were isolated
from open waters of the southern Indian and Pacific Oceans (Fell
1976, Fell and Statzell 1971).","The species may be endemic to marine waters. Fell and
Statzell (1971) and Fell (1976) reported the occurrence of this species
in waters of Antarctic origin in the southern Pacific and Indian
Oceans, in the Antarctic Intermediate, Sub Antarctic and South
Pacific Central water masses from approximately 100 W westward
to 118 E, and 62 S northward to 42 S. Isolations were from depths of
16 to 748 meters where water temperatures ranged from
3.07 10.55 C and salinities were 33.94 34.85 C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. peoriensis,"CBS 10340 (NRRL YB-2290), isolated
from an unidentified fungal growth on a rotted log, Peoria, Illinois,
USA, L.J. Wickerham.","The only known strain of B. peoriensis was isolated from
unidentified fungal growth on a rotten log in Peoria, Illinois, USA.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. proliferans,"CBS 522.75 (NRRL Y-17577), type
strain of Blastobotrys proliferans, isolated from a mite-infested nut,
Brazil, L. Marvanová; CBS 139.77, type strain of B. navarrensis, from
black pepper (Piper nigrum), Spain; CBS 527.79, from garden soil,
South Africa, J.P. van der Walt; CBS 520.83, from linoleum, London,
UK, I.B. Murray; CBS 293.84, from cystic lesion of human ankle,
G. Schär; CBS 232.85, from house dust, Stockholm, Sweden.","Blastobotrys proliferans has been isolated from a wide variety
of habitats, as listed under “Origin of the strains studied”.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Blastobotrys,B. raffinosifermentans,"CBS 6800 (NRRL Y-27150), unknown
habitat, J. Shennan.",Unknown.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. robertii,"CBS 10106 (NRRL Y-27775), isolated
from a rotted Scotch pine (Pinus sylvestris, Pinaceae), The Netherlands,
W.J. Middelhoven.",The only known strain was isolated from rotted pine wood.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. serpentis,"NRRL Y-48249 (W113A, MTCC 8332,
CBS 10541), W113B, both strains were isolated from the intestine of a
dead Trinket snake (Elaphe sp., Colubridae), Hyderabad, India
(Bhadra et al. 2008).","The two known strains of B. serpentis were isolated from
the intestine of a dead Trinket snake in India (Bhadra et al. 2008).",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastobotrys,B. terrestris,"CBS 278.86 (CBS 6697, IFO 10828),
type strain of T. terrestre, isolated from grassland soil; CBS 7376 (IFO
10859, NRRL Y-17704), from soil, South Africa, J.P.van der Walt.",The two known strains of B. terrestris were isolated from soil.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
