"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN"
"Pathogenic","Glucose_F","Starch formation",65,0.872
"Pathogenic","Glucose_F","Growth at 19°C",5,0.978
"Pathogenic","Glucose_F","Growth at 25°C",0,0.812
"Pathogenic","Glucose_F","Growth at 30°C",3,0.405
"Pathogenic","Glucose_F","Growth at 37°C",14,0.015
"Pathogenic","Galactose_F","Sucrose_F",12,0.325
"Pathogenic","Galactose_F","Maltose_F",12,0.164
"Pathogenic","Galactose_F","Lactose_F",30,0.52
"Pathogenic","Galactose_F","Raffinose_F",18,0.402
"Pathogenic","Galactose_F","Trehalose_F",10,0.247
"Pathogenic","Galactose_F","Glucose",0,1
"Pathogenic","Galactose_F","Inulin",24,0.565
"Pathogenic","Galactose_F","Sucrose",7,0.651
"Pathogenic","Galactose_F","Raffinose",16,0.632
"Pathogenic","Galactose_F","Melibiose",24,0.614
"Pathogenic","Galactose_F","Galactose",1,0.13
"Pathogenic","Galactose_F","Lactose",22,0.43
"Pathogenic","Galactose_F","Trehalose",2,0.296
"Pathogenic","Galactose_F","Maltose",6,0.537
"Pathogenic","Galactose_F","Melezitose",8,0.47
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",7,0.402
"Pathogenic","Galactose_F","Soluble Starch",14,0.42
"Pathogenic","Galactose_F","Cellobiose",9,0.809
"Pathogenic","Galactose_F","Salicin",9,0.818
"Pathogenic","Galactose_F","L-Sorbose",8,0.54
"Pathogenic","Galactose_F","L-Rhamnose",18,0.593
"Pathogenic","Galactose_F","D-Xylose",3,0.51
"Pathogenic","Galactose_F","L-Arabinose",10,0.417
"Pathogenic","Galactose_F","D-Arabinose",15,0.551
"Pathogenic","Galactose_F","D-Ribose",6,0.217
"Pathogenic","Galactose_F","Methanol",29,0.528
"Pathogenic","Galactose_F","Ethanol",1,0.474
"Pathogenic","Galactose_F","Glycerol",1,0.702
"Pathogenic","Galactose_F","Erythritol",17,0.581
"Pathogenic","Galactose_F","Ribitol",3,0.26
"Pathogenic","Galactose_F","Galactitol",21,0.481
"Pathogenic","Galactose_F","D-Mannitol",2,0.585
"Pathogenic","Galactose_F","D-Glucitol",2,0.586
"Pathogenic","Galactose_F","myo-Inositol",27,0.605
"Pathogenic","Galactose_F","DL-Lactate",17,0.913
"Pathogenic","Galactose_F","Succinate",0,0.327
"Pathogenic","Galactose_F","Citrate",7,0.77
"Pathogenic","Galactose_F","D-Gluconate",9,0.797
"Pathogenic","Galactose_F","D-Glucosamine",8,0.248
"Pathogenic","Galactose_F","Nitrate",27,0.747
"Pathogenic","Galactose_F","Vitamin-free",20,0.495
"Pathogenic","Galactose_F","2-Keto-D-gluconate",9,0.43
"Pathogenic","Galactose_F","Starch formation",30,0.738
"Pathogenic","Galactose_F","Growth at 19°C",0,0.889
"Pathogenic","Galactose_F","Growth at 25°C",0,0.937
"Pathogenic","Galactose_F","Growth at 30°C",0,0.391
"Pathogenic","Galactose_F","Growth at 37°C",4,0.111
"Pathogenic","Sucrose_F","Maltose_F",10,0.184
"Pathogenic","Sucrose_F","Lactose_F",29,0.657
"Pathogenic","Sucrose_F","Raffinose_F",10,0.104
"Pathogenic","Sucrose_F","Trehalose_F",9,0.32
"Pathogenic","Sucrose_F","Glucose",0,1
"Pathogenic","Sucrose_F","Inulin",20,0.487
"Pathogenic","Sucrose_F","Sucrose",1,0.159
"Pathogenic","Sucrose_F","Raffinose",6,0.105
"Pathogenic","Sucrose_F","Melibiose",21,0.622
"Pathogenic","Sucrose_F","Galactose",7,0.875
"Pathogenic","Sucrose_F","Lactose",22,0.666
"Pathogenic","Sucrose_F","Trehalose",1,0.299
"Pathogenic","Sucrose_F","Maltose",2,0.254
"Pathogenic","Sucrose_F","Melezitose",2,0.107
"Pathogenic","Sucrose_F","Methyl-?-D-glucoside",3,0.203
"Pathogenic","Sucrose_F","Soluble Starch",13,0.523
"Pathogenic","Sucrose_F","Cellobiose",4,0.479
"Pathogenic","Sucrose_F","Salicin",5,0.606
"Pathogenic","Sucrose_F","L-Sorbose",10,0.815
"Pathogenic","Sucrose_F","L-Rhamnose",16,0.594
"Pathogenic","Sucrose_F","D-Xylose",3,0.646
"Pathogenic","Sucrose_F","L-Arabinose",10,0.586
"Pathogenic","Sucrose_F","D-Arabinose",17,0.822
"Pathogenic","Sucrose_F","D-Ribose",10,0.722
"Pathogenic","Sucrose_F","Methanol",29,0.721
"Pathogenic","Sucrose_F","Ethanol",2,0.72
"Pathogenic","Sucrose_F","Glycerol",1,0.757
"Pathogenic","Sucrose_F","Erythritol",20,0.872
"Pathogenic","Sucrose_F","Ribitol",7,0.8
"Pathogenic","Sucrose_F","Galactitol",22,0.703
"Pathogenic","Sucrose_F","D-Mannitol",1,0.54
"Pathogenic","Sucrose_F","D-Glucitol",1,0.573
"Pathogenic","Sucrose_F","myo-Inositol",26,0.723
"Pathogenic","Sucrose_F","DL-Lactate",10,0.655
"Pathogenic","Sucrose_F","Succinate",0,0.368
"Pathogenic","Sucrose_F","Citrate",2,0.355
"Pathogenic","Sucrose_F","D-Gluconate",4,0.481
"Pathogenic","Sucrose_F","D-Glucosamine",10,0.554
"Pathogenic","Sucrose_F","Nitrate",24,0.739
"Pathogenic","Sucrose_F","Vitamin-free",19,0.621
"Pathogenic","Sucrose_F","2-Keto-D-gluconate",7,0.419
"Pathogenic","Sucrose_F","Starch formation",30,0.891
"Pathogenic","Sucrose_F","Growth at 19°C",0,0.918
"Pathogenic","Sucrose_F","Growth at 25°C",0,0.942
"Pathogenic","Sucrose_F","Growth at 30°C",1,0.695
"Pathogenic","Sucrose_F","Growth at 37°C",5,0.287
"Pathogenic","Maltose_F","Lactose_F",21,0.529
"Pathogenic","Maltose_F","Raffinose_F",10,0.329
"Pathogenic","Maltose_F","Trehalose_F",5,0.248
"Pathogenic","Maltose_F","Glucose",0,1
"Pathogenic","Maltose_F","Inulin",16,0.522
"Pathogenic","Maltose_F","Sucrose",1,0.254
"Pathogenic","Maltose_F","Raffinose",8,0.448
"Pathogenic","Maltose_F","Melibiose",16,0.569
"Pathogenic","Maltose_F","Galactose",2,0.521
"Pathogenic","Maltose_F","Lactose",16,0.577
"Pathogenic","Maltose_F","Trehalose",0,0.252
"Pathogenic","Maltose_F","Maltose",0,0.142
"Pathogenic","Maltose_F","Melezitose",1,0.131
"Pathogenic","Maltose_F","Methyl-?-D-glucoside",1,0.149
"Pathogenic","Maltose_F","Soluble Starch",5,0.175
"Pathogenic","Maltose_F","Cellobiose",5,0.745
"Pathogenic","Maltose_F","Salicin",4,0.638
"Pathogenic","Maltose_F","L-Sorbose",6,0.684
"Pathogenic","Maltose_F","L-Rhamnose",12,0.604
"Pathogenic","Maltose_F","D-Xylose",0,0.287
"Pathogenic","Maltose_F","L-Arabinose",7,0.557
"Pathogenic","Maltose_F","D-Arabinose",13,0.801
"Pathogenic","Maltose_F","D-Ribose",5,0.48
"Pathogenic","Maltose_F","Methanol",22,0.696
"Pathogenic","Maltose_F","Ethanol",0,0.51
"Pathogenic","Maltose_F","Glycerol",0,0.694
"Pathogenic","Maltose_F","Erythritol",14,0.757
"Pathogenic","Maltose_F","Ribitol",2,0.436
"Pathogenic","Maltose_F","Galactitol",16,0.624
"Pathogenic","Maltose_F","D-Mannitol",0,0.482
"Pathogenic","Maltose_F","D-Glucitol",0,0.454
"Pathogenic","Maltose_F","myo-Inositol",18,0.58
"Pathogenic","Maltose_F","DL-Lactate",9,0.771
"Pathogenic","Maltose_F","Succinate",0,0.535
"Pathogenic","Maltose_F","Citrate",2,0.487
"Pathogenic","Maltose_F","D-Gluconate",4,0.615
"Pathogenic","Maltose_F","D-Glucosamine",4,0.28
"Pathogenic","Maltose_F","Nitrate",19,0.76
"Pathogenic","Maltose_F","Vitamin-free",13,0.512
"Pathogenic","Maltose_F","2-Keto-D-gluconate",4,0.34
"Pathogenic","Maltose_F","Starch formation",22,0.795
"Pathogenic","Maltose_F","Growth at 19°C",0,0.944
"Pathogenic","Maltose_F","Growth at 25°C",0,0.961
"Pathogenic","Maltose_F","Growth at 30°C",1,0.793
"Pathogenic","Maltose_F","Growth at 37°C",3,0.304
"Pathogenic","Lactose_F","Raffinose_F",0,0.436
"Pathogenic","Lactose_F","Trehalose_F",0,0.527
"Pathogenic","Lactose_F","Glucose",0,1
"Pathogenic","Lactose_F","Inulin",1,0.47
"Pathogenic","Lactose_F","Sucrose",0,0.734
"Pathogenic","Lactose_F","Raffinose",0,0.53
"Pathogenic","Lactose_F","Melibiose",0,0.381
"Pathogenic","Lactose_F","Galactose",0,0.777
"Pathogenic","Lactose_F","Lactose",0,0.37
"Pathogenic","Lactose_F","Trehalose",0,0.797
"Pathogenic","Lactose_F","Maltose",0,0.714
"Pathogenic","Lactose_F","Melezitose",0,0.651
"Pathogenic","Lactose_F","Methyl-?-D-glucoside",0,0.657
"Pathogenic","Lactose_F","Soluble Starch",0,0.507
"Pathogenic","Lactose_F","Cellobiose",0,0.73
"Pathogenic","Lactose_F","Salicin",0,0.725
"Pathogenic","Lactose_F","L-Sorbose",0,0.675
"Pathogenic","Lactose_F","L-Rhamnose",1,0.601
"Pathogenic","Lactose_F","D-Xylose",0,0.817
"Pathogenic","Lactose_F","L-Arabinose",0,0.608
"Pathogenic","Lactose_F","D-Arabinose",1,0.635
"Pathogenic","Lactose_F","D-Ribose",0,0.631
"Pathogenic","Lactose_F","Methanol",1,0.393
"Pathogenic","Lactose_F","Ethanol",0,0.889
"Pathogenic","Lactose_F","Glycerol",0,0.934
"Pathogenic","Lactose_F","Erythritol",0,0.479
"Pathogenic","Lactose_F","Ribitol",0,0.738
"Pathogenic","Lactose_F","Galactitol",1,0.494
"Pathogenic","Lactose_F","D-Mannitol",0,0.88
"Pathogenic","Lactose_F","D-Glucitol",0,0.886
"Pathogenic","Lactose_F","myo-Inositol",1,0.42
"Pathogenic","Lactose_F","DL-Lactate",1,0.719
"Pathogenic","Lactose_F","Succinate",0,0.914
"Pathogenic","Lactose_F","Citrate",0,0.768
"Pathogenic","Lactose_F","D-Gluconate",0,0.734
"Pathogenic","Lactose_F","D-Glucosamine",0,0.589
"Pathogenic","Lactose_F","Nitrate",1,0.481
"Pathogenic","Lactose_F","Vitamin-free",0,0.403
"Pathogenic","Lactose_F","2-Keto-D-gluconate",0,0.596
"Pathogenic","Lactose_F","Starch formation",1,0.403
"Pathogenic","Lactose_F","Growth at 19°C",0,0.988
"Pathogenic","Lactose_F","Growth at 25°C",0,0.996
"Pathogenic","Lactose_F","Growth at 30°C",0,0.937
"Pathogenic","Lactose_F","Growth at 37°C",1,0.797
"Pathogenic","Raffinose_F","Trehalose_F",7,0.497
"Pathogenic","Raffinose_F","Glucose",0,1
"Pathogenic","Raffinose_F","Inulin",10,0.279
"Pathogenic","Raffinose_F","Sucrose",1,0.338
"Pathogenic","Raffinose_F","Raffinose",0,0.017
"Pathogenic","Raffinose_F","Melibiose",12,0.497
"Pathogenic","Raffinose_F","Galactose",6,0.917
"Pathogenic","Raffinose_F","Lactose",13,0.516
"Pathogenic","Raffinose_F","Trehalose",0,0.277
"Pathogenic","Raffinose_F","Maltose",1,0.304
"Pathogenic","Raffinose_F","Melezitose",1,0.182
"Pathogenic","Raffinose_F","Methyl-?-D-glucoside",1,0.226
"Pathogenic","Raffinose_F","Soluble Starch",9,0.58
"Pathogenic","Raffinose_F","Cellobiose",1,0.318
"Pathogenic","Raffinose_F","Salicin",2,0.477
"Pathogenic","Raffinose_F","L-Sorbose",7,0.826
"Pathogenic","Raffinose_F","L-Rhamnose",11,0.645
"Pathogenic","Raffinose_F","D-Xylose",1,0.522
"Pathogenic","Raffinose_F","L-Arabinose",6,0.58
"Pathogenic","Raffinose_F","D-Arabinose",10,0.698
"Pathogenic","Raffinose_F","D-Ribose",7,0.758
"Pathogenic","Raffinose_F","Methanol",19,0.596
"Pathogenic","Raffinose_F","Ethanol",1,0.723
"Pathogenic","Raffinose_F","Glycerol",1,0.852
"Pathogenic","Raffinose_F","Erythritol",12,0.754
"Pathogenic","Raffinose_F","Ribitol",5,0.831
"Pathogenic","Raffinose_F","Galactitol",13,0.584
"Pathogenic","Raffinose_F","D-Mannitol",1,0.702
"Pathogenic","Raffinose_F","D-Glucitol",1,0.694
"Pathogenic","Raffinose_F","myo-Inositol",17,0.634
"Pathogenic","Raffinose_F","DL-Lactate",7,0.683
"Pathogenic","Raffinose_F","Succinate",0,0.531
"Pathogenic","Raffinose_F","Citrate",2,0.564
"Pathogenic","Raffinose_F","D-Gluconate",4,0.691
"Pathogenic","Raffinose_F","D-Glucosamine",8,0.728
"Pathogenic","Raffinose_F","Nitrate",15,0.619
"Pathogenic","Raffinose_F","Vitamin-free",13,0.623
"Pathogenic","Raffinose_F","2-Keto-D-gluconate",6,0.613
"Pathogenic","Raffinose_F","Starch formation",20,0.812
"Pathogenic","Raffinose_F","Growth at 19°C",0,0.937
"Pathogenic","Raffinose_F","Growth at 25°C",0,0.957
"Pathogenic","Raffinose_F","Growth at 30°C",0,0.631
"Pathogenic","Raffinose_F","Growth at 37°C",3,0.303
"Pathogenic","Trehalose_F","Glucose",0,1
"Pathogenic","Trehalose_F","Inulin",24,0.64
"Pathogenic","Trehalose_F","Sucrose",6,0.579
"Pathogenic","Trehalose_F","Raffinose",15,0.639
"Pathogenic","Trehalose_F","Melibiose",22,0.545
"Pathogenic","Trehalose_F","Galactose",5,0.578
"Pathogenic","Trehalose_F","Lactose",23,0.569
"Pathogenic","Trehalose_F","Trehalose",1,0.227
"Pathogenic","Trehalose_F","Maltose",5,0.469
"Pathogenic","Trehalose_F","Melezitose",6,0.352
"Pathogenic","Trehalose_F","Methyl-?-D-glucoside",6,0.402
"Pathogenic","Trehalose_F","Soluble Starch",15,0.493
"Pathogenic","Trehalose_F","Cellobiose",9,0.839
"Pathogenic","Trehalose_F","Salicin",9,0.821
"Pathogenic","Trehalose_F","L-Sorbose",9,0.668
"Pathogenic","Trehalose_F","L-Rhamnose",15,0.401
"Pathogenic","Trehalose_F","D-Xylose",4,0.657
"Pathogenic","Trehalose_F","L-Arabinose",9,0.406
"Pathogenic","Trehalose_F","D-Arabinose",16,0.628
"Pathogenic","Trehalose_F","D-Ribose",9,0.51
"Pathogenic","Trehalose_F","Methanol",29,0.63
"Pathogenic","Trehalose_F","Ethanol",2,0.646
"Pathogenic","Trehalose_F","Glycerol",0,0.524
"Pathogenic","Trehalose_F","Erythritol",18,0.661
"Pathogenic","Trehalose_F","Ribitol",4,0.397
"Pathogenic","Trehalose_F","Galactitol",21,0.538
"Pathogenic","Trehalose_F","D-Mannitol",3,0.7
"Pathogenic","Trehalose_F","D-Glucitol",3,0.703
"Pathogenic","Trehalose_F","myo-Inositol",28,0.712
"Pathogenic","Trehalose_F","DL-Lactate",18,0.949
"Pathogenic","Trehalose_F","Succinate",3,0.791
"Pathogenic","Trehalose_F","Citrate",6,0.718
"Pathogenic","Trehalose_F","D-Gluconate",4,0.335
"Pathogenic","Trehalose_F","D-Glucosamine",9,0.377
"Pathogenic","Trehalose_F","Nitrate",27,0.791
"Pathogenic","Trehalose_F","Vitamin-free",22,0.674
"Pathogenic","Trehalose_F","2-Keto-D-gluconate",8,0.404
"Pathogenic","Trehalose_F","Starch formation",31,0.849
"Pathogenic","Trehalose_F","Growth at 19°C",0,0.903
"Pathogenic","Trehalose_F","Growth at 25°C",0,0.953
"Pathogenic","Trehalose_F","Growth at 30°C",1,0.654
"Pathogenic","Trehalose_F","Growth at 37°C",6,0.268
"Pathogenic","Glucose","Inulin",79,0.867
"Pathogenic","Glucose","Sucrose",41,0.832
"Pathogenic","Glucose","Raffinose",58,0.612
"Pathogenic","Glucose","Melibiose",76,0.738
"Pathogenic","Glucose","Galactose",28,0.509
"Pathogenic","Glucose","Lactose",77,0.741
"Pathogenic","Glucose","Trehalose",32,0.772
"Pathogenic","Glucose","Maltose",41,0.73
"Pathogenic","Glucose","Melezitose",46,0.634
"Pathogenic","Glucose","Methyl-?-D-glucoside",46,0.637
"Pathogenic","Glucose","Soluble Starch",60,0.504
"Pathogenic","Glucose","Cellobiose",37,0.78
"Pathogenic","Glucose","Salicin",37,0.789
"Pathogenic","Glucose","L-Sorbose",38,0.506
"Pathogenic","Glucose","L-Rhamnose",62,0.405
"Pathogenic","Glucose","D-Xylose",28,0.622
"Pathogenic","Glucose","L-Arabinose",49,0.378
"Pathogenic","Glucose","D-Arabinose",61,0.709
"Pathogenic","Glucose","D-Ribose",48,0.562
"Pathogenic","Glucose","Methanol",85,0.791
"Pathogenic","Glucose","Ethanol",11,0.5
"Pathogenic","Glucose","Glycerol",10,0.515
"Pathogenic","Glucose","Erythritol",62,0.595
"Pathogenic","Glucose","Ribitol",35,0.626
"Pathogenic","Glucose","Galactitol",73,0.557
"Pathogenic","Glucose","D-Mannitol",23,0.845
"Pathogenic","Glucose","D-Glucitol",20,0.67
"Pathogenic","Glucose","myo-Inositol",81,0.707
"Pathogenic","Glucose","DL-Lactate",40,0.358
"Pathogenic","Glucose","Succinate",11,0.345
"Pathogenic","Glucose","Citrate",24,0.212
"Pathogenic","Glucose","D-Gluconate",27,0.184
"Pathogenic","Glucose","D-Glucosamine",52,0.562
"Pathogenic","Glucose","Nitrate",79,0.946
"Pathogenic","Glucose","Vitamin-free",71,0.728
"Pathogenic","Glucose","2-Keto-D-gluconate",44,0.443
"Pathogenic","Glucose","Starch formation",84,0.904
"Pathogenic","Glucose","Growth at 19°C",5,0.903
"Pathogenic","Glucose","Growth at 25°C",0,0.734
"Pathogenic","Glucose","Growth at 30°C",3,0.197
"Pathogenic","Glucose","Growth at 37°C",24,0.004
"Pathogenic","Inulin","Sucrose",0,0.262
"Pathogenic","Inulin","Raffinose",0,0.07
"Pathogenic","Inulin","Melibiose",5,0.236
"Pathogenic","Inulin","Galactose",2,0.688
"Pathogenic","Inulin","Lactose",7,0.311
"Pathogenic","Inulin","Trehalose",0,0.42
"Pathogenic","Inulin","Maltose",0,0.257
"Pathogenic","Inulin","Melezitose",0,0.169
"Pathogenic","Inulin","Methyl-?-D-glucoside",0,0.177
"Pathogenic","Inulin","Soluble Starch",6,0.53
"Pathogenic","Inulin","Cellobiose",1,0.44
"Pathogenic","Inulin","Salicin",1,0.454
"Pathogenic","Inulin","L-Sorbose",2,0.49
"Pathogenic","Inulin","L-Rhamnose",6,0.48
"Pathogenic","Inulin","D-Xylose",0,0.44
"Pathogenic","Inulin","L-Arabinose",3,0.455
"Pathogenic","Inulin","D-Arabinose",4,0.383
"Pathogenic","Inulin","D-Ribose",3,0.527
"Pathogenic","Inulin","Methanol",11,0.421
"Pathogenic","Inulin","Ethanol",0,0.624
"Pathogenic","Inulin","Glycerol",0,0.773
"Pathogenic","Inulin","Erythritol",7,0.556
"Pathogenic","Inulin","Ribitol",2,0.611
"Pathogenic","Inulin","Galactitol",6,0.332
"Pathogenic","Inulin","D-Mannitol",0,0.601
"Pathogenic","Inulin","D-Glucitol",0,0.57
"Pathogenic","Inulin","myo-Inositol",10,0.398
"Pathogenic","Inulin","DL-Lactate",4,0.564
"Pathogenic","Inulin","Succinate",0,0.66
"Pathogenic","Inulin","Citrate",1,0.553
"Pathogenic","Inulin","D-Gluconate",3,0.707
"Pathogenic","Inulin","D-Glucosamine",3,0.412
"Pathogenic","Inulin","Nitrate",10,0.536
"Pathogenic","Inulin","Vitamin-free",7,0.381
"Pathogenic","Inulin","2-Keto-D-gluconate",2,0.354
"Pathogenic","Inulin","Starch formation",11,0.5
"Pathogenic","Inulin","Growth at 19°C",0,0.951
"Pathogenic","Inulin","Growth at 25°C",0,0.973
"Pathogenic","Inulin","Growth at 30°C",1,0.859
"Pathogenic","Inulin","Growth at 37°C",2,0.409
"Pathogenic","Sucrose","Raffinose",19,0.118
"Pathogenic","Sucrose","Melibiose",35,0.254
"Pathogenic","Sucrose","Galactose",7,0.333
"Pathogenic","Sucrose","Lactose",38,0.387
"Pathogenic","Sucrose","Trehalose",3,0.085
"Pathogenic","Sucrose","Maltose",3,0.015
"Pathogenic","Sucrose","Melezitose",5,0.006
"Pathogenic","Sucrose","Methyl-?-D-glucoside",6,0.022
"Pathogenic","Sucrose","Soluble Starch",23,0.189
"Pathogenic","Sucrose","Cellobiose",10,0.363
"Pathogenic","Sucrose","Salicin",11,0.412
"Pathogenic","Sucrose","L-Sorbose",16,0.568
"Pathogenic","Sucrose","L-Rhamnose",26,0.225
"Pathogenic","Sucrose","D-Xylose",3,0.124
"Pathogenic","Sucrose","L-Arabinose",15,0.13
"Pathogenic","Sucrose","D-Arabinose",27,0.48
"Pathogenic","Sucrose","D-Ribose",15,0.221
"Pathogenic","Sucrose","Methanol",47,0.53
"Pathogenic","Sucrose","Ethanol",4,0.643
"Pathogenic","Sucrose","Glycerol",1,0.424
"Pathogenic","Sucrose","Erythritol",29,0.465
"Pathogenic","Sucrose","Ribitol",9,0.295
"Pathogenic","Sucrose","Galactitol",33,0.199
"Pathogenic","Sucrose","D-Mannitol",3,0.361
"Pathogenic","Sucrose","D-Glucitol",2,0.218
"Pathogenic","Sucrose","myo-Inositol",42,0.396
"Pathogenic","Sucrose","DL-Lactate",23,0.778
"Pathogenic","Sucrose","Succinate",2,0.444
"Pathogenic","Sucrose","Citrate",4,0.093
"Pathogenic","Sucrose","D-Gluconate",6,0.152
"Pathogenic","Sucrose","D-Glucosamine",20,0.324
"Pathogenic","Sucrose","Nitrate",40,0.587
"Pathogenic","Sucrose","Vitamin-free",37,0.617
"Pathogenic","Sucrose","2-Keto-D-gluconate",15,0.271
"Pathogenic","Sucrose","Starch formation",47,0.692
"Pathogenic","Sucrose","Growth at 19°C",0,0.759
"Pathogenic","Sucrose","Growth at 25°C",0,0.894
"Pathogenic","Sucrose","Growth at 30°C",2,0.649
"Pathogenic","Sucrose","Growth at 37°C",10,0.103
"Pathogenic","Raffinose","Melibiose",18,0.3
"Pathogenic","Raffinose","Galactose",6,0.697
"Pathogenic","Raffinose","Lactose",22,0.521
"Pathogenic","Raffinose","Trehalose",2,0.297
"Pathogenic","Raffinose","Maltose",3,0.225
"Pathogenic","Raffinose","Melezitose",6,0.339
"Pathogenic","Raffinose","Methyl-?-D-glucoside",6,0.356
"Pathogenic","Raffinose","Soluble Starch",15,0.505
"Pathogenic","Raffinose","Cellobiose",4,0.36
"Pathogenic","Raffinose","Salicin",5,0.492
"Pathogenic","Raffinose","L-Sorbose",10,0.729
"Pathogenic","Raffinose","L-Rhamnose",15,0.358
"Pathogenic","Raffinose","D-Xylose",3,0.503
"Pathogenic","Raffinose","L-Arabinose",10,0.448
"Pathogenic","Raffinose","D-Arabinose",15,0.537
"Pathogenic","Raffinose","D-Ribose",9,0.484
"Pathogenic","Raffinose","Methanol",31,0.705
"Pathogenic","Raffinose","Ethanol",4,0.894
"Pathogenic","Raffinose","Glycerol",1,0.684
"Pathogenic","Raffinose","Erythritol",16,0.539
"Pathogenic","Raffinose","Ribitol",7,0.678
"Pathogenic","Raffinose","Galactitol",19,0.358
"Pathogenic","Raffinose","D-Mannitol",3,0.772
"Pathogenic","Raffinose","D-Glucitol",2,0.619
"Pathogenic","Raffinose","myo-Inositol",24,0.423
"Pathogenic","Raffinose","DL-Lactate",13,0.733
"Pathogenic","Raffinose","Succinate",1,0.561
"Pathogenic","Raffinose","Citrate",3,0.392
"Pathogenic","Raffinose","D-Gluconate",4,0.37
"Pathogenic","Raffinose","D-Glucosamine",11,0.462
"Pathogenic","Raffinose","Nitrate",26,0.745
"Pathogenic","Raffinose","Vitamin-free",23,0.713
"Pathogenic","Raffinose","2-Keto-D-gluconate",7,0.275
"Pathogenic","Raffinose","Starch formation",32,0.877
"Pathogenic","Raffinose","Growth at 19°C",0,0.885
"Pathogenic","Raffinose","Growth at 25°C",0,0.926
"Pathogenic","Raffinose","Growth at 30°C",2,0.807
"Pathogenic","Raffinose","Growth at 37°C",8,0.466
"Pathogenic","Melibiose","Galactose",0,0.374
"Pathogenic","Melibiose","Lactose",7,0.342
"Pathogenic","Melibiose","Trehalose",0,0.446
"Pathogenic","Melibiose","Maltose",0,0.298
"Pathogenic","Melibiose","Melezitose",2,0.461
"Pathogenic","Melibiose","Methyl-?-D-glucoside",1,0.38
"Pathogenic","Melibiose","Soluble Starch",4,0.339
"Pathogenic","Melibiose","Cellobiose",1,0.454
"Pathogenic","Melibiose","Salicin",1,0.479
"Pathogenic","Melibiose","L-Sorbose",2,0.525
"Pathogenic","Melibiose","L-Rhamnose",5,0.378
"Pathogenic","Melibiose","D-Xylose",0,0.463
"Pathogenic","Melibiose","L-Arabinose",1,0.216
"Pathogenic","Melibiose","D-Arabinose",4,0.379
"Pathogenic","Melibiose","D-Ribose",1,0.261
"Pathogenic","Melibiose","Methanol",14,0.652
"Pathogenic","Melibiose","Ethanol",1,0.828
"Pathogenic","Melibiose","Glycerol",0,0.778
"Pathogenic","Melibiose","Erythritol",3,0.255
"Pathogenic","Melibiose","Ribitol",0,0.313
"Pathogenic","Melibiose","Galactitol",6,0.311
"Pathogenic","Melibiose","D-Mannitol",1,0.799
"Pathogenic","Melibiose","D-Glucitol",0,0.613
"Pathogenic","Melibiose","myo-Inositol",10,0.398
"Pathogenic","Melibiose","DL-Lactate",6,0.786
"Pathogenic","Melibiose","Succinate",0,0.687
"Pathogenic","Melibiose","Citrate",0,0.365
