"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN"
"Clinical","Lactose_F","D-Glucosamine",0,0.927
"Clinical","Lactose_F","Nitrate",0,0.858
"Clinical","Lactose_F","Vitamin-free",0,0.88
"Clinical","Lactose_F","2-Keto-D-gluconate",0,0.929
"Clinical","Lactose_F","Starch formation",0,0.824
"Clinical","Lactose_F","Growth at 19°C",0,0.999
"Clinical","Lactose_F","Growth at 25°C",0,1
"Clinical","Lactose_F","Growth at 30°C",0,0.997
"Clinical","Lactose_F","Growth at 37°C",0,0.962
"Clinical","Raffinose_F","Glucose",0,1
"Clinical","Raffinose_F","Methanol",3,0.773
"Clinical","Raffinose_F","myo-Inositol",3,0.757
"Clinical","Raffinose_F","Starch formation",3,0.793
"Clinical","Trehalose_F","Glucose",0,1
"Clinical","Trehalose_F","Methanol",6,0.829
"Clinical","Trehalose_F","myo-Inositol",6,0.832
"Clinical","Trehalose_F","Starch formation",6,0.875
"Clinical","Glucose","Inulin",10,0.967
"Clinical","Glucose","Sucrose",2,0.697
"Clinical","Glucose","Raffinose",6,0.723
"Clinical","Glucose","Melibiose",9,0.869
"Clinical","Glucose","Galactose",2,0.748
"Clinical","Glucose","Lactose",10,0.926
"Clinical","Glucose","Trehalose",2,0.797
"Clinical","Glucose","Maltose",2,0.678
"Clinical","Glucose","Melezitose",2,0.53
"Clinical","Glucose","Methyl-?-D-glucoside",3,0.653
"Clinical","Glucose","Soluble Starch",7,0.746
"Clinical","Glucose","Cellobiose",4,0.865
"Clinical","Glucose","Salicin",4,0.848
"Clinical","Glucose","L-Sorbose",5,0.867
"Clinical","Glucose","L-Rhamnose",7,0.739
"Clinical","Glucose","D-Xylose",2,0.807
"Clinical","Glucose","L-Arabinose",6,0.78
"Clinical","Glucose","D-Arabinose",8,0.907
"Clinical","Glucose","D-Ribose",4,0.73
"Clinical","Glucose","Methanol",11,1
"Clinical","Glucose","Ethanol",1,0.831
"Clinical","Glucose","Glycerol",0,0.842
"Clinical","Glucose","Erythritol",9,0.936
"Clinical","Glucose","Ribitol",2,0.713
"Clinical","Glucose","Galactitol",9,0.877
"Clinical","Glucose","D-Mannitol",1,0.832
"Clinical","Glucose","D-Glucitol",1,0.826
"Clinical","Glucose","myo-Inositol",11,1
"Clinical","Glucose","DL-Lactate",4,0.684
"Clinical","Glucose","Succinate",0,0.747
"Clinical","Glucose","Citrate",0,0.432
"Clinical","Glucose","D-Gluconate",1,0.495
"Clinical","Glucose","D-Glucosamine",4,0.626
"Clinical","Glucose","Nitrate",9,0.862
"Clinical","Glucose","Vitamin-free",8,0.798
"Clinical","Glucose","2-Keto-D-gluconate",4,0.693
"Clinical","Glucose","Starch formation",11,1
"Clinical","Glucose","Growth at 19°C",0,0.985
"Clinical","Glucose","Growth at 25°C",0,0.975
"Clinical","Glucose","Growth at 30°C",0,0.755
"Clinical","Glucose","Growth at 37°C",1,0.342
"Clinical","Inulin","Methanol",1,0.639
"Clinical","Inulin","myo-Inositol",1,0.634
"Clinical","Inulin","Starch formation",1,0.68
"Clinical","Sucrose","Methanol",9,0.937
"Clinical","Sucrose","myo-Inositol",9,0.927
"Clinical","Sucrose","Starch formation",9,0.949
"Clinical","Raffinose","Methanol",5,0.767
"Clinical","Raffinose","myo-Inositol",5,0.761
"Clinical","Raffinose","Starch formation",5,0.833
"Clinical","Melibiose","Methanol",2,0.781
"Clinical","Melibiose","myo-Inositol",2,0.78
"Clinical","Melibiose","Starch formation",2,0.818
"Clinical","Galactose","Methanol",9,0.831
"Clinical","Galactose","myo-Inositol",9,0.827
"Clinical","Galactose","Starch formation",9,0.884
"Clinical","Lactose","Methanol",1,0.744
"Clinical","Lactose","myo-Inositol",1,0.733
"Clinical","Lactose","Starch formation",1,0.752
"Clinical","Trehalose","Methanol",9,0.886
"Clinical","Trehalose","myo-Inositol",9,0.863
"Clinical","Trehalose","Starch formation",9,0.92
"Clinical","Maltose","Methanol",9,0.937
"Clinical","Maltose","myo-Inositol",9,0.938
"Clinical","Maltose","Starch formation",9,0.971
"Clinical","Melezitose","Methanol",9,0.967
"Clinical","Melezitose","myo-Inositol",9,0.957
"Clinical","Melezitose","Starch formation",9,0.973
"Clinical","Methyl-?-D-glucoside","Methanol",8,0.907
"Clinical","Methyl-?-D-glucoside","myo-Inositol",8,0.894
"Clinical","Methyl-?-D-glucoside","Starch formation",8,0.927
"Clinical","Soluble Starch","Methanol",4,0.74
"Clinical","Soluble Starch","myo-Inositol",4,0.722
"Clinical","Soluble Starch","Starch formation",4,0.756
"Clinical","Cellobiose","Methanol",7,0.652
"Clinical","Cellobiose","myo-Inositol",7,0.629
"Clinical","Cellobiose","Starch formation",7,0.725
"Clinical","Salicin","Methanol",7,0.664
"Clinical","Salicin","myo-Inositol",7,0.62
"Clinical","Salicin","Starch formation",7,0.736
"Clinical","L-Sorbose","Methanol",6,0.558
"Clinical","L-Sorbose","myo-Inositol",6,0.567
"Clinical","L-Sorbose","Starch formation",6,0.651
"Clinical","L-Rhamnose","Methanol",4,0.78
"Clinical","L-Rhamnose","myo-Inositol",4,0.772
"Clinical","L-Rhamnose","Starch formation",4,0.818
"Clinical","D-Xylose","Methanol",9,0.835
"Clinical","D-Xylose","myo-Inositol",9,0.814
"Clinical","D-Xylose","Starch formation",9,0.896
"Clinical","L-Arabinose","Methanol",5,0.698
"Clinical","L-Arabinose","myo-Inositol",5,0.694
"Clinical","L-Arabinose","Starch formation",5,0.772
"Clinical","D-Arabinose","Methanol",3,0.564
"Clinical","D-Arabinose","myo-Inositol",3,0.557
"Clinical","D-Arabinose","Starch formation",3,0.628
"Clinical","D-Ribose","Methanol",7,0.836
"Clinical","D-Ribose","myo-Inositol",7,0.834
"Clinical","D-Ribose","Starch formation",7,0.884
"Clinical","Methanol","Ethanol",0,0.968
"Clinical","Methanol","Glycerol",0,0.995
"Clinical","Methanol","Erythritol",0,0.72
"Clinical","Methanol","Ribitol",0,0.935
"Clinical","Methanol","Galactitol",0,0.714
"Clinical","Methanol","D-Mannitol",0,0.984
"Clinical","Methanol","D-Glucitol",0,0.982
"Clinical","Methanol","myo-Inositol",0,0.646
"Clinical","Methanol","DL-Lactate",0,0.846
"Clinical","Methanol","Succinate",0,0.99
"Clinical","Methanol","Citrate",0,0.963
"Clinical","Methanol","D-Gluconate",0,0.941
"Clinical","Methanol","D-Glucosamine",0,0.843
"Clinical","Methanol","Nitrate",0,0.709
"Clinical","Methanol","Vitamin-free",0,0.739
"Clinical","Methanol","2-Keto-D-gluconate",0,0.873
"Clinical","Methanol","Starch formation",0,0.661
"Clinical","Methanol","Growth at 19°C",0,0.999
"Clinical","Methanol","Growth at 25°C",0,1
"Clinical","Methanol","Growth at 30°C",0,0.991
"Clinical","Methanol","Growth at 37°C",0,0.927
"Clinical","Ethanol","myo-Inositol",10,0.831
"Clinical","Ethanol","Starch formation",10,0.893
"Clinical","Glycerol","myo-Inositol",11,1
"Clinical","Glycerol","Starch formation",11,1
"Clinical","Erythritol","myo-Inositol",2,0.52
"Clinical","Erythritol","Starch formation",2,0.574
"Clinical","Ribitol","myo-Inositol",9,0.856
"Clinical","Ribitol","Starch formation",9,0.904
"Clinical","Galactitol","myo-Inositol",2,0.797
"Clinical","Galactitol","Starch formation",2,0.815
"Clinical","D-Mannitol","myo-Inositol",10,0.918
"Clinical","D-Mannitol","Starch formation",10,0.945
"Clinical","D-Glucitol","myo-Inositol",10,0.938
"Clinical","D-Glucitol","Starch formation",10,0.968
"Clinical","myo-Inositol","DL-Lactate",0,0.886
"Clinical","myo-Inositol","Succinate",0,0.993
"Clinical","myo-Inositol","Citrate",0,0.968
"Clinical","myo-Inositol","D-Gluconate",0,0.965
"Clinical","myo-Inositol","D-Glucosamine",0,0.891
"Clinical","myo-Inositol","Nitrate",0,0.749
"Clinical","myo-Inositol","Vitamin-free",0,0.788
"Clinical","myo-Inositol","2-Keto-D-gluconate",0,0.9
"Clinical","myo-Inositol","Starch formation",0,0.73
"Clinical","myo-Inositol","Growth at 19°C",0,0.998
"Clinical","myo-Inositol","Growth at 25°C",0,0.999
"Clinical","myo-Inositol","Growth at 30°C",0,0.991
"Clinical","myo-Inositol","Growth at 37°C",0,0.941
"Clinical","DL-Lactate","Starch formation",7,0.796
"Clinical","Succinate","Starch formation",11,1
"Clinical","Citrate","Starch formation",11,1
"Clinical","D-Gluconate","Starch formation",10,0.985
"Clinical","D-Glucosamine","Starch formation",7,0.899
"Clinical","Nitrate","Starch formation",2,0.646
"Clinical","Vitamin-free","Starch formation",3,0.705
"Clinical","2-Keto-D-gluconate","Starch formation",7,0.861
"Clinical","Starch formation","Growth at 19°C",0,0.999
"Clinical","Starch formation","Growth at 25°C",0,0.996
"Clinical","Starch formation","Growth at 30°C",0,0.971
"Clinical","Starch formation","Growth at 37°C",0,0.861
"Rotting.Decaying","Glucose_F","Lactose_F",68,0.582
"Rotting.Decaying","Glucose_F","Glucose",0,1
"Rotting.Decaying","Galactose_F","Lactose_F",29,0.48
"Rotting.Decaying","Galactose_F","Glucose",0,1
"Rotting.Decaying","Sucrose_F","Lactose_F",18,0.323
"Rotting.Decaying","Sucrose_F","Glucose",0,1
"Rotting.Decaying","Maltose_F","Lactose_F",17,0.4
"Rotting.Decaying","Maltose_F","Glucose",0,1
"Rotting.Decaying","Lactose_F","Raffinose_F",0,0.28
"Rotting.Decaying","Lactose_F","Trehalose_F",1,0.654
"Rotting.Decaying","Lactose_F","Glucose",0,1
"Rotting.Decaying","Lactose_F","Inulin",0,0.28
"Rotting.Decaying","Lactose_F","Sucrose",0,0.651
"Rotting.Decaying","Lactose_F","Raffinose",0,0.361
"Rotting.Decaying","Lactose_F","Melibiose",1,0.443
"Rotting.Decaying","Lactose_F","Galactose",0,0.667
"Rotting.Decaying","Lactose_F","Lactose",1,0.472
"Rotting.Decaying","Lactose_F","Trehalose",0,0.757
"Rotting.Decaying","Lactose_F","Maltose",0,0.646
"Rotting.Decaying","Lactose_F","Melezitose",1,0.709
"Rotting.Decaying","Lactose_F","Methyl-?-D-glucoside",0,0.583
"Rotting.Decaying","Lactose_F","Soluble Starch",1,0.579
"Rotting.Decaying","Lactose_F","Cellobiose",0,0.733
"Rotting.Decaying","Lactose_F","Salicin",0,0.712
"Rotting.Decaying","Lactose_F","L-Sorbose",0,0.598
"Rotting.Decaying","Lactose_F","L-Rhamnose",1,0.564
"Rotting.Decaying","Lactose_F","D-Xylose",0,0.799
"Rotting.Decaying","Lactose_F","L-Arabinose",1,0.681
"Rotting.Decaying","Lactose_F","D-Arabinose",1,0.662
"Rotting.Decaying","Lactose_F","D-Ribose",0,0.515
"Rotting.Decaying","Lactose_F","Methanol",1,0.455
"Rotting.Decaying","Lactose_F","Ethanol",0,0.916
"Rotting.Decaying","Lactose_F","Glycerol",1,0.975
"Rotting.Decaying","Lactose_F","Erythritol",1,0.573
"Rotting.Decaying","Lactose_F","Ribitol",0,0.686
"Rotting.Decaying","Lactose_F","Galactitol",1,0.481
"Rotting.Decaying","Lactose_F","D-Mannitol",0,0.868
"Rotting.Decaying","Lactose_F","D-Glucitol",0,0.846
"Rotting.Decaying","Lactose_F","myo-Inositol",1,0.455
"Rotting.Decaying","Lactose_F","DL-Lactate",1,0.679
"Rotting.Decaying","Lactose_F","Succinate",0,0.884
"Rotting.Decaying","Lactose_F","Citrate",0,0.677
"Rotting.Decaying","Lactose_F","D-Gluconate",0,0.583
"Rotting.Decaying","Lactose_F","D-Glucosamine",0,0.536
"Rotting.Decaying","Lactose_F","Nitrate",1,0.513
"Rotting.Decaying","Lactose_F","Vitamin-free",1,0.513
"Rotting.Decaying","Lactose_F","2-Keto-D-gluconate",0,0.518
"Rotting.Decaying","Lactose_F","Starch formation",0,0.279
"Rotting.Decaying","Lactose_F","Growth at 19°C",0,0.984
"Rotting.Decaying","Lactose_F","Growth at 25°C",0,0.988
"Rotting.Decaying","Lactose_F","Growth at 30°C",0,0.895
"Rotting.Decaying","Lactose_F","Growth at 37°C",1,0.708
"Rotting.Decaying","Raffinose_F","Glucose",0,1
"Rotting.Decaying","Trehalose_F","Glucose",0,1
"Rotting.Decaying","Glucose","Inulin",92,0.896
"Rotting.Decaying","Glucose","Sucrose",46,0.851
"Rotting.Decaying","Glucose","Raffinose",77,0.869
"Rotting.Decaying","Glucose","Melibiose",88,0.66
"Rotting.Decaying","Glucose","Galactose",39,0.768
"Rotting.Decaying","Glucose","Lactose",83,0.494
"Rotting.Decaying","Glucose","Trehalose",31,0.68
"Rotting.Decaying","Glucose","Maltose",48,0.788
"Rotting.Decaying","Glucose","Melezitose",58,0.78
"Rotting.Decaying","Glucose","Methyl-?-D-glucoside",53,0.671
"Rotting.Decaying","Glucose","Soluble Starch",76,0.709
"Rotting.Decaying","Glucose","Cellobiose",31,0.387
"Rotting.Decaying","Glucose","Salicin",31,0.351
"Rotting.Decaying","Glucose","L-Sorbose",41,0.358
"Rotting.Decaying","Glucose","L-Rhamnose",71,0.316
"Rotting.Decaying","Glucose","D-Xylose",20,0.21
"Rotting.Decaying","Glucose","L-Arabinose",59,0.412
"Rotting.Decaying","Glucose","D-Arabinose",59,0.218
"Rotting.Decaying","Glucose","D-Ribose",58,0.619
"Rotting.Decaying","Glucose","Methanol",84,0.235
"Rotting.Decaying","Glucose","Ethanol",7,0.2
"Rotting.Decaying","Glucose","Glycerol",9,0.577
"Rotting.Decaying","Glucose","Erythritol",70,0.511
"Rotting.Decaying","Glucose","Ribitol",40,0.593
"Rotting.Decaying","Glucose","Galactitol",86,0.644
"Rotting.Decaying","Glucose","D-Mannitol",21,0.656
"Rotting.Decaying","Glucose","D-Glucitol",26,0.751
"Rotting.Decaying","Glucose","myo-Inositol",86,0.471
"Rotting.Decaying","Glucose","DL-Lactate",46,0.361
"Rotting.Decaying","Glucose","Succinate",8,0.217
"Rotting.Decaying","Glucose","Citrate",30,0.288
"Rotting.Decaying","Glucose","D-Gluconate",51,0.829
"Rotting.Decaying","Glucose","D-Glucosamine",52,0.25
"Rotting.Decaying","Glucose","Nitrate",84,0.845
"Rotting.Decaying","Glucose","Vitamin-free",80,0.712
"Rotting.Decaying","Glucose","2-Keto-D-gluconate",54,0.536
"Rotting.Decaying","Glucose","Starch formation",90,0.866
"Rotting.Decaying","Glucose","Growth at 19°C",1,0.924
"Rotting.Decaying","Glucose","Growth at 25°C",1,0.855
"Rotting.Decaying","Glucose","Growth at 30°C",8,0.372
"Rotting.Decaying","Glucose","Growth at 37°C",47,0.212
"Spoiled","Glucose_F","Glucose",0,1
"Spoiled","Glucose_F","Starch formation",12,0.804
"Spoiled","Galactose_F","Glucose",0,1
"Spoiled","Galactose_F","Starch formation",2,0.482
"Spoiled","Sucrose_F","Glucose",0,1
"Spoiled","Sucrose_F","Starch formation",5,0.852
"Spoiled","Maltose_F","Glucose",0,1
"Spoiled","Maltose_F","Starch formation",1,0.59
"Spoiled","Lactose_F","Glucose",0,1
"Spoiled","Lactose_F","Starch formation",1,0.91
"Spoiled","Raffinose_F","Glucose",0,1
"Spoiled","Raffinose_F","Starch formation",3,0.801
"Spoiled","Trehalose_F","Glucose",0,1
"Spoiled","Trehalose_F","Starch formation",4,0.751
"Spoiled","Glucose","Inulin",16,0.901
"Spoiled","Glucose","Sucrose",8,0.714
"Spoiled","Glucose","Raffinose",11,0.561
"Spoiled","Glucose","Melibiose",13,0.646
"Spoiled","Glucose","Galactose",6,0.523
"Spoiled","Glucose","Lactose",13,0.607
"Spoiled","Glucose","Trehalose",9,0.864
"Spoiled","Glucose","Maltose",10,0.833
"Spoiled","Glucose","Melezitose",11,0.807
"Spoiled","Glucose","Methyl-?-D-glucoside",10,0.722
"Spoiled","Glucose","Soluble Starch",13,0.792
"Spoiled","Glucose","Cellobiose",8,0.678
"Spoiled","Glucose","Salicin",8,0.667
"Spoiled","Glucose","L-Sorbose",7,0.465
"Spoiled","Glucose","L-Rhamnose",15,0.874
"Spoiled","Glucose","D-Xylose",8,0.822
"Spoiled","Glucose","L-Arabinose",10,0.592
"Spoiled","Glucose","D-Arabinose",11,0.637
"Spoiled","Glucose","D-Ribose",11,0.759
"Spoiled","Glucose","Methanol",16,0.898
"Spoiled","Glucose","Ethanol",2,0.561
"Spoiled","Glucose","Glycerol",2,0.69
"Spoiled","Glucose","Erythritol",12,0.735
"Spoiled","Glucose","Ribitol",7,0.602
"Spoiled","Glucose","Galactitol",12,0.578
"Spoiled","Glucose","D-Mannitol",6,0.844
"Spoiled","Glucose","D-Glucitol",6,0.839
"Spoiled","Glucose","myo-Inositol",16,0.868
"Spoiled","Glucose","DL-Lactate",7,0.305
"Spoiled","Glucose","Succinate",4,0.704
"Spoiled","Glucose","Citrate",9,0.777
"Spoiled","Glucose","D-Gluconate",10,0.763
"Spoiled","Glucose","D-Glucosamine",12,0.706
"Spoiled","Glucose","Nitrate",15,0.829
"Spoiled","Glucose","Vitamin-free",16,0.87
"Spoiled","Glucose","2-Keto-D-gluconate",12,0.807
"Spoiled","Glucose","Starch formation",17,1
"Spoiled","Glucose","Growth at 19°C",0,0.962
"Spoiled","Glucose","Growth at 25°C",0,0.935
"Spoiled","Glucose","Growth at 30°C",2,0.593
"Spoiled","Glucose","Growth at 37°C",5,0.158
"Spoiled","Inulin","Starch formation",1,0.666
"Spoiled","Sucrose","Starch formation",9,0.835
"Spoiled","Raffinose","Starch formation",6,0.877
"Spoiled","Melibiose","Starch formation",4,0.917
"Spoiled","Galactose","Starch formation",11,0.943
"Spoiled","Lactose","Starch formation",4,0.94
"Spoiled","Trehalose","Starch formation",8,0.736
"Spoiled","Maltose","Starch formation",7,0.802
"Spoiled","Melezitose","Starch formation",6,0.761
"Spoiled","Methyl-?-D-glucoside","Starch formation",7,0.86
"Spoiled","Soluble Starch","Starch formation",4,0.808
"Spoiled","Cellobiose","Starch formation",9,0.836
"Spoiled","Salicin","Starch formation",9,0.831
"Spoiled","L-Sorbose","Starch formation",10,0.923
"Spoiled","L-Rhamnose","Starch formation",2,0.651
"Spoiled","D-Xylose","Starch formation",9,0.748
"Spoiled","L-Arabinose","Starch formation",7,0.895
"Spoiled","D-Arabinose","Starch formation",6,0.876
"Spoiled","D-Ribose","Starch formation",6,0.8
"Spoiled","Methanol","Starch formation",1,0.74
"Spoiled","Ethanol","Starch formation",15,0.98
"Spoiled","Glycerol","Starch formation",15,0.963
"Spoiled","Erythritol","Starch formation",5,0.856
"Spoiled","Ribitol","Starch formation",10,0.878
"Spoiled","Galactitol","Starch formation",5,0.951
"Spoiled","D-Mannitol","Starch formation",11,0.743
"Spoiled","D-Glucitol","Starch formation",11,0.757
"Spoiled","myo-Inositol","Starch formation",1,0.81
"Spoiled","DL-Lactate","Starch formation",10,0.937
"Spoiled","Succinate","Starch formation",13,0.895
"Spoiled","Citrate","Starch formation",8,0.688
"Spoiled","D-Gluconate","Starch formation",7,0.711
"Spoiled","D-Glucosamine","Starch formation",5,0.768
"Spoiled","Nitrate","Starch formation",2,0.655
"Spoiled","Vitamin-free","Starch formation",1,0.531
"Spoiled","2-Keto-D-gluconate","Starch formation",5,0.696
"Spoiled","Starch formation","Growth at 19°C",0,0.999
"Spoiled","Starch formation","Growth at 25°C",0,0.994
"Spoiled","Starch formation","Growth at 30°C",0,0.941
"Spoiled","Starch formation","Growth at 37°C",0,0.766
"Contaminated","Glucose_F","Lactose_F",2,1
"Contaminated","Glucose_F","Raffinose_F",2,1
"Contaminated","Glucose_F","Glucose",0,1
"Contaminated","Glucose_F","Inulin",2,1
"Contaminated","Glucose_F","Melibiose",2,1
"Contaminated","Glucose_F","Lactose",2,1
"Contaminated","Glucose_F","Methyl-?-D-glucoside",2,1
"Contaminated","Glucose_F","Methanol",2,1
"Contaminated","Glucose_F","Erythritol",2,1
"Contaminated","Glucose_F","Nitrate",2,1
