"Isolation","Trait_A","Trait_B","Observed_PP","Percent_PP","Mean_PP","SD_PP","Var_PP","Difference","Color"
"Clinical","Growth at 25°C","Growth at 30°C",11,1,10.701,0.540269276278867,0.291890890890891,0.298999999999999,1
"Clinical","Succinate","Citrate",11,1,9.942,0.976519118906327,0.95358958958959,1.058,1
"Clinical","Succinate","Growth at 19°C",11,1,10.694,0.544665641160392,0.296660660660661,0.305999999999999,1
"Clinical","Succinate","Growth at 25°C",11,1,10.684,0.548128127762519,0.300444444444444,0.316000000000001,1
"Clinical","Succinate","Growth at 30°C",11,1,10.441,0.725979370262025,0.527046046046046,0.558999999999999,1
"Rotting.Decaying","Glucose","Ethanol",91,0.934,88.71,1.96717304011868,3.86976976976977,2.29000000000001,1
"Spoiled","Glucose","Growth at 19°C",17,1,16.961,0.198792652073759,0.0395185185185185,0.0390000000000015,1
"Spoiled","Glucose","Growth at 25°C",17,1,16.933,0.258026311793153,0.0665775775775776,0.0670000000000002,1
"Spoiled","Growth at 19°C","Growth at 25°C",17,1,16.894,0.335971541766378,0.112876876876877,0.106000000000002,1
"Contaminated","Cellobiose","D-Arabinose",2,1,1.606,0.537636543636175,0.289053053053053,0.394,1
"Contaminated","Cellobiose","D-Glucitol",2,1,1.816,0.402872568321928,0.162306306306306,0.184,1
"Contaminated","Cellobiose","D-Glucosamine",2,1,1.652,0.541469472075009,0.293189189189189,0.348,1
"Contaminated","Cellobiose","D-Mannitol",2,1,1.841,0.376644209912831,0.141860860860861,0.159,1
"Contaminated","Cellobiose","D-Xylose",2,1,1.791,0.435325749879913,0.189508508508509,0.209,1
"Contaminated","Cellobiose","DL-Lactate",2,1,1.665,0.524452142764285,0.27505005005005,0.335,1
"Contaminated","Cellobiose","Ethanol",2,1,1.839,0.37579278894122,0.14122022022022,0.161,1
"Contaminated","Cellobiose","Growth at 19°C",2,1,1.883,0.327747491856793,0.107418418418418,0.117,1
"Contaminated","Cellobiose","Growth at 25°C",2,1,1.881,0.330072640411089,0.108947947947948,0.119,1
"Contaminated","Cellobiose","Growth at 30°C",2,1,1.851,0.367333545887023,0.134933933933934,0.149,1
"Contaminated","Cellobiose","Ribitol",2,1,1.739,0.465935720991744,0.217096096096096,0.261,1
"Contaminated","Cellobiose","Salicin",2,1,1.774,0.441722898567778,0.195119119119119,0.226,1
"Contaminated","Cellobiose","Succinate",2,1,1.833,0.378489437440801,0.143254254254254,0.167,1
"Contaminated","D-Arabinose","D-Glucitol",2,1,1.641,0.519989797389708,0.270389389389389,0.359,1
"Contaminated","D-Arabinose","D-Glucosamine",2,1,1.501,0.605281228327267,0.366365365365365,0.499,1
"Contaminated","D-Arabinose","D-Mannitol",2,1,1.668,0.50797050508276,0.258034034034034,0.332,1
"Contaminated","D-Arabinose","DL-Lactate",2,1,1.505,0.595255683995818,0.354329329329329,0.495,1
"Contaminated","D-Arabinose","Ethanol",2,1,1.665,0.50895386238247,0.259034034034034,0.335,1
"Contaminated","D-Arabinose","Growth at 19°C",2,1,1.707,0.485166349190034,0.235386386386386,0.293,1
"Contaminated","D-Arabinose","Growth at 25°C",2,1,1.705,0.488070910025596,0.238213213213213,0.295,1
"Contaminated","D-Arabinose","Growth at 30°C",2,1,1.681,0.501488275526448,0.25149049049049,0.319,1
"Contaminated","D-Arabinose","Ribitol",2,1,1.579,0.567521877182793,0.322081081081081,0.421,1
"Contaminated","D-Arabinose","Succinate",2,1,1.667,0.516117600336762,0.266377377377377,0.333,1
"Contaminated","D-Glucitol","D-Glucosamine",2,1,1.688,0.516645838967975,0.266922922922923,0.312,1
"Contaminated","D-Glucitol","DL-Lactate",2,1,1.705,0.488070910025596,0.238213213213213,0.295,1
"Contaminated","D-Glucitol","Growth at 19°C",2,1,1.923,0.270451740878376,0.0731441441441441,0.077,1
"Contaminated","D-Glucitol","Growth at 25°C",2,1,1.921,0.273557734004787,0.0748338338338338,0.079,1
"Contaminated","D-Glucitol","Growth at 30°C",2,1,1.893,0.315674912925704,0.0996506506506507,0.107,1
"Contaminated","D-Glucitol","Succinate",2,1,1.873,0.339095835990338,0.114985985985986,0.127,1
"Contaminated","D-Glucosamine","Growth at 19°C",2,1,1.755,0.476657321565716,0.227202202202202,0.245,1
"Contaminated","D-Glucosamine","Growth at 25°C",2,1,1.754,0.47719148327659,0.227711711711712,0.246,1
"Contaminated","D-Glucosamine","Growth at 30°C",2,1,1.724,0.502071783788012,0.252076076076076,0.276,1
"Contaminated","D-Mannitol","D-Glucitol",2,1,1.879,0.338339287511033,0.114473473473473,0.121,1
"Contaminated","D-Mannitol","D-Glucosamine",2,1,1.712,0.51119205521733,0.261317317317317,0.288,1
"Contaminated","D-Mannitol","DL-Lactate",2,1,1.727,0.482393722703461,0.232703703703704,0.273,1
"Contaminated","D-Mannitol","Growth at 19°C",2,1,1.953,0.216420511592219,0.0468378378378378,0.0469999999999999,1
"Contaminated","D-Mannitol","Growth at 25°C",2,1,1.951,0.220562117435537,0.0486476476476476,0.0489999999999999,1
"Contaminated","D-Mannitol","Growth at 30°C",2,1,1.921,0.273557734004787,0.0748338338338338,0.079,1
"Contaminated","D-Mannitol","Succinate",2,1,1.904,0.301454598364123,0.0908748748748749,0.0960000000000001,1
"Contaminated","D-Xylose","D-Arabinose",2,1,1.628,0.545814908108888,0.297913913913914,0.372,1
"Contaminated","D-Xylose","D-Glucitol",2,1,1.826,0.402350451579075,0.161885885885886,0.174,1
"Contaminated","D-Xylose","D-Glucosamine",2,1,1.664,0.541661700138931,0.293397397397397,0.336,1
"Contaminated","D-Xylose","D-Mannitol",2,1,1.851,0.378076635011927,0.142941941941942,0.149,1
"Contaminated","D-Xylose","DL-Lactate",2,1,1.678,0.518251468482806,0.268584584584585,0.322,1
"Contaminated","D-Xylose","Ethanol",2,1,1.851,0.38333529180855,0.146945945945946,0.149,1
"Contaminated","D-Xylose","Growth at 19°C",2,1,1.895,0.328759917087049,0.108083083083083,0.105,1
"Contaminated","D-Xylose","Growth at 25°C",2,1,1.893,0.331150510584931,0.109660660660661,0.107,1
"Contaminated","D-Xylose","Growth at 30°C",2,1,1.862,0.370260844666423,0.137093093093093,0.138,1
"Contaminated","D-Xylose","Ribitol",2,1,1.746,0.475089159747631,0.22570970970971,0.254,1
"Contaminated","D-Xylose","Succinate",2,1,1.847,0.381754812329507,0.145736736736737,0.153,1
"Contaminated","DL-Lactate","D-Glucosamine",2,1,1.553,0.596277239668383,0.355546546546547,0.447,1
"Contaminated","DL-Lactate","Growth at 19°C",2,1,1.766,0.448826743237795,0.201445445445445,0.234,1
"Contaminated","DL-Lactate","Growth at 25°C",2,1,1.764,0.452226169641374,0.204508508508509,0.236,1
"Contaminated","DL-Lactate","Growth at 30°C",2,1,1.739,0.468079157940298,0.219098098098098,0.261,1
"Contaminated","DL-Lactate","Succinate",2,1,1.721,0.483107019605793,0.233392392392392,0.279,1
"Contaminated","Ethanol","D-Glucitol",2,1,1.876,0.335762917453278,0.112736736736737,0.124,1
"Contaminated","Ethanol","D-Glucosamine",2,1,1.715,0.511895533323975,0.262037037037037,0.285,1
"Contaminated","Ethanol","D-Mannitol",2,1,1.905,0.300108422182826,0.0900650650650651,0.095,1
"Contaminated","Ethanol","DL-Lactate",2,1,1.727,0.471904326843581,0.222693693693694,0.273,1
"Contaminated","Ethanol","Growth at 19°C",2,1,1.95,0.218054001448145,0.0475475475475475,0.05,1
"Contaminated","Ethanol","Growth at 25°C",2,1,1.948,0.222138122224316,0.0493453453453453,0.052,1
"Contaminated","Ethanol","Growth at 30°C",2,1,1.918,0.274502006097135,0.0753513513513513,0.0820000000000001,1
"Contaminated","Ethanol","Ribitol",2,1,1.796,0.417802056671049,0.174558558558559,0.204,1
"Contaminated","Ethanol","Succinate",2,1,1.901,0.29881145943268,0.0892882882882883,0.099,1
"Contaminated","Galactose","Cellobiose",2,1,1.767,0.443743065194159,0.196907907907908,0.233,1
"Contaminated","Galactose","D-Arabinose",2,1,1.606,0.546866586164362,0.299063063063063,0.394,1
"Contaminated","Galactose","D-Glucitol",2,1,1.806,0.41777809724606,0.174538538538539,0.194,1
"Contaminated","Galactose","D-Glucosamine",2,1,1.653,0.543033963841937,0.294885885885886,0.347,1
"Contaminated","Galactose","D-Mannitol",2,1,1.834,0.390636143484697,0.152596596596597,0.166,1
"Contaminated","Galactose","D-Xylose",2,1,1.779,0.445373278674594,0.198357357357357,0.221,1
"Contaminated","Galactose","DL-Lactate",2,1,1.663,0.52698074794883,0.277708708708709,0.337,1
"Contaminated","Galactose","Ethanol",2,1,1.831,0.388058745023984,0.15058958958959,0.169,1
"Contaminated","Galactose","Growth at 19°C",2,1,1.878,0.336495511454803,0.113229229229229,0.122,1
"Contaminated","Galactose","Growth at 25°C",2,1,1.876,0.338731071410254,0.114738738738739,0.124,1
"Contaminated","Galactose","Growth at 30°C",2,1,1.847,0.376474079762117,0.141732732732733,0.153,1
"Contaminated","Galactose","Maltose",2,1,1.731,0.486698958161897,0.236875875875876,0.269,1
"Contaminated","Galactose","Ribitol",2,1,1.729,0.489692555384293,0.239798798798799,0.271,1
"Contaminated","Galactose","Salicin",2,1,1.773,0.451303306740239,0.203674674674675,0.227,1
"Contaminated","Galactose","Soluble Starch",2,1,1.565,0.558647551759683,0.312087087087087,0.435,1
"Contaminated","Galactose","Succinate",2,1,1.828,0.398214232009071,0.158574574574575,0.172,1
"Contaminated","Galactose","Trehalose",2,1,1.799,0.425182054865654,0.18077977977978,0.201,1
"Contaminated","Galactose_F","Cellobiose",2,1,1.598,0.546529683269532,0.298694694694695,0.402,1
"Contaminated","Galactose_F","D-Arabinose",2,1,1.456,0.61027570526479,0.372436436436436,0.544,1
"Contaminated","Galactose_F","D-Glucitol",2,1,1.638,0.534079807932524,0.285241241241241,0.362,1
"Contaminated","Galactose_F","D-Glucosamine",2,1,1.493,0.610183024447029,0.372323323323323,0.507,1
"Contaminated","Galactose_F","D-Mannitol",2,1,1.655,0.523688122119692,0.274249249249249,0.345,1
"Contaminated","Galactose_F","D-Xylose",2,1,1.606,0.546866586164362,0.299063063063063,0.394,1
"Contaminated","Galactose_F","DL-Lactate",2,1,1.504,0.605268824862433,0.36635035035035,0.496,1
"Contaminated","Galactose_F","Ethanol",2,1,1.653,0.528081309903948,0.27886986986987,0.347,1
"Contaminated","Galactose_F","Galactose",2,1,1.602,0.553083991724496,0.305901901901902,0.398,1
"Contaminated","Galactose_F","Glucose",2,1,1.697,0.499440126982645,0.24944044044044,0.303,1
"Contaminated","Galactose_F","Growth at 19°C",2,1,1.696,0.501832477860726,0.251835835835836,0.304,1
"Contaminated","Galactose_F","Growth at 25°C",2,1,1.695,0.50022517452166,0.250225225225225,0.305,1
"Contaminated","Galactose_F","Growth at 30°C",2,1,1.67,0.515136259028003,0.265365365365365,0.33,1
"Contaminated","Galactose_F","Maltose",2,1,1.566,0.572688372478412,0.327971971971972,0.434,1
"Contaminated","Galactose_F","Ribitol",2,1,1.562,0.57313565975647,0.328484484484484,0.438,1
"Contaminated","Galactose_F","Salicin",2,1,1.606,0.559532909735502,0.313077077077077,0.394,1
"Contaminated","Galactose_F","Soluble Starch",2,1,1.416,0.630350173587143,0.397341341341341,0.584,1
"Contaminated","Galactose_F","Succinate",2,1,1.654,0.529683456948171,0.280564564564565,0.346,1
"Contaminated","Galactose_F","Trehalose",2,1,1.625,0.539134181503701,0.290665665665666,0.375,1
"Contaminated","Galactose_F","Trehalose_F",2,1,1.447,0.619333976602749,0.383574574574575,0.553,1
"Contaminated","Glucose","Cellobiose",2,1,1.884,0.326574112033778,0.106650650650651,0.116,1
"Contaminated","Glucose","D-Arabinose",2,1,1.708,0.484738043659636,0.234970970970971,0.292,1
"Contaminated","Glucose","D-Glucitol",2,1,1.924,0.26887970599563,0.0722962962962963,0.0760000000000001,1
"Contaminated","Glucose","D-Glucosamine",2,1,1.756,0.476120458172814,0.226690690690691,0.244,1
"Contaminated","Glucose","D-Mannitol",2,1,1.954,0.21431269194784,0.0459299299299299,0.046,1
"Contaminated","Glucose","D-Xylose",2,1,1.896,0.327553493785811,0.107291291291291,0.104,1
"Contaminated","Glucose","DL-Lactate",2,1,1.767,0.448231984481152,0.200911911911912,0.233,1
"Contaminated","Glucose","Ethanol",2,1,1.951,0.215976030257169,0.0466456456456456,0.0489999999999999,1
"Contaminated","Glucose","Galactose",2,1,1.879,0.33536766610911,0.112471471471471,0.121,1
"Contaminated","Glucose","Growth at 19°C",2,1,1.999,0.0316227766016838,0.001,0.00099999999999989,1
"Contaminated","Glucose","Growth at 25°C",2,1,1.997,0.054717401199198,0.00299399399399399,0.00299999999999989,1
"Contaminated","Glucose","Growth at 30°C",2,1,1.966,0.181319819316248,0.0328768768768769,0.034,1
"Contaminated","Glucose","Maltose",2,1,1.845,0.372980045195603,0.139114114114114,0.155,1
"Contaminated","Glucose","Ribitol",2,1,1.842,0.381026483569294,0.145181181181181,0.158,1
"Contaminated","Glucose","Salicin",2,1,1.886,0.330322740835555,0.109113113113113,0.114,1
"Contaminated","Glucose","Soluble Starch",2,1,1.666,0.508628255902779,0.258702702702703,0.334,1
"Contaminated","Glucose","Succinate",2,1,1.948,0.222138122224316,0.0493453453453453,0.052,1
"Contaminated","Glucose","Trehalose",2,1,1.915,0.282586013197495,0.0798548548548549,0.085,1
"Contaminated","Glucose_F","Cellobiose",2,1,1.766,0.444343832455725,0.197441441441441,0.234,1
"Contaminated","Glucose_F","D-Arabinose",2,1,1.609,0.555362428894346,0.308427427427427,0.391,1
"Contaminated","Glucose_F","D-Glucitol",2,1,1.805,0.416110740246089,0.173148148148148,0.195,1
"Contaminated","Glucose_F","D-Glucosamine",2,1,1.643,0.553043268521421,0.305856856856857,0.357,1
"Contaminated","Glucose_F","D-Mannitol",2,1,1.832,0.387202693593324,0.149925925925926,0.168,1
"Contaminated","Glucose_F","D-Xylose",2,1,1.78,0.449223554371097,0.201801801801802,0.22,1
"Contaminated","Glucose_F","DL-Lactate",2,1,1.659,0.524398697551771,0.274993993993994,0.341,1
"Contaminated","Glucose_F","Ethanol",2,1,1.829,0.392317362492298,0.153912912912913,0.171,1
"Contaminated","Glucose_F","Galactose",2,1,1.764,0.445536196624362,0.198502502502503,0.236,1
"Contaminated","Glucose_F","Galactose_F",2,1,1.6,0.564197056282925,0.318318318318318,0.4,1
"Contaminated","Glucose_F","Glucose",2,1,1.876,0.338731071410254,0.114738738738739,0.124,1
"Contaminated","Glucose_F","Growth at 19°C",2,1,1.876,0.338731071410254,0.114738738738739,0.124,1
"Contaminated","Glucose_F","Growth at 25°C",2,1,1.873,0.342035068359939,0.116987987987988,0.127,1
"Contaminated","Glucose_F","Growth at 30°C",2,1,1.844,0.376571116531534,0.141805805805806,0.156,1
"Contaminated","Glucose_F","Maltose",2,1,1.735,0.467967941203235,0.218993993993994,0.265,1
"Contaminated","Glucose_F","Ribitol",2,1,1.729,0.485587062013389,0.235794794794795,0.271,1
"Contaminated","Glucose_F","Salicin",2,1,1.77,0.448666135674737,0.201301301301301,0.23,1
"Contaminated","Glucose_F","Soluble Starch",2,1,1.566,0.563881159431632,0.317961961961962,0.434,1
"Contaminated","Glucose_F","Succinate",2,1,1.827,0.388873015549064,0.151222222222222,0.173,1
"Contaminated","Glucose_F","Trehalose",2,1,1.799,0.415658239148187,0.172771771771772,0.201,1
"Contaminated","Glucose_F","Trehalose_F",2,1,1.605,0.545226808101245,0.297272272272272,0.395,1
"Contaminated","Growth at 19°C","Growth at 25°C",2,1,1.996,0.0631505185092568,0.00398798798798799,0.004,1
"Contaminated","Growth at 19°C","Growth at 30°C",2,1,1.965,0.18387171834953,0.0338088088088088,0.0349999999999999,1
"Contaminated","Growth at 25°C","Growth at 30°C",2,1,1.963,0.188856206322871,0.0356666666666667,0.0369999999999999,1
"Contaminated","Maltose","Cellobiose",2,1,1.742,0.462222510972421,0.21364964964965,0.258,1
"Contaminated","Maltose","D-Arabinose",2,1,1.578,0.558773861439696,0.312228228228228,0.422,1
"Contaminated","Maltose","D-Glucitol",2,1,1.777,0.430646556303956,0.185456456456456,0.223,1
"Contaminated","Maltose","D-Glucosamine",2,1,1.626,0.557166433334273,0.310434434434434,0.374,1
"Contaminated","Maltose","D-Mannitol",2,1,1.809,0.410716066994813,0.168687687687688,0.191,1
"Contaminated","Maltose","D-Xylose",2,1,1.751,0.463911860393991,0.215214214214214,0.249,1
"Contaminated","Maltose","DL-Lactate",2,1,1.626,0.546280534544681,0.298422422422422,0.374,1
"Contaminated","Maltose","Ethanol",2,1,1.801,0.414210780364986,0.171570570570571,0.199,1
"Contaminated","Maltose","Growth at 19°C",2,1,1.844,0.373903468563483,0.139803803803804,0.156,1
"Contaminated","Maltose","Growth at 25°C",2,1,1.842,0.375735514926626,0.141177177177177,0.158,1
"Contaminated","Maltose","Growth at 30°C",2,1,1.813,0.405210063047792,0.164195195195195,0.187,1
"Contaminated","Maltose","Ribitol",2,1,1.702,0.4933958243028,0.243439439439439,0.298,1
"Contaminated","Maltose","Salicin",2,1,1.75,0.464452059652787,0.215715715715716,0.25,1
"Contaminated","Maltose","Soluble Starch",2,1,1.549,0.569142269492368,0.323922922922923,0.451,1
"Contaminated","Maltose","Succinate",2,1,1.8,0.417341795383801,0.174174174174174,0.2,1
"Contaminated","Ribitol","D-Glucitol",2,1,1.774,0.441722898567778,0.195119119119119,0.226,1
"Contaminated","Ribitol","D-Glucosamine",2,1,1.623,0.561414451351394,0.315186186186186,0.377,1
"Contaminated","Ribitol","D-Mannitol",2,1,1.802,0.420681557681072,0.176972972972973,0.198,1
"Contaminated","Ribitol","DL-Lactate",2,1,1.622,0.565186195368779,0.319435435435435,0.378,1
"Contaminated","Ribitol","Growth at 19°C",2,1,1.841,0.381922590147355,0.145864864864865,0.159,1
"Contaminated","Ribitol","Growth at 25°C",2,1,1.839,0.386300696644762,0.149228228228228,0.161,1
"Contaminated","Ribitol","Growth at 30°C",2,1,1.813,0.414973737968083,0.172203203203203,0.187,1
"Contaminated","Ribitol","Succinate",2,1,1.793,0.424654366904817,0.180331331331331,0.207,1
"Contaminated","Salicin","D-Arabinose",2,1,1.614,0.545253428509442,0.297301301301301,0.386,1
"Contaminated","Salicin","D-Glucitol",2,1,1.813,0.42451291053537,0.180211211211211,0.187,1
"Contaminated","Salicin","D-Glucosamine",2,1,1.662,0.549598087749637,0.302058058058058,0.338,1
"Contaminated","Salicin","D-Mannitol",2,1,1.845,0.375654250762741,0.141116116116116,0.155,1
"Contaminated","Salicin","D-Xylose",2,1,1.787,0.444779528338287,0.197828828828829,0.213,1
"Contaminated","Salicin","DL-Lactate",2,1,1.671,0.520605445640007,0.27103003003003,0.329,1
"Contaminated","Salicin","Ethanol",2,1,1.837,0.388048426851059,0.150581581581582,0.163,1
"Contaminated","Salicin","Growth at 19°C",2,1,1.885,0.33148889104295,0.109884884884885,0.115,1
"Contaminated","Salicin","Growth at 25°C",2,1,1.883,0.333799973670494,0.111422422422422,0.117,1
"Contaminated","Salicin","Growth at 30°C",2,1,1.854,0.367176822278884,0.134818818818819,0.146,1
"Contaminated","Salicin","Ribitol",2,1,1.74,0.471829018419409,0.222622622622623,0.26,1
"Contaminated","Salicin","Succinate",2,1,1.836,0.38373330745617,0.147251251251251,0.164,1
"Contaminated","Soluble Starch","Cellobiose",2,1,1.561,0.566215153099597,0.3205995995996,0.439,1
"Contaminated","Soluble Starch","D-Arabinose",2,1,1.433,0.604877571808442,0.365876876876877,0.567,1
"Contaminated","Soluble Starch","D-Glucitol",2,1,1.6,0.547996624351191,0.3003003003003,0.4,1
"Contaminated","Soluble Starch","D-Glucosamine",2,1,1.474,0.619441448167385,0.383707707707708,0.526,1
"Contaminated","Soluble Starch","D-Mannitol",2,1,1.627,0.527398472835435,0.278149149149149,0.373,1
"Contaminated","Soluble Starch","D-Xylose",2,1,1.579,0.56575531732285,0.320079079079079,0.421,1
"Contaminated","Soluble Starch","DL-Lactate",2,1,1.47,0.601216651018135,0.361461461461461,0.53,1
"Contaminated","Soluble Starch","Ethanol",2,1,1.627,0.529293067356026,0.280151151151151,0.373,1
"Contaminated","Soluble Starch","Growth at 19°C",2,1,1.665,0.50895386238247,0.259034034034034,0.335,1
"Contaminated","Soluble Starch","Growth at 25°C",2,1,1.664,0.511239049139799,0.261365365365365,0.336,1
"Contaminated","Soluble Starch","Growth at 30°C",2,1,1.638,0.522713333701398,0.273229229229229,0.362,1
"Contaminated","Soluble Starch","Ribitol",2,1,1.544,0.578271906976639,0.334398398398398,0.456,1
"Contaminated","Soluble Starch","Salicin",2,1,1.568,0.561864478047591,0.315691691691692,0.432,1
"Contaminated","Soluble Starch","Succinate",2,1,1.624,0.535640654647228,0.286910910910911,0.376,1
"Contaminated","Succinate","D-Glucosamine",2,1,1.709,0.504552845174392,0.254573573573574,0.291,1
"Contaminated","Succinate","Growth at 19°C",2,1,1.947,0.224145580463326,0.0502412412412412,0.0529999999999999,1
"Contaminated","Succinate","Growth at 25°C",2,1,1.945,0.228094337998616,0.052027027027027,0.0549999999999999,1
"Contaminated","Succinate","Growth at 30°C",2,1,1.915,0.282586013197495,0.0798548548548549,0.085,1
"Contaminated","Trehalose","Cellobiose",2,1,1.805,0.416110740246089,0.173148148148148,0.195,1
"Contaminated","Trehalose","D-Arabinose",2,1,1.634,0.538826812931887,0.290334334334334,0.366,1
"Contaminated","Trehalose","D-Glucitol",2,1,1.844,0.373903468563483,0.139803803803804,0.156,1
"Contaminated","Trehalose","D-Glucosamine",2,1,1.684,0.51420658145186,0.264408408408408,0.316,1
"Contaminated","Trehalose","D-Mannitol",2,1,1.874,0.343863697185734,0.118242242242242,0.126,1
"Contaminated","Trehalose","D-Xylose",2,1,1.818,0.408708995549453,0.167043043043043,0.182,1
"Contaminated","Trehalose","DL-Lactate",2,1,1.694,0.494579223793932,0.244608608608609,0.306,1
"Contaminated","Trehalose","Ethanol",2,1,1.87,0.348168380559208,0.121221221221221,0.13,1
"Contaminated","Trehalose","Growth at 19°C",2,1,1.914,0.284050496716138,0.0806846846846847,0.0860000000000001,1
"Contaminated","Trehalose","Growth at 25°C",2,1,1.912,0.286946577498911,0.0823383383383383,0.0880000000000001,1
"Contaminated","Trehalose","Growth at 30°C",2,1,1.882,0.328913642441575,0.108184184184184,0.118,1
"Contaminated","Trehalose","Maltose",2,1,1.765,0.447185615796142,0.199974974974975,0.235,1
"Contaminated","Trehalose","Ribitol",2,1,1.768,0.454293277941004,0.206382382382382,0.232,1
"Contaminated","Trehalose","Salicin",2,1,1.805,0.411271375303636,0.169144144144144,0.195,1
"Contaminated","Trehalose","Soluble Starch",2,1,1.593,0.543733985186365,0.295646646646647,0.407,1
"Contaminated","Trehalose","Succinate",2,1,1.866,0.35237503908218,0.124168168168168,0.134,1
"Contaminated","Trehalose_F","Cellobiose",2,1,1.605,0.559721616777741,0.313288288288288,0.395,1
"Contaminated","Trehalose_F","D-Arabinose",2,1,1.464,0.600886898729757,0.361065065065065,0.536,1
"Contaminated","Trehalose_F","D-Glucitol",2,1,1.639,0.528164707224894,0.278957957957958,0.361,1
"Contaminated","Trehalose_F","D-Glucosamine",2,1,1.509,0.606866778862781,0.368287287287287,0.491,1
"Contaminated","Trehalose_F","D-Mannitol",2,1,1.665,0.516761107323338,0.267042042042042,0.335,1
"Contaminated","Trehalose_F","D-Xylose",2,1,1.615,0.548703996774286,0.301076076076076,0.385,1
"Contaminated","Trehalose_F","DL-Lactate",2,1,1.515,0.595087497036469,0.354129129129129,0.485,1
"Contaminated","Trehalose_F","Ethanol",2,1,1.666,0.520302522302857,0.270714714714715,0.334,1
"Contaminated","Trehalose_F","Galactose",2,1,1.605,0.559721616777741,0.313288288288288,0.395,1
"Contaminated","Trehalose_F","Glucose",2,1,1.704,0.49459946282687,0.244628628628629,0.296,1
"Contaminated","Trehalose_F","Growth at 19°C",2,1,1.703,0.497029212459427,0.247038038038038,0.297,1
"Contaminated","Trehalose_F","Growth at 25°C",2,1,1.702,0.495420469340379,0.245441441441441,0.298,1
"Contaminated","Trehalose_F","Growth at 30°C",2,1,1.675,0.515403376629064,0.265640640640641,0.325,1
"Contaminated","Trehalose_F","Maltose",2,1,1.579,0.562205545219073,0.316075075075075,0.421,1
"Contaminated","Trehalose_F","Ribitol",2,1,1.577,0.571311996546018,0.326397397397397,0.423,1
"Contaminated","Trehalose_F","Salicin",2,1,1.611,0.549527961964613,0.301980980980981,0.389,1
"Contaminated","Trehalose_F","Soluble Starch",2,1,1.425,0.610530709913717,0.372747747747748,0.575,1
"Contaminated","Trehalose_F","Succinate",2,1,1.656,0.529097291567386,0.279943943943944,0.344,1
"Contaminated","Trehalose_F","Trehalose",2,1,1.634,0.531343887069689,0.282326326326326,0.366,1
"Plant.Pathogen","Glucose","Growth at 19°C",29,1,28.915,0.293020239677844,0.0858608608608609,0.0850000000000009,1
"Animal","Glucose","Growth at 37°C",72,0.997,63.486,3.44640126533195,11.8776816816817,8.514,1
"Insect","Glucose","D-Glucitol",201,0.981,196.353,2.63957541251588,6.96735835835836,4.64699999999999,1
"Tree","Glucose","Nitrate",64,0.998,54.098,3.89635439578814,15.1815775775776,9.902,1
"Stone.Chamber","2-Keto-D-gluconate","Growth at 19°C",2,1,1.858,0.366019084160881,0.13396996996997,0.142,1
"Stone.Chamber","2-Keto-D-gluconate","Growth at 25°C",2,1,1.852,0.374481289567631,0.140236236236236,0.148,1
"Stone.Chamber","2-Keto-D-gluconate","Growth at 30°C",2,1,1.839,0.388883311843322,0.15123023023023,0.161,1
"Stone.Chamber","Cellobiose","2-Keto-D-gluconate",2,1,1.789,0.441218396798766,0.194673673673674,0.211,1
