"Isolation","Trait_A","Trait_B","Mean_NP","SD_NP","Var_NP"
"Pathogenic","Glucose_F","DL-Lactate",NA,6.06920520520521,NA
"Pathogenic","Glucose_F","Succinate",NA,6.88313913913914,NA
"Pathogenic","Glucose_F","Citrate",NA,6.05560660660661,NA
"Pathogenic","Glucose_F","D-Gluconate",NA,5.7036036036036,NA
"Pathogenic","Glucose_F","D-Glucosamine",NA,3.60870870870871,NA
"Pathogenic","Glucose_F","Nitrate",NA,1.41297197197197,NA
"Pathogenic","Glucose_F","Vitamin-free",NA,2.60610610610611,NA
"Pathogenic","Glucose_F","2-Keto-D-gluconate",NA,4.64341841841842,NA
"Pathogenic","Glucose_F","Starch formation",NA,1.67945545545546,NA
"Pathogenic","Glucose_F","Growth at 19°C",NA,6.85883383383383,NA
"Pathogenic","Glucose_F","Growth at 25°C",NA,7.51846246246246,NA
"Pathogenic","Glucose_F","Growth at 30°C",NA,7.73276876876877,NA
"Pathogenic","Glucose_F","Growth at 37°C",NA,6.64973373373373,NA
"Pathogenic","Galactose_F","Sucrose_F",NA,5.12941341341341,NA
"Pathogenic","Galactose_F","Maltose_F",NA,3.73601501501502,NA
"Pathogenic","Galactose_F","Lactose_F",NA,0.646770770770771,NA
"Pathogenic","Galactose_F","Raffinose_F",NA,3.86221321321321,NA
"Pathogenic","Galactose_F","Trehalose_F",NA,6.22393493493493,NA
"Pathogenic","Galactose_F","Glucose",NA,6.12847947947948,NA
"Pathogenic","Galactose_F","Inulin",NA,2.77677277277277,NA
"Pathogenic","Galactose_F","Sucrose",NA,7.8046036036036,NA
"Pathogenic","Galactose_F","Raffinose",NA,5.79164764764765,NA
"Pathogenic","Galactose_F","Melibiose",NA,2.80313913913914,NA
"Pathogenic","Galactose_F","Galactose",NA,9.55502602602603,NA
"Pathogenic","Galactose_F","Lactose",NA,2.14158058058058,NA
"Pathogenic","Galactose_F","Trehalose",NA,8.59086986986987,NA
"Pathogenic","Galactose_F","Maltose",NA,7.3446956956957,NA
"Pathogenic","Galactose_F","Melezitose",NA,6.75567467467467,NA
"Pathogenic","Galactose_F","Methyl-?-D-glucoside",NA,6.68154554554555,NA
"Pathogenic","Galactose_F","Soluble Starch",NA,5.14254654654655,NA
"Pathogenic","Galactose_F","Cellobiose",NA,8.45722122122122,NA
"Pathogenic","Galactose_F","Salicin",NA,8.48874474474474,NA
"Pathogenic","Galactose_F","L-Sorbose",NA,8.87527527527527,NA
"Pathogenic","Galactose_F","L-Rhamnose",NA,5.32543643643644,NA
"Pathogenic","Galactose_F","D-Xylose",NA,8.51888288288288,NA
"Pathogenic","Galactose_F","L-Arabinose",NA,6.97304904904905,NA
"Pathogenic","Galactose_F","D-Arabinose",NA,5.66145245245245,NA
"Pathogenic","Galactose_F","D-Ribose",NA,6.69701301301301,NA
"Pathogenic","Galactose_F","Methanol",NA,2.34538438438438,NA
"Pathogenic","Galactose_F","Ethanol",NA,8.37732832832833,NA
"Pathogenic","Galactose_F","Glycerol",NA,7.69860960960961,NA
"Pathogenic","Galactose_F","Erythritol",NA,5.12312312312312,NA
"Pathogenic","Galactose_F","Ribitol",NA,8.18424824824825,NA
"Pathogenic","Galactose_F","Galactitol",NA,2.87181581581582,NA
"Pathogenic","Galactose_F","D-Mannitol",NA,7.68128128128128,NA
"Pathogenic","Galactose_F","D-Glucitol",NA,7.94665765765766,NA
"Pathogenic","Galactose_F","myo-Inositol",NA,2.18128528528529,NA
"Pathogenic","Galactose_F","DL-Lactate",NA,9.66936536536537,NA
"Pathogenic","Galactose_F","Succinate",NA,8.3222972972973,NA
"Pathogenic","Galactose_F","Citrate",NA,8.70853253253253,NA
"Pathogenic","Galactose_F","D-Gluconate",NA,8.62106006006006,NA
"Pathogenic","Galactose_F","D-Glucosamine",NA,7.0258008008008,NA
"Pathogenic","Galactose_F","Nitrate",NA,3.66867267267267,NA
"Pathogenic","Galactose_F","Vitamin-free",NA,5.1638998998999,NA
"Pathogenic","Galactose_F","2-Keto-D-gluconate",NA,8.61777677677678,NA
"Pathogenic","Galactose_F","Starch formation",NA,3.47257257257257,NA
"Pathogenic","Galactose_F","Growth at 19°C",NA,6.43465865865866,NA
"Pathogenic","Galactose_F","Growth at 25°C",NA,6.40352252252252,NA
"Pathogenic","Galactose_F","Growth at 30°C",NA,8.18528528528529,NA
"Pathogenic","Galactose_F","Growth at 37°C",NA,11.4037877877878,NA
"Pathogenic","Sucrose_F","Maltose_F",NA,3.91541541541542,NA
"Pathogenic","Sucrose_F","Lactose_F",NA,0.657336336336336,NA
"Pathogenic","Sucrose_F","Raffinose_F",NA,3.56763163163163,NA
"Pathogenic","Sucrose_F","Trehalose_F",NA,6.53053053053053,NA
"Pathogenic","Sucrose_F","Glucose",NA,5.67561161161161,NA
"Pathogenic","Sucrose_F","Inulin",NA,2.75082682682683,NA
"Pathogenic","Sucrose_F","Sucrose",NA,8.91466566566567,NA
"Pathogenic","Sucrose_F","Raffinose",NA,6.11171171171171,NA
"Pathogenic","Sucrose_F","Melibiose",NA,2.68071171171171,NA
"Pathogenic","Sucrose_F","Galactose",NA,8.59510610610611,NA
"Pathogenic","Sucrose_F","Lactose",NA,2.33673673673674,NA
"Pathogenic","Sucrose_F","Trehalose",NA,9.12420820820821,NA
"Pathogenic","Sucrose_F","Maltose",NA,7.73786186186186,NA
"Pathogenic","Sucrose_F","Melezitose",NA,7.09019019019019,NA
"Pathogenic","Sucrose_F","Methyl-?-D-glucoside",NA,7.39191591591592,NA
"Pathogenic","Sucrose_F","Soluble Starch",NA,5.31674074074074,NA
"Pathogenic","Sucrose_F","Cellobiose",NA,9.13437337337337,NA
"Pathogenic","Sucrose_F","Salicin",NA,8.86821921921922,NA
"Pathogenic","Sucrose_F","L-Sorbose",NA,9.01845445445445,NA
"Pathogenic","Sucrose_F","L-Rhamnose",NA,5.47907507507507,NA
"Pathogenic","Sucrose_F","D-Xylose",NA,8.40387487487487,NA
"Pathogenic","Sucrose_F","L-Arabinose",NA,6.58055555555556,NA
"Pathogenic","Sucrose_F","D-Arabinose",NA,5.67127127127127,NA
"Pathogenic","Sucrose_F","D-Ribose",NA,7.05397297297297,NA
"Pathogenic","Sucrose_F","Methanol",NA,2.10216616616617,NA
"Pathogenic","Sucrose_F","Ethanol",NA,8.13682082082082,NA
"Pathogenic","Sucrose_F","Glycerol",NA,7.38401501501501,NA
"Pathogenic","Sucrose_F","Erythritol",NA,5.1454964964965,NA
"Pathogenic","Sucrose_F","Ribitol",NA,8.00355455455455,NA
"Pathogenic","Sucrose_F","Galactitol",NA,2.85052152152152,NA
"Pathogenic","Sucrose_F","D-Mannitol",NA,8.20275875875876,NA
"Pathogenic","Sucrose_F","D-Glucitol",NA,8.03050650650651,NA
"Pathogenic","Sucrose_F","myo-Inositol",NA,2.00397897897898,NA
"Pathogenic","Sucrose_F","DL-Lactate",NA,10.018018018018,NA
"Pathogenic","Sucrose_F","Succinate",NA,9.02598198198198,NA
"Pathogenic","Sucrose_F","Citrate",NA,8.97176276276276,NA
"Pathogenic","Sucrose_F","D-Gluconate",NA,9.4608998998999,NA
"Pathogenic","Sucrose_F","D-Glucosamine",NA,6.30117717717718,NA
"Pathogenic","Sucrose_F","Nitrate",NA,3.93616716716717,NA
"Pathogenic","Sucrose_F","Vitamin-free",NA,5.04351451451451,NA
"Pathogenic","Sucrose_F","2-Keto-D-gluconate",NA,8.82814714714715,NA
"Pathogenic","Sucrose_F","Starch formation",NA,3.71063463463463,NA
"Pathogenic","Sucrose_F","Growth at 19°C",NA,6.21695295295295,NA
"Pathogenic","Sucrose_F","Growth at 25°C",NA,5.77325725725726,NA
"Pathogenic","Sucrose_F","Growth at 30°C",NA,7.83067467467467,NA
"Pathogenic","Sucrose_F","Growth at 37°C",NA,11.9693733733734,NA
"Pathogenic","Maltose_F","Lactose_F",NA,0.767326326326326,NA
"Pathogenic","Maltose_F","Raffinose_F",NA,4.29674074074074,NA
"Pathogenic","Maltose_F","Trehalose_F",NA,6.41965065065065,NA
"Pathogenic","Maltose_F","Glucose",NA,4.54637037037037,NA
"Pathogenic","Maltose_F","Inulin",NA,3.28073673673674,NA
"Pathogenic","Maltose_F","Sucrose",NA,8.63530630630631,NA
"Pathogenic","Maltose_F","Raffinose",NA,6.74906506506507,NA
"Pathogenic","Maltose_F","Melibiose",NA,3.07824224224224,NA
"Pathogenic","Maltose_F","Galactose",NA,8.66113213213213,NA
"Pathogenic","Maltose_F","Lactose",NA,2.87384884884885,NA
"Pathogenic","Maltose_F","Trehalose",NA,8.5783023023023,NA
"Pathogenic","Maltose_F","Maltose",NA,7.80615715715716,NA
"Pathogenic","Maltose_F","Melezitose",NA,7.00774374374374,NA
"Pathogenic","Maltose_F","Methyl-?-D-glucoside",NA,7.15471871871872,NA
"Pathogenic","Maltose_F","Soluble Starch",NA,5.48422022022022,NA
"Pathogenic","Maltose_F","Cellobiose",NA,8.95762862862863,NA
"Pathogenic","Maltose_F","Salicin",NA,9.52427527527528,NA
"Pathogenic","Maltose_F","L-Sorbose",NA,8.52570970970971,NA
"Pathogenic","Maltose_F","L-Rhamnose",NA,5.22112112112112,NA
"Pathogenic","Maltose_F","D-Xylose",NA,8.39029029029029,NA
"Pathogenic","Maltose_F","L-Arabinose",NA,6.37597597597598,NA
"Pathogenic","Maltose_F","D-Arabinose",NA,5.88298298298298,NA
"Pathogenic","Maltose_F","D-Ribose",NA,7.85863363363363,NA
"Pathogenic","Maltose_F","Methanol",NA,2.56016016016016,NA
"Pathogenic","Maltose_F","Ethanol",NA,7.73711311311311,NA
"Pathogenic","Maltose_F","Glycerol",NA,6.52688588588589,NA
"Pathogenic","Maltose_F","Erythritol",NA,5.62646546546547,NA
"Pathogenic","Maltose_F","Ribitol",NA,8.04480880880881,NA
"Pathogenic","Maltose_F","Galactitol",NA,3.06024424424424,NA
"Pathogenic","Maltose_F","D-Mannitol",NA,7.24888788788789,NA
"Pathogenic","Maltose_F","D-Glucitol",NA,7.1822982982983,NA
"Pathogenic","Maltose_F","myo-Inositol",NA,2.25473373373373,NA
"Pathogenic","Maltose_F","DL-Lactate",NA,10.9107347347347,NA
"Pathogenic","Maltose_F","Succinate",NA,6.876995995996,NA
"Pathogenic","Maltose_F","Citrate",NA,8.92202202202202,NA
"Pathogenic","Maltose_F","D-Gluconate",NA,9.06003503503504,NA
"Pathogenic","Maltose_F","D-Glucosamine",NA,7.45803403403403,NA
"Pathogenic","Maltose_F","Nitrate",NA,4.05092692692693,NA
"Pathogenic","Maltose_F","Vitamin-free",NA,5.69953553553554,NA
"Pathogenic","Maltose_F","2-Keto-D-gluconate",NA,8.24496096096096,NA
"Pathogenic","Maltose_F","Starch formation",NA,3.93445845845846,NA
"Pathogenic","Maltose_F","Growth at 19°C",NA,5.16476376376376,NA
"Pathogenic","Maltose_F","Growth at 25°C",NA,4.67131031031031,NA
"Pathogenic","Maltose_F","Growth at 30°C",NA,6.99382482482482,NA
"Pathogenic","Maltose_F","Growth at 37°C",NA,11.473024024024,NA
"Pathogenic","Lactose_F","Raffinose_F",NA,5.07247647647648,NA
"Pathogenic","Lactose_F","Trehalose_F",NA,6.87487487487487,NA
"Pathogenic","Lactose_F","Glucose",NA,1.26904404404404,NA
"Pathogenic","Lactose_F","Inulin",NA,4.27486586586587,NA
"Pathogenic","Lactose_F","Sucrose",NA,7.3236986986987,NA
"Pathogenic","Lactose_F","Raffinose",NA,6.51549049049049,NA
"Pathogenic","Lactose_F","Melibiose",NA,3.44073673673674,NA
"Pathogenic","Lactose_F","Galactose",NA,7.07314914914915,NA
"Pathogenic","Lactose_F","Lactose",NA,3.01452552552553,NA
"Pathogenic","Lactose_F","Trehalose",NA,6.26466466466466,NA
"Pathogenic","Lactose_F","Maltose",NA,6.71622022022022,NA
"Pathogenic","Lactose_F","Melezitose",NA,6.05436536536537,NA
"Pathogenic","Lactose_F","Methyl-?-D-glucoside",NA,6.16741141141141,NA
"Pathogenic","Lactose_F","Soluble Starch",NA,5.98708708708709,NA
"Pathogenic","Lactose_F","Cellobiose",NA,8.10033133133133,NA
"Pathogenic","Lactose_F","Salicin",NA,7.59197597597598,NA
"Pathogenic","Lactose_F","L-Sorbose",NA,8.49009009009009,NA
"Pathogenic","Lactose_F","L-Rhamnose",NA,5.87685185185185,NA
"Pathogenic","Lactose_F","D-Xylose",NA,5.91208808808809,NA
"Pathogenic","Lactose_F","L-Arabinose",NA,6.29100700700701,NA
"Pathogenic","Lactose_F","D-Arabinose",NA,6.01072172172172,NA
"Pathogenic","Lactose_F","D-Ribose",NA,6.3978978978979,NA
"Pathogenic","Lactose_F","Methanol",NA,3.18814714714715,NA
"Pathogenic","Lactose_F","Ethanol",NA,5.09486986986987,NA
"Pathogenic","Lactose_F","Glycerol",NA,3.74278178178178,NA
"Pathogenic","Lactose_F","Erythritol",NA,6.22122022022022,NA
"Pathogenic","Lactose_F","Ribitol",NA,6.50245345345345,NA
"Pathogenic","Lactose_F","Galactitol",NA,3.22013113113113,NA
"Pathogenic","Lactose_F","D-Mannitol",NA,5.02097197197197,NA
"Pathogenic","Lactose_F","D-Glucitol",NA,4.70454054054054,NA
"Pathogenic","Lactose_F","myo-Inositol",NA,2.68530930930931,NA
"Pathogenic","Lactose_F","DL-Lactate",NA,11.0542852852853,NA
"Pathogenic","Lactose_F","Succinate",NA,4.5915025025025,NA
"Pathogenic","Lactose_F","Citrate",NA,7.26846746746747,NA
"Pathogenic","Lactose_F","D-Gluconate",NA,8.46926526526527,NA
"Pathogenic","Lactose_F","D-Glucosamine",NA,7.65133033033033,NA
"Pathogenic","Lactose_F","Nitrate",NA,5.47115015015015,NA
"Pathogenic","Lactose_F","Vitamin-free",NA,7.13261161161161,NA
"Pathogenic","Lactose_F","2-Keto-D-gluconate",NA,8.6317957957958,NA
"Pathogenic","Lactose_F","Starch formation",NA,5.69667167167167,NA
"Pathogenic","Lactose_F","Growth at 19°C",NA,1.74758358358358,NA
"Pathogenic","Lactose_F","Growth at 25°C",NA,1.56316316316316,NA
"Pathogenic","Lactose_F","Growth at 30°C",NA,4.37209109109109,NA
"Pathogenic","Lactose_F","Growth at 37°C",NA,11.09096996997,NA
"Pathogenic","Raffinose_F","Trehalose_F",NA,6.8296046046046,NA
"Pathogenic","Raffinose_F","Glucose",NA,4.58344744744745,NA
"Pathogenic","Raffinose_F","Inulin",NA,3.46986086086086,NA
"Pathogenic","Raffinose_F","Sucrose",NA,8.53230730730731,NA
"Pathogenic","Raffinose_F","Raffinose",NA,6.77174674674675,NA
"Pathogenic","Raffinose_F","Melibiose",NA,3.05287687687688,NA
"Pathogenic","Raffinose_F","Galactose",NA,7.60396796796797,NA
"Pathogenic","Raffinose_F","Lactose",NA,2.48826326326326,NA
"Pathogenic","Raffinose_F","Trehalose",NA,8.20227827827828,NA
"Pathogenic","Raffinose_F","Maltose",NA,7.95854954954955,NA
"Pathogenic","Raffinose_F","Melezitose",NA,7.2570960960961,NA
"Pathogenic","Raffinose_F","Methyl-?-D-glucoside",NA,7.55701301301301,NA
"Pathogenic","Raffinose_F","Soluble Starch",NA,5.71761761761762,NA
"Pathogenic","Raffinose_F","Cellobiose",NA,9.59272872872873,NA
"Pathogenic","Raffinose_F","Salicin",NA,9.99525925925926,NA
"Pathogenic","Raffinose_F","L-Sorbose",NA,9.13624024024024,NA
"Pathogenic","Raffinose_F","L-Rhamnose",NA,5.6746986986987,NA
"Pathogenic","Raffinose_F","D-Xylose",NA,7.96692292292292,NA
"Pathogenic","Raffinose_F","L-Arabinose",NA,6.3748988988989,NA
"Pathogenic","Raffinose_F","D-Arabinose",NA,6.13286886886887,NA
"Pathogenic","Raffinose_F","D-Ribose",NA,6.84112512512513,NA
"Pathogenic","Raffinose_F","Methanol",NA,2.44121621621622,NA
"Pathogenic","Raffinose_F","Ethanol",NA,7.02718618618619,NA
"Pathogenic","Raffinose_F","Glycerol",NA,6.39176676676677,NA
"Pathogenic","Raffinose_F","Erythritol",NA,5.43238838838839,NA
"Pathogenic","Raffinose_F","Ribitol",NA,7.85064964964965,NA
"Pathogenic","Raffinose_F","Galactitol",NA,3.22937337337337,NA
"Pathogenic","Raffinose_F","D-Mannitol",NA,7.10781181181181,NA
"Pathogenic","Raffinose_F","D-Glucitol",NA,7.53192792792793,NA
"Pathogenic","Raffinose_F","myo-Inositol",NA,2.340004004004,NA
"Pathogenic","Raffinose_F","DL-Lactate",NA,10.4999239239239,NA
"Pathogenic","Raffinose_F","Succinate",NA,7.48658658658659,NA
"Pathogenic","Raffinose_F","Citrate",NA,9.68494894894895,NA
"Pathogenic","Raffinose_F","D-Gluconate",NA,9.04294294294294,NA
"Pathogenic","Raffinose_F","D-Glucosamine",NA,7.19056556556557,NA
"Pathogenic","Raffinose_F","Nitrate",NA,4.64983383383383,NA
"Pathogenic","Raffinose_F","Vitamin-free",NA,6.16126126126126,NA
"Pathogenic","Raffinose_F","2-Keto-D-gluconate",NA,8.28980880880881,NA
"Pathogenic","Raffinose_F","Starch formation",NA,4.1442952952953,NA
"Pathogenic","Raffinose_F","Growth at 19°C",NA,4.97635135135135,NA
"Pathogenic","Raffinose_F","Growth at 25°C",NA,4.70135735735736,NA
"Pathogenic","Raffinose_F","Growth at 30°C",NA,7.17955455455455,NA
"Pathogenic","Raffinose_F","Growth at 37°C",NA,12.0201761761762,NA
"Pathogenic","Trehalose_F","Glucose",NA,6.44647747747748,NA
"Pathogenic","Trehalose_F","Inulin",NA,2.76703803803804,NA
"Pathogenic","Trehalose_F","Sucrose",NA,7.99503103103103,NA
"Pathogenic","Trehalose_F","Raffinose",NA,5.97895495495495,NA
"Pathogenic","Trehalose_F","Melibiose",NA,2.64023623623624,NA
"Pathogenic","Trehalose_F","Galactose",NA,8.7748058058058,NA
"Pathogenic","Trehalose_F","Lactose",NA,2.3023023023023,NA
"Pathogenic","Trehalose_F","Trehalose",NA,9.53741641641642,NA
"Pathogenic","Trehalose_F","Maltose",NA,7.88436336336336,NA
"Pathogenic","Trehalose_F","Melezitose",NA,7.24043643643644,NA
"Pathogenic","Trehalose_F","Methyl-?-D-glucoside",NA,7.00296196196196,NA
"Pathogenic","Trehalose_F","Soluble Starch",NA,5.05977877877878,NA
"Pathogenic","Trehalose_F","Cellobiose",NA,8.717996996997,NA
"Pathogenic","Trehalose_F","Salicin",NA,8.63013013013013,NA
"Pathogenic","Trehalose_F","L-Sorbose",NA,7.76805205205205,NA
"Pathogenic","Trehalose_F","L-Rhamnose",NA,5.56432832832833,NA
"Pathogenic","Trehalose_F","D-Xylose",NA,8.44720620620621,NA
"Pathogenic","Trehalose_F","L-Arabinose",NA,6.50245345345345,NA
"Pathogenic","Trehalose_F","D-Arabinose",NA,5.58385485485485,NA
"Pathogenic","Trehalose_F","D-Ribose",NA,6.97477877877878,NA
"Pathogenic","Trehalose_F","Methanol",NA,2.15947047047047,NA
"Pathogenic","Trehalose_F","Ethanol",NA,8.60063163163163,NA
"Pathogenic","Trehalose_F","Glycerol",NA,8.02560960960961,NA
"Pathogenic","Trehalose_F","Erythritol",NA,5.21633533533534,NA
"Pathogenic","Trehalose_F","Ribitol",NA,8.98321421421421,NA
"Pathogenic","Trehalose_F","Galactitol",NA,2.77880980980981,NA
"Pathogenic","Trehalose_F","D-Mannitol",NA,8.43279179179179,NA
"Pathogenic","Trehalose_F","D-Glucitol",NA,7.80562962962963,NA
"Pathogenic","Trehalose_F","myo-Inositol",NA,2.01601201201201,NA
"Pathogenic","Trehalose_F","DL-Lactate",NA,9.6857967967968,NA
"Pathogenic","Trehalose_F","Succinate",NA,7.41977077077077,NA
"Pathogenic","Trehalose_F","Citrate",NA,9.34057157157157,NA
"Pathogenic","Trehalose_F","D-Gluconate",NA,9.73820920920921,NA
"Pathogenic","Trehalose_F","D-Glucosamine",NA,6.93551151151151,NA
"Pathogenic","Trehalose_F","Nitrate",NA,4.03331231231231,NA
"Pathogenic","Trehalose_F","Vitamin-free",NA,5.06849249249249,NA
"Pathogenic","Trehalose_F","2-Keto-D-gluconate",NA,8.22806706706707,NA
"Pathogenic","Trehalose_F","Starch formation",NA,3.61896296296296,NA
"Pathogenic","Trehalose_F","Growth at 19°C",NA,6.76130530530531,NA
"Pathogenic","Trehalose_F","Growth at 25°C",NA,6.65368468468468,NA
"Pathogenic","Trehalose_F","Growth at 30°C",NA,8.53525425425426,NA
"Pathogenic","Trehalose_F","Growth at 37°C",NA,10.9067107107107,NA
"Pathogenic","Glucose","Inulin",NA,0,NA
"Pathogenic","Glucose","Sucrose",NA,0,NA
"Pathogenic","Glucose","Raffinose",NA,0,NA
"Pathogenic","Glucose","Melibiose",NA,0,NA
"Pathogenic","Glucose","Galactose",NA,0,NA
"Pathogenic","Glucose","Lactose",NA,0,NA
"Pathogenic","Glucose","Trehalose",NA,0,NA
"Pathogenic","Glucose","Maltose",NA,0,NA
"Pathogenic","Glucose","Melezitose",NA,0,NA
"Pathogenic","Glucose","Methyl-?-D-glucoside",NA,0,NA
"Pathogenic","Glucose","Soluble Starch",NA,0,NA
"Pathogenic","Glucose","Cellobiose",NA,0,NA
"Pathogenic","Glucose","Salicin",NA,0,NA
"Pathogenic","Glucose","L-Sorbose",NA,0,NA
"Pathogenic","Glucose","L-Rhamnose",NA,0,NA
"Pathogenic","Glucose","D-Xylose",NA,0,NA
"Pathogenic","Glucose","L-Arabinose",NA,0,NA
"Pathogenic","Glucose","D-Arabinose",NA,0,NA
"Pathogenic","Glucose","D-Ribose",NA,0,NA
"Pathogenic","Glucose","Methanol",NA,0,NA
"Pathogenic","Glucose","Ethanol",NA,0,NA
"Pathogenic","Glucose","Glycerol",NA,0,NA
"Pathogenic","Glucose","Erythritol",NA,0,NA
"Pathogenic","Glucose","Ribitol",NA,0,NA
"Pathogenic","Glucose","Galactitol",NA,0,NA
"Pathogenic","Glucose","D-Mannitol",NA,0,NA
"Pathogenic","Glucose","D-Glucitol",NA,0,NA
"Pathogenic","Glucose","myo-Inositol",NA,0,NA
"Pathogenic","Glucose","DL-Lactate",NA,0,NA
"Pathogenic","Glucose","Succinate",NA,0,NA
"Pathogenic","Glucose","Citrate",NA,0,NA
"Pathogenic","Glucose","D-Gluconate",NA,0,NA
"Pathogenic","Glucose","D-Glucosamine",NA,0,NA
"Pathogenic","Glucose","Nitrate",NA,0,NA
"Pathogenic","Glucose","Vitamin-free",NA,0,NA
"Pathogenic","Glucose","2-Keto-D-gluconate",NA,0,NA
"Pathogenic","Glucose","Starch formation",NA,0,NA
"Pathogenic","Glucose","Growth at 19°C",NA,0,NA
"Pathogenic","Glucose","Growth at 25°C",NA,0,NA
"Pathogenic","Glucose","Growth at 30°C",NA,0,NA
"Pathogenic","Glucose","Growth at 37°C",NA,0,NA
"Pathogenic","Inulin","Sucrose",NA,8.93892292292292,NA
"Pathogenic","Inulin","Raffinose",NA,7.44416316316316,NA
"Pathogenic","Inulin","Melibiose",NA,3.30842742742743,NA
"Pathogenic","Inulin","Galactose",NA,8.87650750750751,NA
"Pathogenic","Inulin","Lactose",NA,2.97434934934935,NA
"Pathogenic","Inulin","Trehalose",NA,8.7281031031031,NA
"Pathogenic","Inulin","Maltose",NA,7.74314214214214,NA
"Pathogenic","Inulin","Melezitose",NA,7.15757357357357,NA
"Pathogenic","Inulin","Methyl-?-D-glucoside",NA,7.48672572572573,NA
"Pathogenic","Inulin","Soluble Starch",NA,5.77655155155155,NA
"Pathogenic","Inulin","Cellobiose",NA,9.72411511511512,NA
"Pathogenic","Inulin","Salicin",NA,9.11689189189189,NA
"Pathogenic","Inulin","L-Sorbose",NA,9.14824824824825,NA
"Pathogenic","Inulin","L-Rhamnose",NA,6.37134634634635,NA
"Pathogenic","Inulin","D-Xylose",NA,8.4761951951952,NA
"Pathogenic","Inulin","L-Arabinose",NA,6.79382982982983,NA
"Pathogenic","Inulin","D-Arabinose",NA,6.78987387387387,NA
"Pathogenic","Inulin","D-Ribose",NA,7.59627527527527,NA
"Pathogenic","Inulin","Methanol",NA,2.92735835835836,NA
"Pathogenic","Inulin","Ethanol",NA,6.88267367367367,NA
"Pathogenic","Inulin","Glycerol",NA,6.1361001001001,NA
"Pathogenic","Inulin","Erythritol",NA,6.13439039039039,NA
"Pathogenic","Inulin","Ribitol",NA,8.18722622622623,NA
"Pathogenic","Inulin","Galactitol",NA,3.44231331331331,NA
"Pathogenic","Inulin","D-Mannitol",NA,7.69024924924925,NA
"Pathogenic","Inulin","D-Glucitol",NA,7.20007107107107,NA
"Pathogenic","Inulin","myo-Inositol",NA,2.48132032032032,NA
"Pathogenic","Inulin","DL-Lactate",NA,10.6534444444444,NA
"Pathogenic","Inulin","Succinate",NA,7.16520920920921,NA
"Pathogenic","Inulin","Citrate",NA,9.13944344344344,NA
"Pathogenic","Inulin","D-Gluconate",NA,9.35686086086086,NA
"Pathogenic","Inulin","D-Glucosamine",NA,8.12021621621622,NA
"Pathogenic","Inulin","Nitrate",NA,4.67419319319319,NA
"Pathogenic","Inulin","Vitamin-free",NA,6.74401501501502,NA
"Pathogenic","Inulin","2-Keto-D-gluconate",NA,9.33693693693694,NA
"Pathogenic","Inulin","Starch formation",NA,4.84316216216216,NA
