"Isolation","Trait_A","Trait_B","Mean_NN","SD_NN","Var_NN"
"Pathogenic","Galactose_F","D-Glucitol",NA,3.75547947947948,NA
"Pathogenic","Galactose_F","myo-Inositol",NA,6.61456556556557,NA
"Pathogenic","Galactose_F","DL-Lactate",NA,8.73871371371371,NA
"Pathogenic","Galactose_F","Succinate",NA,3.12778378378378,NA
"Pathogenic","Galactose_F","Citrate",NA,5.59610710710711,NA
"Pathogenic","Galactose_F","D-Gluconate",NA,6.33606006006006,NA
"Pathogenic","Galactose_F","D-Glucosamine",NA,8.1644004004004,NA
"Pathogenic","Galactose_F","Nitrate",NA,7.7433023023023,NA
"Pathogenic","Galactose_F","Vitamin-free",NA,8.10087587587588,NA
"Pathogenic","Galactose_F","2-Keto-D-gluconate",NA,8.12152552552553,NA
"Pathogenic","Galactose_F","Starch formation",NA,8.00283383383383,NA
"Pathogenic","Galactose_F","Growth at 19°C",NA,0.521960960960961,NA
"Pathogenic","Galactose_F","Growth at 25°C",NA,0.205449449449449,NA
"Pathogenic","Galactose_F","Growth at 30°C",NA,2.71598698698699,NA
"Pathogenic","Galactose_F","Growth at 37°C",NA,8.96264164164164,NA
"Pathogenic","Sucrose_F","Maltose_F",NA,6.24408008008008,NA
"Pathogenic","Sucrose_F","Lactose_F",NA,6.19058158158158,NA
"Pathogenic","Sucrose_F","Raffinose_F",NA,5.85114714714715,NA
"Pathogenic","Sucrose_F","Trehalose_F",NA,6.90323923923924,NA
"Pathogenic","Sucrose_F","Glucose",NA,0,NA
"Pathogenic","Sucrose_F","Inulin",NA,6.64254254254254,NA
"Pathogenic","Sucrose_F","Sucrose",NA,6.98175675675676,NA
"Pathogenic","Sucrose_F","Raffinose",NA,5.99985585585586,NA
"Pathogenic","Sucrose_F","Melibiose",NA,6.31929429429429,NA
"Pathogenic","Sucrose_F","Galactose",NA,5.53891391391391,NA
"Pathogenic","Sucrose_F","Lactose",NA,6.18428028028028,NA
"Pathogenic","Sucrose_F","Trehalose",NA,5.47162762762763,NA
"Pathogenic","Sucrose_F","Maltose",NA,5.81185585585586,NA
"Pathogenic","Sucrose_F","Melezitose",NA,5.90742342342342,NA
"Pathogenic","Sucrose_F","Methyl-?-D-glucoside",NA,6.00965365365365,NA
"Pathogenic","Sucrose_F","Soluble Starch",NA,6.59957557557558,NA
"Pathogenic","Sucrose_F","Cellobiose",NA,6.933004004004,NA
"Pathogenic","Sucrose_F","Salicin",NA,6.68848748748749,NA
"Pathogenic","Sucrose_F","L-Sorbose",NA,7.51501501501502,NA
"Pathogenic","Sucrose_F","L-Rhamnose",NA,6.72989389389389,NA
"Pathogenic","Sucrose_F","D-Xylose",NA,4.67845345345345,NA
"Pathogenic","Sucrose_F","L-Arabinose",NA,5.58918018018018,NA
"Pathogenic","Sucrose_F","D-Arabinose",NA,7.02103703703704,NA
"Pathogenic","Sucrose_F","D-Ribose",NA,6.32932832832833,NA
"Pathogenic","Sucrose_F","Methanol",NA,6.55926326326326,NA
"Pathogenic","Sucrose_F","Ethanol",NA,3.62057657657658,NA
"Pathogenic","Sucrose_F","Glycerol",NA,2.33549449449449,NA
"Pathogenic","Sucrose_F","Erythritol",NA,6.83661161161161,NA
"Pathogenic","Sucrose_F","Ribitol",NA,5.85162662662663,NA
"Pathogenic","Sucrose_F","Galactitol",NA,6.227002002002,NA
"Pathogenic","Sucrose_F","D-Mannitol",NA,3.79489489489489,NA
"Pathogenic","Sucrose_F","D-Glucitol",NA,3.83373373373373,NA
"Pathogenic","Sucrose_F","myo-Inositol",NA,6.55318418418418,NA
"Pathogenic","Sucrose_F","DL-Lactate",NA,9.07901501501502,NA
"Pathogenic","Sucrose_F","Succinate",NA,3.24993393393393,NA
"Pathogenic","Sucrose_F","Citrate",NA,5.75523423423423,NA
"Pathogenic","Sucrose_F","D-Gluconate",NA,6.34902002002002,NA
"Pathogenic","Sucrose_F","D-Glucosamine",NA,7.28518518518519,NA
"Pathogenic","Sucrose_F","Nitrate",NA,6.89486986986987,NA
"Pathogenic","Sucrose_F","Vitamin-free",NA,7.37214714714715,NA
"Pathogenic","Sucrose_F","2-Keto-D-gluconate",NA,7.32523623623624,NA
"Pathogenic","Sucrose_F","Starch formation",NA,8.41489089089089,NA
"Pathogenic","Sucrose_F","Growth at 19°C",NA,0.500500500500501,NA
"Pathogenic","Sucrose_F","Growth at 25°C",NA,0.211567567567568,NA
"Pathogenic","Sucrose_F","Growth at 30°C",NA,2.678002002002,NA
"Pathogenic","Sucrose_F","Growth at 37°C",NA,9.27559159159159,NA
"Pathogenic","Maltose_F","Lactose_F",NA,4.88085585585586,NA
"Pathogenic","Maltose_F","Raffinose_F",NA,5.79843443443443,NA
"Pathogenic","Maltose_F","Trehalose_F",NA,7.02245345345345,NA
"Pathogenic","Maltose_F","Glucose",NA,0,NA
"Pathogenic","Maltose_F","Inulin",NA,5.91136736736737,NA
"Pathogenic","Maltose_F","Sucrose",NA,6.51070970970971,NA
"Pathogenic","Maltose_F","Raffinose",NA,6.58446846846847,NA
"Pathogenic","Maltose_F","Melibiose",NA,5.18806406406406,NA
"Pathogenic","Maltose_F","Galactose",NA,6.08507607607608,NA
"Pathogenic","Maltose_F","Lactose",NA,4.7443033033033,NA
"Pathogenic","Maltose_F","Trehalose",NA,5.6951951951952,NA
"Pathogenic","Maltose_F","Maltose",NA,5.58109209209209,NA
"Pathogenic","Maltose_F","Melezitose",NA,5.30504904904905,NA
"Pathogenic","Maltose_F","Methyl-?-D-glucoside",NA,5.83293293293293,NA
"Pathogenic","Maltose_F","Soluble Starch",NA,5.90327927927928,NA
"Pathogenic","Maltose_F","Cellobiose",NA,6.7095005005005,NA
"Pathogenic","Maltose_F","Salicin",NA,6.92203303303303,NA
"Pathogenic","Maltose_F","L-Sorbose",NA,7.04546146146146,NA
"Pathogenic","Maltose_F","L-Rhamnose",NA,6.51511911911912,NA
"Pathogenic","Maltose_F","D-Xylose",NA,4.97942342342342,NA
"Pathogenic","Maltose_F","L-Arabinose",NA,5.9150990990991,NA
"Pathogenic","Maltose_F","D-Arabinose",NA,6.39956356356356,NA
"Pathogenic","Maltose_F","D-Ribose",NA,6.02650550550551,NA
"Pathogenic","Maltose_F","Methanol",NA,6.09776176176176,NA
"Pathogenic","Maltose_F","Ethanol",NA,3.6312952952953,NA
"Pathogenic","Maltose_F","Glycerol",NA,2.31770870870871,NA
"Pathogenic","Maltose_F","Erythritol",NA,6.23658758758759,NA
"Pathogenic","Maltose_F","Ribitol",NA,5.8259019019019,NA
"Pathogenic","Maltose_F","Galactitol",NA,5.32092092092092,NA
"Pathogenic","Maltose_F","D-Mannitol",NA,3.94291791791792,NA
"Pathogenic","Maltose_F","D-Glucitol",NA,4.0076036036036,NA
"Pathogenic","Maltose_F","myo-Inositol",NA,5.58141241241241,NA
"Pathogenic","Maltose_F","DL-Lactate",NA,9.92522122122122,NA
"Pathogenic","Maltose_F","Succinate",NA,3.35947047047047,NA
"Pathogenic","Maltose_F","Citrate",NA,5.77093493493494,NA
"Pathogenic","Maltose_F","D-Gluconate",NA,6.37513413413413,NA
"Pathogenic","Maltose_F","D-Glucosamine",NA,7.13266866866867,NA
"Pathogenic","Maltose_F","Nitrate",NA,6.31748148148148,NA
"Pathogenic","Maltose_F","Vitamin-free",NA,7.55683283283283,NA
"Pathogenic","Maltose_F","2-Keto-D-gluconate",NA,7.86294694694695,NA
"Pathogenic","Maltose_F","Starch formation",NA,7.72722722722723,NA
"Pathogenic","Maltose_F","Growth at 19°C",NA,0.500971971971972,NA
"Pathogenic","Maltose_F","Growth at 25°C",NA,0.227178178178178,NA
"Pathogenic","Maltose_F","Growth at 30°C",NA,2.79062162162162,NA
"Pathogenic","Maltose_F","Growth at 37°C",NA,9.30974874874875,NA
"Pathogenic","Lactose_F","Raffinose_F",NA,5.22302202202202,NA
"Pathogenic","Lactose_F","Trehalose_F",NA,7.10287787787788,NA
"Pathogenic","Lactose_F","Glucose",NA,0,NA
"Pathogenic","Lactose_F","Inulin",NA,4.83268868868869,NA
"Pathogenic","Lactose_F","Sucrose",NA,6.30870870870871,NA
"Pathogenic","Lactose_F","Raffinose",NA,6.50890890890891,NA
"Pathogenic","Lactose_F","Melibiose",NA,3.83706806806807,NA
"Pathogenic","Lactose_F","Galactose",NA,6.32711811811812,NA
"Pathogenic","Lactose_F","Lactose",NA,3.56924524524525,NA
"Pathogenic","Lactose_F","Trehalose",NA,5.61799299299299,NA
"Pathogenic","Lactose_F","Maltose",NA,5.75791691691692,NA
"Pathogenic","Lactose_F","Melezitose",NA,5.56804404404404,NA
"Pathogenic","Lactose_F","Methyl-?-D-glucoside",NA,5.50774674674675,NA
"Pathogenic","Lactose_F","Soluble Starch",NA,5.76053553553554,NA
"Pathogenic","Lactose_F","Cellobiose",NA,7.26255855855856,NA
"Pathogenic","Lactose_F","Salicin",NA,7.12760660660661,NA
"Pathogenic","Lactose_F","L-Sorbose",NA,7.90367867867868,NA
"Pathogenic","Lactose_F","L-Rhamnose",NA,6.08118118118118,NA
"Pathogenic","Lactose_F","D-Xylose",NA,5.11762862862863,NA
"Pathogenic","Lactose_F","L-Arabinose",NA,5.83458558558559,NA
"Pathogenic","Lactose_F","D-Arabinose",NA,6.31769369369369,NA
"Pathogenic","Lactose_F","D-Ribose",NA,6.09286786786787,NA
"Pathogenic","Lactose_F","Methanol",NA,4.3354994994995,NA
"Pathogenic","Lactose_F","Ethanol",NA,3.71771771771772,NA
"Pathogenic","Lactose_F","Glycerol",NA,2.47956356356356,NA
"Pathogenic","Lactose_F","Erythritol",NA,6.15325725725726,NA
"Pathogenic","Lactose_F","Ribitol",NA,5.78732332332332,NA
"Pathogenic","Lactose_F","Galactitol",NA,3.56414014014014,NA
"Pathogenic","Lactose_F","D-Mannitol",NA,3.90181781781782,NA
"Pathogenic","Lactose_F","D-Glucitol",NA,3.81856956956957,NA
"Pathogenic","Lactose_F","myo-Inositol",NA,3.36668568568569,NA
"Pathogenic","Lactose_F","DL-Lactate",NA,10.5097257257257,NA
"Pathogenic","Lactose_F","Succinate",NA,3.48227827827828,NA
"Pathogenic","Lactose_F","Citrate",NA,6.58488888888889,NA
"Pathogenic","Lactose_F","D-Gluconate",NA,7.67058158158158,NA
"Pathogenic","Lactose_F","D-Glucosamine",NA,7.34266666666667,NA
"Pathogenic","Lactose_F","Nitrate",NA,6.29587987987988,NA
"Pathogenic","Lactose_F","Vitamin-free",NA,7.29517917917918,NA
"Pathogenic","Lactose_F","2-Keto-D-gluconate",NA,8.11207107107107,NA
"Pathogenic","Lactose_F","Starch formation",NA,6.75915915915916,NA
"Pathogenic","Lactose_F","Growth at 19°C",NA,0.481952952952953,NA
"Pathogenic","Lactose_F","Growth at 25°C",NA,0.276251251251251,NA
"Pathogenic","Lactose_F","Growth at 30°C",NA,3.31583983983984,NA
"Pathogenic","Lactose_F","Growth at 37°C",NA,10.3148388388388,NA
"Pathogenic","Raffinose_F","Trehalose_F",NA,7.27383283283283,NA
"Pathogenic","Raffinose_F","Glucose",NA,0,NA
"Pathogenic","Raffinose_F","Inulin",NA,5.86858758758759,NA
"Pathogenic","Raffinose_F","Sucrose",NA,6.35671571571572,NA
"Pathogenic","Raffinose_F","Raffinose",NA,6.68216116116116,NA
"Pathogenic","Raffinose_F","Melibiose",NA,6.03581181181181,NA
"Pathogenic","Raffinose_F","Galactose",NA,5.93743743743744,NA
"Pathogenic","Raffinose_F","Lactose",NA,5.70902802802803,NA
"Pathogenic","Raffinose_F","Trehalose",NA,5.18934534534535,NA
"Pathogenic","Raffinose_F","Maltose",NA,5.53112212212212,NA
"Pathogenic","Raffinose_F","Melezitose",NA,5.76413913913914,NA
"Pathogenic","Raffinose_F","Methyl-?-D-glucoside",NA,5.66544144144144,NA
"Pathogenic","Raffinose_F","Soluble Starch",NA,6.57501901901902,NA
"Pathogenic","Raffinose_F","Cellobiose",NA,7.04254654654655,NA
"Pathogenic","Raffinose_F","Salicin",NA,6.83483483483483,NA
"Pathogenic","Raffinose_F","L-Sorbose",NA,7.89823423423423,NA
"Pathogenic","Raffinose_F","L-Rhamnose",NA,6.20638238238238,NA
"Pathogenic","Raffinose_F","D-Xylose",NA,4.99135535535536,NA
"Pathogenic","Raffinose_F","L-Arabinose",NA,6.15382982982983,NA
"Pathogenic","Raffinose_F","D-Arabinose",NA,7.11541941941942,NA
"Pathogenic","Raffinose_F","D-Ribose",NA,6.67857857857858,NA
"Pathogenic","Raffinose_F","Methanol",NA,6.1423013013013,NA
"Pathogenic","Raffinose_F","Ethanol",NA,3.82109209209209,NA
"Pathogenic","Raffinose_F","Glycerol",NA,2.37441341341341,NA
"Pathogenic","Raffinose_F","Erythritol",NA,6.38074474474474,NA
"Pathogenic","Raffinose_F","Ribitol",NA,5.69905005005005,NA
"Pathogenic","Raffinose_F","Galactitol",NA,5.77338938938939,NA
"Pathogenic","Raffinose_F","D-Mannitol",NA,3.99753353353353,NA
"Pathogenic","Raffinose_F","D-Glucitol",NA,3.8600960960961,NA
"Pathogenic","Raffinose_F","myo-Inositol",NA,5.60466066066066,NA
"Pathogenic","Raffinose_F","DL-Lactate",NA,9.78138138138138,NA
"Pathogenic","Raffinose_F","Succinate",NA,3.29501901901902,NA
"Pathogenic","Raffinose_F","Citrate",NA,5.91617217217217,NA
"Pathogenic","Raffinose_F","D-Gluconate",NA,6.93417817817818,NA
"Pathogenic","Raffinose_F","D-Glucosamine",NA,7.41265165165165,NA
"Pathogenic","Raffinose_F","Nitrate",NA,6.67837437437437,NA
"Pathogenic","Raffinose_F","Vitamin-free",NA,8.19752152152152,NA
"Pathogenic","Raffinose_F","2-Keto-D-gluconate",NA,7.72371471471471,NA
"Pathogenic","Raffinose_F","Starch formation",NA,7.78898798798799,NA
"Pathogenic","Raffinose_F","Growth at 19°C",NA,0.512551551551552,NA
"Pathogenic","Raffinose_F","Growth at 25°C",NA,0.234698698698699,NA
"Pathogenic","Raffinose_F","Growth at 30°C",NA,2.9583973973974,NA
"Pathogenic","Raffinose_F","Growth at 37°C",NA,9.82178578578579,NA
"Pathogenic","Trehalose_F","Glucose",NA,0,NA
"Pathogenic","Trehalose_F","Inulin",NA,7.34924924924925,NA
"Pathogenic","Trehalose_F","Sucrose",NA,6.53450950950951,NA
"Pathogenic","Trehalose_F","Raffinose",NA,7.37935435435435,NA
"Pathogenic","Trehalose_F","Melibiose",NA,6.81458958958959,NA
"Pathogenic","Trehalose_F","Galactose",NA,6.20883283283283,NA
"Pathogenic","Trehalose_F","Lactose",NA,6.63586686686687,NA
"Pathogenic","Trehalose_F","Trehalose",NA,5.49679279279279,NA
"Pathogenic","Trehalose_F","Maltose",NA,5.92802402402402,NA
"Pathogenic","Trehalose_F","Melezitose",NA,6.03070970970971,NA
"Pathogenic","Trehalose_F","Methyl-?-D-glucoside",NA,6.23417017017017,NA
"Pathogenic","Trehalose_F","Soluble Starch",NA,6.5112952952953,NA
"Pathogenic","Trehalose_F","Cellobiose",NA,7.33182782782783,NA
"Pathogenic","Trehalose_F","Salicin",NA,6.69472572572573,NA
"Pathogenic","Trehalose_F","L-Sorbose",NA,7.59450550550551,NA
"Pathogenic","Trehalose_F","L-Rhamnose",NA,7.5527037037037,NA
"Pathogenic","Trehalose_F","D-Xylose",NA,5.29963563563564,NA
"Pathogenic","Trehalose_F","L-Arabinose",NA,6.17527527527528,NA
"Pathogenic","Trehalose_F","D-Arabinose",NA,7.27597997997998,NA
"Pathogenic","Trehalose_F","D-Ribose",NA,6.36443543543544,NA
"Pathogenic","Trehalose_F","Methanol",NA,7.42052052052052,NA
"Pathogenic","Trehalose_F","Ethanol",NA,3.55417817817818,NA
"Pathogenic","Trehalose_F","Glycerol",NA,2.22753853853854,NA
"Pathogenic","Trehalose_F","Erythritol",NA,6.50839239239239,NA
"Pathogenic","Trehalose_F","Ribitol",NA,5.86088488488488,NA
"Pathogenic","Trehalose_F","Galactitol",NA,6.84684684684685,NA
"Pathogenic","Trehalose_F","D-Mannitol",NA,4.44458858858859,NA
"Pathogenic","Trehalose_F","D-Glucitol",NA,4.11774874874875,NA
"Pathogenic","Trehalose_F","myo-Inositol",NA,7.18095595595596,NA
"Pathogenic","Trehalose_F","DL-Lactate",NA,8.98808808808809,NA
"Pathogenic","Trehalose_F","Succinate",NA,3.72332332332332,NA
"Pathogenic","Trehalose_F","Citrate",NA,6.34384384384384,NA
"Pathogenic","Trehalose_F","D-Gluconate",NA,5.74835235235235,NA
"Pathogenic","Trehalose_F","D-Glucosamine",NA,7.73771271271271,NA
"Pathogenic","Trehalose_F","Nitrate",NA,7.47396996996997,NA
"Pathogenic","Trehalose_F","Vitamin-free",NA,8.09852952952953,NA
"Pathogenic","Trehalose_F","2-Keto-D-gluconate",NA,8.09045445445445,NA
"Pathogenic","Trehalose_F","Starch formation",NA,9.07266366366366,NA
"Pathogenic","Trehalose_F","Growth at 19°C",NA,0.506465465465465,NA
"Pathogenic","Trehalose_F","Growth at 25°C",NA,0.227727727727728,NA
"Pathogenic","Trehalose_F","Growth at 30°C",NA,2.59537937937938,NA
"Pathogenic","Trehalose_F","Growth at 37°C",NA,8.80640540540541,NA
"Pathogenic","Glucose","Inulin",NA,0,NA
"Pathogenic","Glucose","Sucrose",NA,0,NA
"Pathogenic","Glucose","Raffinose",NA,0,NA
"Pathogenic","Glucose","Melibiose",NA,0,NA
"Pathogenic","Glucose","Galactose",NA,0,NA
"Pathogenic","Glucose","Lactose",NA,0,NA
"Pathogenic","Glucose","Trehalose",NA,0,NA
"Pathogenic","Glucose","Maltose",NA,0,NA
"Pathogenic","Glucose","Melezitose",NA,0,NA
"Pathogenic","Glucose","Methyl-?-D-glucoside",NA,0,NA
"Pathogenic","Glucose","Soluble Starch",NA,0,NA
"Pathogenic","Glucose","Cellobiose",NA,0,NA
"Pathogenic","Glucose","Salicin",NA,0,NA
"Pathogenic","Glucose","L-Sorbose",NA,0,NA
"Pathogenic","Glucose","L-Rhamnose",NA,0,NA
"Pathogenic","Glucose","D-Xylose",NA,0,NA
"Pathogenic","Glucose","L-Arabinose",NA,0,NA
"Pathogenic","Glucose","D-Arabinose",NA,0,NA
"Pathogenic","Glucose","D-Ribose",NA,0,NA
"Pathogenic","Glucose","Methanol",NA,0,NA
"Pathogenic","Glucose","Ethanol",NA,0,NA
"Pathogenic","Glucose","Glycerol",NA,0,NA
"Pathogenic","Glucose","Erythritol",NA,0,NA
"Pathogenic","Glucose","Ribitol",NA,0,NA
"Pathogenic","Glucose","Galactitol",NA,0,NA
"Pathogenic","Glucose","D-Mannitol",NA,0,NA
"Pathogenic","Glucose","D-Glucitol",NA,0,NA
"Pathogenic","Glucose","myo-Inositol",NA,0,NA
"Pathogenic","Glucose","DL-Lactate",NA,0,NA
"Pathogenic","Glucose","Succinate",NA,0,NA
"Pathogenic","Glucose","Citrate",NA,0,NA
"Pathogenic","Glucose","D-Gluconate",NA,0,NA
"Pathogenic","Glucose","D-Glucosamine",NA,0,NA
"Pathogenic","Glucose","Nitrate",NA,0,NA
"Pathogenic","Glucose","Vitamin-free",NA,0,NA
"Pathogenic","Glucose","2-Keto-D-gluconate",NA,0,NA
"Pathogenic","Glucose","Starch formation",NA,0,NA
"Pathogenic","Glucose","Growth at 19°C",NA,0,NA
"Pathogenic","Glucose","Growth at 25°C",NA,0,NA
"Pathogenic","Glucose","Growth at 30°C",NA,0,NA
"Pathogenic","Glucose","Growth at 37°C",NA,0,NA
"Pathogenic","Inulin","Sucrose",NA,6.41888288288288,NA
"Pathogenic","Inulin","Raffinose",NA,6.64972872872873,NA
"Pathogenic","Inulin","Melibiose",NA,5.47402502502502,NA
"Pathogenic","Inulin","Galactose",NA,6.09086586586587,NA
"Pathogenic","Inulin","Lactose",NA,5.30297397397397,NA
"Pathogenic","Inulin","Trehalose",NA,5.77544644644645,NA
"Pathogenic","Inulin","Maltose",NA,5.83202302302302,NA
"Pathogenic","Inulin","Melezitose",NA,5.82805205205205,NA
"Pathogenic","Inulin","Methyl-?-D-glucoside",NA,5.43995095095095,NA
"Pathogenic","Inulin","Soluble Starch",NA,6.2650960960961,NA
"Pathogenic","Inulin","Cellobiose",NA,7.43440940940941,NA
"Pathogenic","Inulin","Salicin",NA,6.95278378378378,NA
"Pathogenic","Inulin","L-Sorbose",NA,8.18890490490491,NA
"Pathogenic","Inulin","L-Rhamnose",NA,6.94613713713714,NA
"Pathogenic","Inulin","D-Xylose",NA,5.19154254254254,NA
"Pathogenic","Inulin","L-Arabinose",NA,6.05595595595596,NA
"Pathogenic","Inulin","D-Arabinose",NA,7.12792392392392,NA
"Pathogenic","Inulin","D-Ribose",NA,6.53977077077077,NA
"Pathogenic","Inulin","Methanol",NA,6.00308208208208,NA
"Pathogenic","Inulin","Ethanol",NA,3.68628528528529,NA
"Pathogenic","Inulin","Glycerol",NA,2.42986586586587,NA
"Pathogenic","Inulin","Erythritol",NA,6.66376776776777,NA
"Pathogenic","Inulin","Ribitol",NA,5.61477377377377,NA
"Pathogenic","Inulin","Galactitol",NA,5.0223973973974,NA
"Pathogenic","Inulin","D-Mannitol",NA,3.87434534534535,NA
"Pathogenic","Inulin","D-Glucitol",NA,3.9232982982983,NA
"Pathogenic","Inulin","myo-Inositol",NA,5.19855755755756,NA
"Pathogenic","Inulin","DL-Lactate",NA,10.1737727727728,NA
"Pathogenic","Inulin","Succinate",NA,3.3943983983984,NA
"Pathogenic","Inulin","Citrate",NA,6.19593993993994,NA
"Pathogenic","Inulin","D-Gluconate",NA,6.98352752752753,NA
"Pathogenic","Inulin","D-Glucosamine",NA,7.2143983983984,NA
"Pathogenic","Inulin","Nitrate",NA,7.25953853853854,NA
"Pathogenic","Inulin","Vitamin-free",NA,8.25963463463463,NA
"Pathogenic","Inulin","2-Keto-D-gluconate",NA,8.40858458458458,NA
"Pathogenic","Inulin","Starch formation",NA,8.25573473473474,NA
"Pathogenic","Inulin","Growth at 19°C",NA,0.509284284284284,NA
