"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN","Mean_PN","SD_PN","Var_PN","Difference","Color"
"Contaminated","Lactose_F","Raffinose_F",0,0.974,0.026,0.159214789983058,0.0253493493493493,-0.026,3
"Contaminated","Lactose_F","Starch formation",0,0.97,0.03,0.170672578726429,0.0291291291291291,-0.03,3
"Contaminated","Lactose_F","Vitamin-free",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Contaminated","Melibiose","Erythritol",0,0.922,0.083,0.293593591887148,0.0861971971971972,-0.083,3
"Contaminated","Melibiose","Growth at 37°C",0,0.932,0.069,0.257498165634836,0.0663053053053053,-0.069,3
"Contaminated","Melibiose","Lactose",0,0.92,0.085,0.296416704763518,0.0878628628628629,-0.085,3
"Contaminated","Melibiose","Methanol",0,0.917,0.089,0.30524117050649,0.0931721721721722,-0.089,3
"Contaminated","Melibiose","Methyl-?-D-glucoside",0,0.929,0.076,0.28338014098434,0.0803043043043043,-0.076,3
"Contaminated","Melibiose","Nitrate",0,0.92,0.084,0.291597374866491,0.085029029029029,-0.084,3
"Contaminated","Melibiose","Starch formation",0,0.92,0.085,0.296416704763518,0.0878628628628629,-0.085,3
"Contaminated","Melibiose","Vitamin-free",0,0.923,0.082,0.292166667094933,0.0853613613613614,-0.082,3
"Contaminated","Methanol","Erythritol",0,0.897,0.105,0.313166206786545,0.0980730730730731,-0.105,3
"Contaminated","Methanol","Growth at 37°C",0,0.902,0.1,0.306747606501003,0.0940940940940941,-0.1,3
"Contaminated","Methanol","Nitrate",0,0.897,0.105,0.313166206786545,0.0980730730730731,-0.105,3
"Contaminated","Methanol","Starch formation",0,0.897,0.106,0.3175922934595,0.100864864864865,-0.106,3
"Contaminated","Methanol","Vitamin-free",0,0.901,0.102,0.312559904168295,0.0976936936936937,-0.102,3
"Contaminated","Methyl-?-D-glucoside","Erythritol",0,0.699,0.328,0.524109426256284,0.274690690690691,-0.328,3
"Contaminated","Methyl-?-D-glucoside","Growth at 37°C",0,0.74,0.279,0.489283556231352,0.239398398398398,-0.279,3
"Contaminated","Methyl-?-D-glucoside","Methanol",0,0.684,0.343,0.528801125784194,0.279630630630631,-0.343,3
"Contaminated","Methyl-?-D-glucoside","Nitrate",0,0.697,0.332,0.529203227556348,0.280056056056056,-0.332,3
"Contaminated","Methyl-?-D-glucoside","Starch formation",0,0.686,0.34,0.526000643228387,0.276676676676677,-0.34,3
"Contaminated","Methyl-?-D-glucoside","Vitamin-free",0,0.705,0.318,0.512970895021481,0.263139139139139,-0.318,3
"Contaminated","Nitrate","Growth at 37°C",0,0.86,0.141,0.351058744716952,0.123242242242242,-0.141,3
"Contaminated","Nitrate","Starch formation",0,0.829,0.176,0.393927885759791,0.155179179179179,-0.176,3
"Contaminated","Nitrate","Vitamin-free",0,0.827,0.178,0.395566015315361,0.156472472472472,-0.178,3
"Contaminated","Raffinose_F","Erythritol",0,0.879,0.125,0.342771779019937,0.117492492492492,-0.125,3
"Contaminated","Raffinose_F","Glucose",0,1,0,0,0,0,3
"Contaminated","Raffinose_F","Growth at 37°C",0,0.891,0.112,0.324902387743706,0.105561561561562,-0.112,3
"Contaminated","Raffinose_F","Inulin",0,0.87,0.135,0.356232932085036,0.126901901901902,-0.135,3
"Contaminated","Raffinose_F","Lactose",0,0.867,0.137,0.355467800732158,0.126357357357357,-0.137,3
"Contaminated","Raffinose_F","Melibiose",0,0.867,0.137,0.355467800732158,0.126357357357357,-0.137,3
"Contaminated","Raffinose_F","Methanol",0,0.867,0.138,0.359284128629536,0.129085085085085,-0.138,3
"Contaminated","Raffinose_F","Methyl-?-D-glucoside",0,0.893,0.109,0.318151253683245,0.10122022022022,-0.109,3
"Contaminated","Raffinose_F","Nitrate",0,0.878,0.125,0.339838918445917,0.11549049049049,-0.125,3
"Contaminated","Raffinose_F","Starch formation",0,0.869,0.135,0.353411799321839,0.1248998998999,-0.135,3
"Contaminated","Raffinose_F","Vitamin-free",0,0.874,0.131,0.352083744246966,0.123962962962963,-0.131,3
"Contaminated","Starch formation","Growth at 37°C",0,0.883,0.119,0.330072640411089,0.108947947947948,-0.119,3
"Contaminated","Vitamin-free","Growth at 37°C",0,0.848,0.159,0.384534610752877,0.147866866866867,-0.159,3
"Contaminated","Vitamin-free","Starch formation",0,0.824,0.186,0.414216821936985,0.171575575575576,-0.186,3
"Plant.Pathogen","Glucose","Methanol",29,1,28.26,0.840896609047216,0.707107107107107,0.739999999999998,1
"Plant.Pathogen","Glucose","myo-Inositol",29,1,28.402,0.742258005646923,0.550946946946947,0.597999999999999,1
"Plant.Pathogen","Methanol","myo-Inositol",0,0.472,0.725,0.833108077664038,0.694069069069069,-0.725,3
"Animal","Lactose_F","Glucose",0,1,0,0,0,0,3
"Insect","Glucose","Starch formation",206,0.997,197.492,3.35039716468976,11.2251611611612,8.50800000000001,1
"Tree","Glucose","Galactose",98,0.998,88.028,3.79731953299109,14.4196356356356,9.97199999999999,1
"Stone.Chamber","Galactitol","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Galactitol","myo-Inositol",0,0.907,0.093,0.290577761426155,0.0844354354354354,-0.093,3
"Stone.Chamber","Galactitol","Nitrate",0,0.916,0.084,0.277526613176144,0.077021021021021,-0.084,3
"Stone.Chamber","Galactitol","Starch formation",0,0.919,0.081,0.272971634998059,0.0745135135135135,-0.081,3
"Stone.Chamber","Galactitol","Vitamin-free",0,0.917,0.083,0.276020265899421,0.0761871871871872,-0.083,3
"Stone.Chamber","Glucose","Galactitol",2,1,1.905,0.293361655744341,0.0860610610610611,0.095,1
"Stone.Chamber","Glucose","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Melibiose",2,1,1.913,0.292432071627783,0.0855165165165165,0.087,1
"Stone.Chamber","Glucose","Methanol",2,1,1.885,0.322302464897306,0.103878878878879,0.115,1
"Stone.Chamber","Glucose","myo-Inositol",2,1,1.926,0.269437556024762,0.0725965965965966,0.0740000000000001,1
"Stone.Chamber","Glucose","Nitrate",2,1,1.8,0.407634844151191,0.166166166166166,0.2,1
"Stone.Chamber","Glucose","Raffinose",2,1,1.724,0.485860123965797,0.23606006006006,0.276,1
"Stone.Chamber","Glucose","Soluble Starch",2,1,1.821,0.406354677743623,0.165124124124124,0.179,1
"Stone.Chamber","Glucose","Starch formation",2,1,1.805,0.411271375303636,0.169144144144144,0.195,1
"Stone.Chamber","Glucose","Vitamin-free",2,1,1.774,0.443983244189599,0.197121121121121,0.226,1
"Stone.Chamber","Lactose_F","Galactitol",0,0.971,0.029,0.167890402308134,0.0281871871871872,-0.029,3
"Stone.Chamber","Lactose_F","Glucose",0,1,0,0,0,0,3
"Stone.Chamber","Lactose_F","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Lactose_F","Melibiose",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Stone.Chamber","Lactose_F","Methanol",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Stone.Chamber","Lactose_F","myo-Inositol",0,0.972,0.028,0.16505527329729,0.0272432432432432,-0.028,3
"Stone.Chamber","Lactose_F","Nitrate",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Stone.Chamber","Lactose_F","Raffinose",0,0.974,0.026,0.159214789983058,0.0253493493493493,-0.026,3
"Stone.Chamber","Lactose_F","Raffinose_F",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
"Stone.Chamber","Lactose_F","Soluble Starch",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Stone.Chamber","Lactose_F","Starch formation",0,0.973,0.027,0.162164414398774,0.0262972972972973,-0.027,3
"Stone.Chamber","Lactose_F","Vitamin-free",0,0.975,0.025,0.156203071030628,0.0243993993993994,-0.025,3
"Stone.Chamber","Maltose_F","Galactitol",0,0.859,0.145,0.363465413907716,0.132107107107107,-0.145,3
"Stone.Chamber","Maltose_F","Glucose",0,1,0,0,0,0,3
"Stone.Chamber","Maltose_F","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Maltose_F","Lactose_F",0,0.858,0.147,0.368139275990116,0.135526526526527,-0.147,3
"Stone.Chamber","Maltose_F","Melibiose",0,0.859,0.145,0.363465413907716,0.132107107107107,-0.145,3
"Stone.Chamber","Maltose_F","Methanol",0,0.859,0.145,0.363465413907716,0.132107107107107,-0.145,3
"Stone.Chamber","Maltose_F","myo-Inositol",0,0.862,0.143,0.36425771602491,0.132683683683684,-0.143,3
"Stone.Chamber","Maltose_F","Nitrate",0,0.868,0.137,0.358272744371323,0.128359359359359,-0.137,3
"Stone.Chamber","Maltose_F","Raffinose",0,0.873,0.131,0.349229095238299,0.121960960960961,-0.131,3
"Stone.Chamber","Maltose_F","Raffinose_F",0,0.868,0.136,0.3544427028867,0.12562962962963,-0.136,3
"Stone.Chamber","Maltose_F","Soluble Starch",0,0.864,0.139,0.354689730334563,0.125804804804805,-0.139,3
"Stone.Chamber","Maltose_F","Starch formation",0,0.869,0.135,0.353411799321839,0.1248998998999,-0.135,3
"Stone.Chamber","Maltose_F","Vitamin-free",0,0.866,0.139,0.360289895513056,0.129808808808809,-0.139,3
"Stone.Chamber","Melibiose","Galactitol",0,0.922,0.081,0.283759615730497,0.0805195195195195,-0.081,3
"Stone.Chamber","Melibiose","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Melibiose","Methanol",0,0.917,0.085,0.286106373324428,0.0818568568568569,-0.085,3
"Stone.Chamber","Melibiose","myo-Inositol",0,0.921,0.082,0.285232111371349,0.0813573573573574,-0.082,3
"Stone.Chamber","Melibiose","Nitrate",0,0.925,0.078,0.279274048192799,0.077993993993994,-0.078,3
"Stone.Chamber","Melibiose","Soluble Starch",0,0.922,0.081,0.283759615730497,0.0805195195195195,-0.081,3
"Stone.Chamber","Melibiose","Starch formation",0,0.925,0.078,0.279274048192799,0.077993993993994,-0.078,3
"Stone.Chamber","Melibiose","Vitamin-free",0,0.926,0.076,0.272577141921876,0.0742982982982983,-0.076,3
"Stone.Chamber","Methanol","Galactitol",0,0.892,0.109,0.314989235083071,0.0992182182182182,-0.109,3
"Stone.Chamber","Methanol","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Methanol","myo-Inositol",0,0.887,0.114,0.321102954061633,0.103107107107107,-0.114,3
"Stone.Chamber","Methanol","Nitrate",0,0.898,0.103,0.307384914212597,0.0944854854854855,-0.103,3
"Stone.Chamber","Methanol","Starch formation",0,0.896,0.105,0.309953336925207,0.0960710710710711,-0.105,3
"Stone.Chamber","Methanol","Vitamin-free",0,0.898,0.103,0.307384914212597,0.0944854854854855,-0.103,3
"Stone.Chamber","myo-Inositol","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","myo-Inositol","Nitrate",0,0.93,0.071,0.260819913018594,0.068027027027027,-0.071,3
"Stone.Chamber","myo-Inositol","Starch formation",0,0.937,0.065,0.254636682039018,0.0648398398398398,-0.065,3
"Stone.Chamber","myo-Inositol","Vitamin-free",0,0.932,0.069,0.257498165634836,0.0663053053053053,-0.069,3
"Stone.Chamber","Nitrate","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Nitrate","Starch formation",0,0.831,0.171,0.381975005602336,0.145904904904905,-0.171,3
"Stone.Chamber","Nitrate","Vitamin-free",0,0.821,0.181,0.390373399953674,0.152391391391391,-0.181,3
"Stone.Chamber","Raffinose","Galactitol",0,0.755,0.262,0.47705721206537,0.227583583583584,-0.262,3
"Stone.Chamber","Raffinose","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Raffinose","Melibiose",0,0.753,0.261,0.470212824261632,0.2211001001001,-0.261,3
"Stone.Chamber","Raffinose","Methanol",0,0.763,0.255,0.475606140836303,0.226201201201201,-0.255,3
"Stone.Chamber","Raffinose","myo-Inositol",0,0.749,0.268,0.480006673293618,0.230406406406406,-0.268,3
"Stone.Chamber","Raffinose","Nitrate",0,0.773,0.241,0.459488988040116,0.21113013013013,-0.241,3
"Stone.Chamber","Raffinose","Soluble Starch",0,0.764,0.254,0.475089159747631,0.22570970970971,-0.254,3
"Stone.Chamber","Raffinose","Starch formation",0,0.773,0.242,0.462222510972421,0.21364964964965,-0.242,3
"Stone.Chamber","Raffinose","Vitamin-free",0,0.762,0.25,0.460121409751504,0.211711711711712,-0.25,3
"Stone.Chamber","Raffinose_F","Galactitol",0,0.852,0.154,0.377394258602892,0.142426426426426,-0.154,3
"Stone.Chamber","Raffinose_F","Glucose",0,1,0,0,0,0,3
"Stone.Chamber","Raffinose_F","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Raffinose_F","Melibiose",0,0.846,0.161,0.386300696644762,0.149228228228228,-0.161,3
"Stone.Chamber","Raffinose_F","Methanol",0,0.857,0.149,0.372743796645817,0.138937937937938,-0.149,3
"Stone.Chamber","Raffinose_F","myo-Inositol",0,0.85,0.157,0.382749915084899,0.146497497497497,-0.157,3
"Stone.Chamber","Raffinose_F","Nitrate",0,0.853,0.154,0.380037403986013,0.144428428428428,-0.154,3
"Stone.Chamber","Raffinose_F","Raffinose",0,0.86,0.145,0.366209105715722,0.134109109109109,-0.145,3
"Stone.Chamber","Raffinose_F","Soluble Starch",0,0.861,0.145,0.368932393686311,0.136111111111111,-0.145,3
"Stone.Chamber","Raffinose_F","Starch formation",0,0.855,0.151,0.374618925495415,0.140339339339339,-0.151,3
"Stone.Chamber","Raffinose_F","Vitamin-free",0,0.863,0.142,0.363273957183787,0.131967967967968,-0.142,3
"Stone.Chamber","Soluble Starch","Galactitol",0,0.836,0.171,0.394860627202707,0.155914914914915,-0.171,3
"Stone.Chamber","Soluble Starch","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Soluble Starch","Methanol",0,0.835,0.174,0.402350451579075,0.161885885885886,-0.174,3
"Stone.Chamber","Soluble Starch","myo-Inositol",0,0.832,0.176,0.40147874811151,0.161185185185185,-0.176,3
"Stone.Chamber","Soluble Starch","Nitrate",0,0.848,0.16,0.388008441339297,0.150550550550551,-0.16,3
"Stone.Chamber","Soluble Starch","Starch formation",0,0.847,0.161,0.388883311843322,0.15123023023023,-0.161,3
"Stone.Chamber","Soluble Starch","Vitamin-free",0,0.846,0.159,0.379292582135299,0.143862862862863,-0.159,3
"Stone.Chamber","Starch formation","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Sucrose_F","Galactitol",0,0.774,0.24,0.458923316699654,0.210610610610611,-0.24,3
"Stone.Chamber","Sucrose_F","Glucose",0,1,0,0,0,0,3
"Stone.Chamber","Sucrose_F","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Sucrose_F","Lactose_F",0,0.765,0.25,0.466602312164993,0.217717717717718,-0.25,3
"Stone.Chamber","Sucrose_F","Maltose_F",0,0.778,0.233,0.448231984481152,0.200911911911912,-0.233,3
"Stone.Chamber","Sucrose_F","Melibiose",0,0.771,0.244,0.46333430552753,0.214678678678679,-0.244,3
"Stone.Chamber","Sucrose_F","Methanol",0,0.771,0.241,0.455111114043731,0.207126126126126,-0.241,3
"Stone.Chamber","Sucrose_F","myo-Inositol",0,0.763,0.251,0.464989478607006,0.216215215215215,-0.251,3
"Stone.Chamber","Sucrose_F","Nitrate",0,0.791,0.22,0.44022016513762,0.193793793793794,-0.22,3
"Stone.Chamber","Sucrose_F","Raffinose",0,0.795,0.217,0.440573609179108,0.194105105105105,-0.217,3
"Stone.Chamber","Sucrose_F","Raffinose_F",0,0.781,0.232,0.452084483675762,0.20438038038038,-0.232,3
"Stone.Chamber","Sucrose_F","Soluble Starch",0,0.771,0.243,0.460611727122924,0.212163163163163,-0.243,3
"Stone.Chamber","Sucrose_F","Starch formation",0,0.783,0.23,0.450891675797306,0.203303303303303,-0.23,3
"Stone.Chamber","Sucrose_F","Vitamin-free",0,0.79,0.223,0.446621171095225,0.19947047047047,-0.223,3
"Stone.Chamber","Vitamin-free","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Vitamin-free","Starch formation",0,0.806,0.202,0.421157183689621,0.177373373373373,-0.202,3
"Lichen","DL-Lactate","Vitamin-free",0,0.383,0.854,0.82301966037353,0.677361361361361,-0.854,3
"Lichen","Glucose","DL-Lactate",5,1,4.073,0.845213218889403,0.714385385385385,0.927,1
"Lichen","Glucose","Inulin",5,1,4.786,0.452115481274871,0.204408408408408,0.214,1
"Lichen","Glucose","myo-Inositol",5,1,4.888,0.321806711489303,0.10355955955956,0.112,1
"Lichen","Glucose","Raffinose",5,1,4.527,0.653986772571662,0.427698698698699,0.473,1
"Lichen","Glucose","Vitamin-free",5,1,4.631,0.559599992987984,0.313152152152152,0.369,1
"Lichen","Inulin","DL-Lactate",0,0.838,0.172,0.405685322116269,0.164580580580581,-0.172,3
"Lichen","Inulin","myo-Inositol",0,0.803,0.214,0.452115481274871,0.204408408408408,-0.214,3
"Lichen","Inulin","Raffinose",0,0.82,0.195,0.434930068130687,0.189164164164164,-0.195,3
"Lichen","Inulin","Vitamin-free",0,0.816,0.199,0.437710624260584,0.191590590590591,-0.199,3
"Lichen","Lactose_F","DL-Lactate",0,0.956,0.045,0.212179216748531,0.04502002002002,-0.045,3
"Lichen","Lactose_F","Glucose",0,1,0,0,0,0,3
"Lichen","Lactose_F","Inulin",0,0.951,0.052,0.235268679070018,0.0553513513513514,-0.052,3
"Lichen","Lactose_F","myo-Inositol",0,0.948,0.055,0.240900462915772,0.058033033033033,-0.055,3
"Lichen","Lactose_F","Raffinose",0,0.954,0.049,0.229459477144989,0.0526516516516517,-0.049,3
"Lichen","Lactose_F","Raffinose_F",0,0.95,0.053,0.23716502112927,0.0562472472472472,-0.053,3
"Lichen","Lactose_F","Vitamin-free",0,0.949,0.053,0.2329060867501,0.0542452452452452,-0.053,3
"Lichen","Maltose_F","DL-Lactate",0,0.765,0.262,0.49759783319826,0.247603603603604,-0.262,3
"Lichen","Maltose_F","Glucose",0,1,0,0,0,0,3
"Lichen","Maltose_F","Inulin",0,0.741,0.297,0.535796676061058,0.287078078078078,-0.297,3
"Lichen","Maltose_F","Lactose_F",0,0.728,0.31,0.540548047995913,0.292192192192192,-0.31,3
"Lichen","Maltose_F","myo-Inositol",0,0.729,0.309,0.540195159929086,0.291810810810811,-0.309,3
"Lichen","Maltose_F","Raffinose",0,0.746,0.287,0.522402051971376,0.272903903903904,-0.287,3
"Lichen","Maltose_F","Raffinose_F",0,0.739,0.295,0.527497159474109,0.278253253253253,-0.295,3
"Lichen","Maltose_F","Vitamin-free",0,0.744,0.288,0.520890897719789,0.271327327327327,-0.288,3
"Lichen","myo-Inositol","DL-Lactate",0,0.916,0.085,0.282586013197495,0.0798548548548549,-0.085,3
"Lichen","myo-Inositol","Vitamin-free",0,0.897,0.105,0.313166206786545,0.0980730730730731,-0.105,3
"Lichen","Raffinose","DL-Lactate",0,0.686,0.368,0.59407821785429,0.352928928928929,-0.368,3
"Lichen","Raffinose","myo-Inositol",0,0.612,0.467,0.650641479106838,0.423334334334334,-0.467,3
"Lichen","Raffinose","Vitamin-free",0,0.634,0.437,0.634376413049408,0.402433433433433,-0.437,3
"Lichen","Raffinose_F","DL-Lactate",0,0.776,0.24,0.463265166632043,0.214614614614615,-0.24,3
"Lichen","Raffinose_F","Glucose",0,1,0,0,0,0,3
"Lichen","Raffinose_F","Inulin",0,0.756,0.268,0.496409530954455,0.246422422422422,-0.268,3
"Lichen","Raffinose_F","myo-Inositol",0,0.754,0.27,0.4973402732007,0.247347347347347,-0.27,3
"Lichen","Raffinose_F","Raffinose",0,0.768,0.253,0.482932939676125,0.233224224224224,-0.253,3
"Lichen","Raffinose_F","Vitamin-free",0,0.762,0.261,0.491039835573572,0.24112012012012,-0.261,3
"Lichen","Sucrose_F","DL-Lactate",0,0.724,0.318,0.550617089436188,0.303179179179179,-0.318,3
"Lichen","Sucrose_F","Glucose",0,1,0,0,0,0,3
"Lichen","Sucrose_F","Inulin",0,0.661,0.392,0.590495287605824,0.348684684684685,-0.392,3
"Lichen","Sucrose_F","Lactose_F",0,0.658,0.396,0.592904322412593,0.351535535535536,-0.396,3
"Lichen","Sucrose_F","Maltose_F",0,0.674,0.374,0.578323835284746,0.334458458458458,-0.374,3
"Lichen","Sucrose_F","myo-Inositol",0,0.659,0.394,0.590857946644634,0.349113113113113,-0.394,3
"Lichen","Sucrose_F","Raffinose",0,0.673,0.375,0.578541018173915,0.33470970970971,-0.375,3
"Lichen","Sucrose_F","Raffinose_F",0,0.677,0.372,0.577884028114595,0.33394994994995,-0.372,3
"Lichen","Sucrose_F","Vitamin-free",0,0.675,0.374,0.580052118744911,0.33646046046046,-0.374,3
"Pollen","DL-Lactate","Starch formation",0,0.254,1.187,0.942825498127792,0.88891991991992,-1.187,3
"Pollen","Galactitol","DL-Lactate",0,0.844,0.169,0.41304916125034,0.17060960960961,-0.169,3
"Pollen","Galactitol","myo-Inositol",0,0.818,0.202,0.453212313823666,0.205401401401401,-0.202,3
"Pollen","Galactitol","Starch formation",0,0.818,0.2,0.447437370142683,0.2002002002002,-0.2,3
"Pollen","Glucose","DL-Lactate",7,1,5.718,0.957806553221157,0.917393393393393,1.282,1
"Pollen","Glucose","Galactitol",7,1,6.789,0.465505849260453,0.216695695695696,0.211,1
"Pollen","Glucose","Inulin",7,1,6.704,0.539142536510221,0.290674674674675,0.296,1
"Pollen","Glucose","Lactose",7,1,6.743,0.495172895255987,0.245196196196196,0.257,1
"Pollen","Glucose","Melibiose",7,1,6.75,0.481385221762916,0.231731731731732,0.25,1
"Pollen","Glucose","Methanol",7,1,6.759,0.465978686353932,0.217136136136136,0.241,1
"Pollen","Glucose","myo-Inositol",7,1,6.779,0.456472745481444,0.208367367367367,0.221,1
"Pollen","Glucose","Starch formation",7,1,6.55,0.64180363968422,0.411911911911912,0.45,1
"Pollen","Inulin","DL-Lactate",0,0.789,0.236,0.482220423184809,0.232536536536537,-0.236,3
"Pollen","Inulin","Galactitol",0,0.75,0.283,0.522670244211572,0.273184184184184,-0.283,3
"Pollen","Inulin","Lactose",0,0.751,0.287,0.535647195379494,0.286917917917918,-0.287,3
"Pollen","Inulin","Melibiose",0,0.752,0.282,0.526072953831265,0.276752752752753,-0.282,3
"Pollen","Inulin","Methanol",0,0.748,0.287,0.530011237533613,0.280911911911912,-0.287,3
