"Isolation","Trait_A","Trait_B","Observed_NP","Percent_NP","Mean_NP","SD_NP","Var_NP","Difference","Color"
"Contaminated","Inulin","Vitamin-free",0,0.822,0.186,0.40935506784645,0.167571571571572,-0.186,3
"Contaminated","Lactose","Erythritol",0,0.842,0.166,0.393190282940205,0.154598598598599,-0.166,3
"Contaminated","Lactose","Growth at 37°C",0,0.617,0.418,0.559990704913563,0.31358958958959,-0.418,3
"Contaminated","Lactose","Methanol",0,0.892,0.11,0.319377522693758,0.102002002002002,-0.11,3
"Contaminated","Lactose","Methyl-?-D-glucoside",0,0.678,0.349,0.530547340470651,0.28148048048048,-0.349,3
"Contaminated","Lactose","Nitrate",0,0.819,0.187,0.405210063047792,0.164195195195195,-0.187,3
"Contaminated","Lactose","Starch formation",0,0.86,0.143,0.358719499999205,0.12867967967968,-0.143,3
"Contaminated","Lactose","Vitamin-free",0,0.82,0.191,0.420351871288443,0.176695695695696,-0.191,3
"Contaminated","Lactose_F","Erythritol",0,0.835,0.173,0.399036627680004,0.15923023023023,-0.173,3
"Contaminated","Lactose_F","Glucose",2,1,1.97,0.170672578726429,0.0291291291291291,0.03,1
"Contaminated","Lactose_F","Growth at 37°C",0,0.605,0.437,0.574770703290766,0.330361361361361,-0.437,3
"Contaminated","Lactose_F","Inulin",0,0.898,0.106,0.320728649900296,0.102866866866867,-0.106,3
"Contaminated","Lactose_F","Lactose",0,0.909,0.094,0.302084847775017,0.0912552552552553,-0.094,3
"Contaminated","Lactose_F","Melibiose",0,0.916,0.09,0.306584399462846,0.093993993993994,-0.09,3
"Contaminated","Lactose_F","Methanol",0,0.893,0.11,0.322496517816866,0.104004004004004,-0.11,3
"Contaminated","Lactose_F","Methyl-?-D-glucoside",0,0.672,0.357,0.536506140541596,0.287838838838839,-0.357,3
"Contaminated","Lactose_F","Nitrate",0,0.816,0.19,0.407512044074854,0.166066066066066,-0.19,3
"Contaminated","Lactose_F","Raffinose_F",0,0.864,0.141,0.362284764032729,0.13125025025025,-0.141,3
"Contaminated","Lactose_F","Starch formation",0,0.849,0.154,0.369351350911866,0.13642042042042,-0.154,3
"Contaminated","Lactose_F","Vitamin-free",0,0.811,0.199,0.423767127770169,0.179578578578579,-0.199,3
"Contaminated","Melibiose","Erythritol",0,0.843,0.165,0.392337774027596,0.153928928928929,-0.165,3
"Contaminated","Melibiose","Growth at 37°C",0,0.623,0.417,0.568712963132048,0.323434434434434,-0.417,3
"Contaminated","Melibiose","Lactose",0,0.915,0.087,0.288988779219046,0.0835145145145145,-0.087,3
"Contaminated","Melibiose","Methanol",0,0.891,0.112,0.324902387743706,0.105561561561562,-0.112,3
"Contaminated","Melibiose","Methyl-?-D-glucoside",0,0.682,0.347,0.53373764704757,0.284875875875876,-0.347,3
"Contaminated","Melibiose","Nitrate",0,0.818,0.188,0.405981305999206,0.164820820820821,-0.188,3
"Contaminated","Melibiose","Starch formation",0,0.856,0.147,0.36266034043237,0.131522522522523,-0.147,3
"Contaminated","Melibiose","Vitamin-free",0,0.819,0.192,0.421085874036773,0.177313313313313,-0.192,3
"Contaminated","Methanol","Erythritol",0,0.842,0.164,0.386333085889952,0.149253253253253,-0.164,3
"Contaminated","Methanol","Growth at 37°C",0,0.614,0.425,0.568064871029443,0.322697697697698,-0.425,3
"Contaminated","Methanol","Nitrate",0,0.819,0.186,0.401952193134414,0.161565565565566,-0.186,3
"Contaminated","Methanol","Starch formation",0,0.858,0.145,0.360700852653699,0.130105105105105,-0.145,3
"Contaminated","Methanol","Vitamin-free",0,0.82,0.189,0.414065756191514,0.17145045045045,-0.189,3
"Contaminated","Methyl-?-D-glucoside","Erythritol",0,0.867,0.139,0.363057586080791,0.131810810810811,-0.139,3
"Contaminated","Methyl-?-D-glucoside","Growth at 37°C",0,0.674,0.356,0.53810180593783,0.289553553553554,-0.356,3
"Contaminated","Methyl-?-D-glucoside","Methanol",0,0.908,0.095,0.303425554406789,0.0920670670670671,-0.095,3
"Contaminated","Methyl-?-D-glucoside","Nitrate",0,0.839,0.165,0.381995969770521,0.145920920920921,-0.165,3
"Contaminated","Methyl-?-D-glucoside","Starch formation",0,0.872,0.131,0.34635091880773,0.119958958958959,-0.131,3
"Contaminated","Methyl-?-D-glucoside","Vitamin-free",0,0.852,0.157,0.38794523002803,0.150501501501501,-0.157,3
"Contaminated","Nitrate","Growth at 37°C",0,0.647,0.385,0.548703996774286,0.301076076076076,-0.385,3
"Contaminated","Nitrate","Starch formation",0,0.868,0.134,0.346647031090941,0.120164164164164,-0.134,3
"Contaminated","Nitrate","Vitamin-free",0,0.826,0.184,0.412691548634467,0.170314314314314,-0.184,3
"Contaminated","Raffinose_F","Erythritol",0,0.853,0.154,0.380037403986013,0.144428428428428,-0.154,3
"Contaminated","Raffinose_F","Glucose",2,1,1.855,0.366209105715722,0.134109109109109,0.145,1
"Contaminated","Raffinose_F","Growth at 37°C",0,0.631,0.407,0.56362103284802,0.317668668668669,-0.407,3
"Contaminated","Raffinose_F","Inulin",0,0.905,0.099,0.31192354238867,0.0972962962962963,-0.099,3
"Contaminated","Raffinose_F","Lactose",0,0.916,0.086,0.287552928496106,0.0826866866866867,-0.086,3
"Contaminated","Raffinose_F","Melibiose",0,0.92,0.084,0.291597374866491,0.085029029029029,-0.084,3
"Contaminated","Raffinose_F","Methanol",0,0.895,0.108,0.320060054424851,0.102438438438438,-0.108,3
"Contaminated","Raffinose_F","Methyl-?-D-glucoside",0,0.698,0.327,0.519943594384373,0.270341341341341,-0.327,3
"Contaminated","Raffinose_F","Nitrate",0,0.829,0.176,0.393927885759791,0.155179179179179,-0.176,3
"Contaminated","Raffinose_F","Starch formation",0,0.859,0.144,0.359712931924046,0.129393393393393,-0.144,3
"Contaminated","Raffinose_F","Vitamin-free",0,0.823,0.188,0.418127768547882,0.174830830830831,-0.188,3
"Contaminated","Starch formation","Growth at 37°C",0,0.632,0.405,0.561507159607329,0.31529029029029,-0.405,3
"Contaminated","Vitamin-free","Growth at 37°C",0,0.639,0.397,0.558303414554042,0.311702702702703,-0.397,3
"Contaminated","Vitamin-free","Starch formation",0,0.865,0.138,0.353668037969338,0.125081081081081,-0.138,3
"Plant.Pathogen","Glucose","Methanol",0,1,0,0,0,0,3
"Plant.Pathogen","Glucose","myo-Inositol",0,1,0,0,0,0,3
"Plant.Pathogen","Methanol","myo-Inositol",0,0.545,0.583,0.734609182253156,0.539650650650651,-0.583,3
"Animal","Lactose_F","Glucose",103,0.974,101.717,1.17485798771226,1.38029129129129,1.283,1
"Insect","Glucose","Starch formation",0,1,0,0,0,0,3
"Tree","Glucose","Galactose",0,1,0,0,0,0,3
"Stone.Chamber","Galactitol","Growth at 19°C",2,1,1.905,0.293361655744341,0.0860610610610611,0.095,1
"Stone.Chamber","Galactitol","myo-Inositol",0,0.93,0.072,0.266245914310223,0.0708868868868869,-0.072,3
"Stone.Chamber","Galactitol","Nitrate",0,0.814,0.189,0.399297431044126,0.159438438438438,-0.189,3
"Stone.Chamber","Galactitol","Starch formation",0,0.823,0.181,0.395468577001252,0.156395395395395,-0.181,3
"Stone.Chamber","Galactitol","Vitamin-free",0,0.796,0.214,0.434041924694369,0.188392392392392,-0.214,3
"Stone.Chamber","Glucose","Galactitol",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Growth at 19°C",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Melibiose",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Methanol",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","myo-Inositol",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Nitrate",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Raffinose",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Soluble Starch",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Starch formation",0,1,0,0,0,0,3
"Stone.Chamber","Glucose","Vitamin-free",0,1,0,0,0,0,3
"Stone.Chamber","Lactose_F","Galactitol",0,0.905,0.095,0.293361655744341,0.0860610610610611,-0.095,3
"Stone.Chamber","Lactose_F","Glucose",2,1,1.971,0.167890402308134,0.0281871871871872,0.0289999999999999,1
"Stone.Chamber","Lactose_F","Growth at 19°C",2,1,1.971,0.167890402308134,0.0281871871871872,0.0289999999999999,1
"Stone.Chamber","Lactose_F","Melibiose",0,0.918,0.085,0.289583940954706,0.0838588588588589,-0.085,3
"Stone.Chamber","Lactose_F","Methanol",0,0.888,0.113,0.319895816373602,0.102333333333333,-0.113,3
"Stone.Chamber","Lactose_F","myo-Inositol",0,0.929,0.073,0.267848357737625,0.0717427427427427,-0.073,3
"Stone.Chamber","Lactose_F","Nitrate",0,0.805,0.198,0.406153863653863,0.164960960960961,-0.198,3
"Stone.Chamber","Lactose_F","Raffinose",0,0.744,0.273,0.482393722703461,0.232703703703704,-0.273,3
"Stone.Chamber","Lactose_F","Raffinose_F",0,0.85,0.157,0.382749915084899,0.146497497497497,-0.157,3
"Stone.Chamber","Lactose_F","Soluble Starch",0,0.832,0.177,0.404765160105011,0.163834834834835,-0.177,3
"Stone.Chamber","Lactose_F","Starch formation",0,0.813,0.193,0.40977910991035,0.167918918918919,-0.193,3
"Stone.Chamber","Lactose_F","Vitamin-free",0,0.789,0.222,0.441487158262741,0.194910910910911,-0.222,3
"Stone.Chamber","Maltose_F","Galactitol",0,0.91,0.09,0.286324958712967,0.081981981981982,-0.09,3
"Stone.Chamber","Maltose_F","Glucose",2,1,1.85,0.370995468486662,0.137637637637638,0.15,1
"Stone.Chamber","Maltose_F","Growth at 19°C",2,1,1.85,0.370995468486662,0.137637637637638,0.15,1
"Stone.Chamber","Maltose_F","Lactose_F",0,0.974,0.026,0.159214789983058,0.0253493493493493,-0.026,3
"Stone.Chamber","Maltose_F","Melibiose",0,0.921,0.082,0.285232111371349,0.0813573573573574,-0.082,3
"Stone.Chamber","Maltose_F","Methanol",0,0.891,0.11,0.316227766016838,0.1,-0.11,3
"Stone.Chamber","Maltose_F","myo-Inositol",0,0.935,0.067,0.258026311793153,0.0665775775775776,-0.067,3
"Stone.Chamber","Maltose_F","Nitrate",0,0.816,0.187,0.39773004562038,0.158189189189189,-0.187,3
"Stone.Chamber","Maltose_F","Raffinose",0,0.759,0.257,0.472413139290361,0.223174174174174,-0.257,3
"Stone.Chamber","Maltose_F","Raffinose_F",0,0.858,0.148,0.371798647434649,0.138234234234234,-0.148,3
"Stone.Chamber","Maltose_F","Soluble Starch",0,0.841,0.168,0.397409025984481,0.157933933933934,-0.168,3
"Stone.Chamber","Maltose_F","Starch formation",0,0.824,0.18,0.394659037342053,0.155755755755756,-0.18,3
"Stone.Chamber","Maltose_F","Vitamin-free",0,0.795,0.215,0.43469985503099,0.188963963963964,-0.215,3
"Stone.Chamber","Melibiose","Galactitol",0,0.911,0.089,0.284886223184204,0.0811601601601602,-0.089,3
"Stone.Chamber","Melibiose","Growth at 19°C",2,1,1.913,0.292432071627783,0.0855165165165165,0.087,1
"Stone.Chamber","Melibiose","Methanol",0,0.888,0.113,0.319895816373602,0.102333333333333,-0.113,3
"Stone.Chamber","Melibiose","myo-Inositol",0,0.933,0.069,0.261356666850699,0.0683073073073073,-0.069,3
"Stone.Chamber","Melibiose","Nitrate",0,0.812,0.191,0.400848699236607,0.16067967967968,-0.191,3
"Stone.Chamber","Melibiose","Soluble Starch",0,0.835,0.173,0.399036627680004,0.15923023023023,-0.173,3
"Stone.Chamber","Melibiose","Starch formation",0,0.82,0.186,0.404434874321648,0.163567567567568,-0.186,3
"Stone.Chamber","Melibiose","Vitamin-free",0,0.796,0.215,0.43699652855139,0.190965965965966,-0.215,3
"Stone.Chamber","Methanol","Galactitol",0,0.911,0.089,0.284886223184204,0.0811601601601602,-0.089,3
"Stone.Chamber","Methanol","Growth at 19°C",2,1,1.885,0.322302464897306,0.103878878878879,0.115,1
"Stone.Chamber","Methanol","myo-Inositol",0,0.929,0.073,0.267848357737625,0.0717427427427427,-0.073,3
"Stone.Chamber","Methanol","Nitrate",0,0.814,0.188,0.395995975753306,0.156812812812813,-0.188,3
"Stone.Chamber","Methanol","Starch formation",0,0.82,0.185,0.401168214014939,0.160935935935936,-0.185,3
"Stone.Chamber","Methanol","Vitamin-free",0,0.794,0.214,0.429404690692112,0.184388388388388,-0.214,3
"Stone.Chamber","myo-Inositol","Growth at 19°C",2,1,1.926,0.269437556024762,0.0725965965965966,0.0740000000000001,1
"Stone.Chamber","myo-Inositol","Nitrate",0,0.806,0.197,0.405407640968144,0.164355355355355,-0.197,3
"Stone.Chamber","myo-Inositol","Starch formation",0,0.82,0.186,0.404434874321648,0.163567567567568,-0.186,3
"Stone.Chamber","myo-Inositol","Vitamin-free",0,0.79,0.221,0.440855252155799,0.194353353353353,-0.221,3
"Stone.Chamber","Nitrate","Growth at 19°C",2,1,1.8,0.407634844151191,0.166166166166166,0.2,1
"Stone.Chamber","Nitrate","Starch formation",0,0.838,0.166,0.382871506631912,0.146590590590591,-0.166,3
"Stone.Chamber","Nitrate","Vitamin-free",0,0.8,0.207,0.422290574521063,0.178329329329329,-0.207,3
"Stone.Chamber","Raffinose","Galactitol",0,0.919,0.081,0.272971634998059,0.0745135135135135,-0.081,3
"Stone.Chamber","Raffinose","Growth at 19°C",2,1,1.724,0.485860123965797,0.23606006006006,0.276,1
"Stone.Chamber","Raffinose","Melibiose",0,0.931,0.072,0.269979423084221,0.0728888888888889,-0.072,3
"Stone.Chamber","Raffinose","Methanol",0,0.907,0.094,0.295383227775802,0.0872512512512512,-0.094,3
"Stone.Chamber","Raffinose","myo-Inositol",0,0.934,0.066,0.248406331855099,0.0617057057057057,-0.066,3
"Stone.Chamber","Raffinose","Nitrate",0,0.837,0.165,0.376718617693521,0.141916916916917,-0.165,3
"Stone.Chamber","Raffinose","Soluble Starch",0,0.851,0.157,0.385356327960888,0.1484994994995,-0.157,3
"Stone.Chamber","Raffinose","Starch formation",0,0.845,0.161,0.3837006987565,0.147226226226226,-0.161,3
"Stone.Chamber","Raffinose","Vitamin-free",0,0.808,0.2,0.419733458490238,0.176176176176176,-0.2,3
"Stone.Chamber","Raffinose_F","Galactitol",0,0.913,0.087,0.281976081451088,0.0795105105105105,-0.087,3
"Stone.Chamber","Raffinose_F","Glucose",2,1,1.838,0.387176840611504,0.149905905905906,0.162,1
"Stone.Chamber","Raffinose_F","Growth at 19°C",2,1,1.838,0.387176840611504,0.149905905905906,0.162,1
"Stone.Chamber","Raffinose_F","Melibiose",0,0.916,0.086,0.287552928496106,0.0826866866866867,-0.086,3
"Stone.Chamber","Raffinose_F","Methanol",0,0.898,0.102,0.302799748493435,0.0916876876876877,-0.102,3
"Stone.Chamber","Raffinose_F","myo-Inositol",0,0.933,0.069,0.261356666850699,0.0683073073073073,-0.069,3
"Stone.Chamber","Raffinose_F","Nitrate",0,0.81,0.192,0.399118147038312,0.159295295295295,-0.192,3
"Stone.Chamber","Raffinose_F","Raffinose",0,0.756,0.259,0.471318513471666,0.222141141141141,-0.259,3
"Stone.Chamber","Raffinose_F","Soluble Starch",0,0.847,0.162,0.392313535211201,0.15390990990991,-0.162,3
"Stone.Chamber","Raffinose_F","Starch formation",0,0.822,0.184,0.402872568321928,0.162306306306306,-0.184,3
"Stone.Chamber","Raffinose_F","Vitamin-free",0,0.803,0.206,0.426316485425729,0.181745745745746,-0.206,3
"Stone.Chamber","Soluble Starch","Galactitol",0,0.913,0.087,0.281976081451088,0.0795105105105105,-0.087,3
"Stone.Chamber","Soluble Starch","Growth at 19°C",2,1,1.821,0.406354677743623,0.165124124124124,0.179,1
"Stone.Chamber","Soluble Starch","Methanol",0,0.891,0.11,0.316227766016838,0.1,-0.11,3
"Stone.Chamber","Soluble Starch","myo-Inositol",0,0.931,0.071,0.264629985128347,0.070029029029029,-0.071,3
"Stone.Chamber","Soluble Starch","Nitrate",0,0.82,0.181,0.387800708340495,0.150389389389389,-0.181,3
"Stone.Chamber","Soluble Starch","Starch formation",0,0.828,0.177,0.394749068177275,0.155826826826827,-0.177,3
"Stone.Chamber","Soluble Starch","Vitamin-free",0,0.804,0.206,0.42865807789863,0.183747747747748,-0.206,3
"Stone.Chamber","Starch formation","Growth at 19°C",2,1,1.805,0.411271375303636,0.169144144144144,0.195,1
"Stone.Chamber","Sucrose_F","Galactitol",0,0.92,0.08,0.271428947744476,0.0736736736736737,-0.08,3
"Stone.Chamber","Sucrose_F","Glucose",2,1,1.745,0.469249608625511,0.220195195195195,0.255,1
"Stone.Chamber","Sucrose_F","Growth at 19°C",2,1,1.745,0.469249608625511,0.220195195195195,0.255,1
"Stone.Chamber","Sucrose_F","Lactose_F",0,0.976,0.024,0.1531255937048,0.0234474474474474,-0.024,3
"Stone.Chamber","Sucrose_F","Maltose_F",0,0.877,0.128,0.348909354614831,0.121737737737738,-0.128,3
"Stone.Chamber","Sucrose_F","Melibiose",0,0.926,0.076,0.272577141921876,0.0742982982982983,-0.076,3
"Stone.Chamber","Sucrose_F","Methanol",0,0.9,0.101,0.304781711872435,0.0928918918918919,-0.101,3
"Stone.Chamber","Sucrose_F","myo-Inositol",0,0.932,0.07,0.263000321614193,0.0691691691691692,-0.07,3
"Stone.Chamber","Sucrose_F","Nitrate",0,0.837,0.165,0.376718617693521,0.141916916916917,-0.165,3
"Stone.Chamber","Sucrose_F","Raffinose",0,0.777,0.238,0.459964746005134,0.211567567567568,-0.238,3
"Stone.Chamber","Sucrose_F","Raffinose_F",0,0.866,0.139,0.360289895513056,0.129808808808809,-0.139,3
"Stone.Chamber","Sucrose_F","Soluble Starch",0,0.842,0.167,0.396570634651973,0.157268268268268,-0.167,3
"Stone.Chamber","Sucrose_F","Starch formation",0,0.834,0.17,0.386327903793202,0.149249249249249,-0.17,3
"Stone.Chamber","Sucrose_F","Vitamin-free",0,0.815,0.194,0.41777809724606,0.174538538538539,-0.194,3
"Stone.Chamber","Vitamin-free","Growth at 19°C",2,1,1.774,0.443983244189599,0.197121121121121,0.226,1
"Stone.Chamber","Vitamin-free","Starch formation",0,0.834,0.171,0.389757502699962,0.151910910910911,-0.171,3
"Lichen","DL-Lactate","Vitamin-free",0,0.727,0.296,0.508569211261007,0.258642642642643,-0.296,3
"Lichen","Glucose","DL-Lactate",0,1,0,0,0,0,3
"Lichen","Glucose","Inulin",0,1,0,0,0,0,3
"Lichen","Glucose","myo-Inositol",0,1,0,0,0,0,3
"Lichen","Glucose","Raffinose",0,1,0,0,0,0,3
"Lichen","Glucose","Vitamin-free",0,1,0,0,0,0,3
"Lichen","Inulin","DL-Lactate",0,0.365,0.885,0.822466687137814,0.676451451451451,-0.885,3
"Lichen","Inulin","myo-Inositol",0,0.89,0.112,0.321806711489303,0.10355955955956,-0.112,3
"Lichen","Inulin","Raffinose",0,0.621,0.454,0.642103026232003,0.412296296296296,-0.454,3
"Lichen","Inulin","Vitamin-free",0,0.679,0.354,0.544959614082531,0.296980980980981,-0.354,3
"Lichen","Lactose_F","DL-Lactate",0,0.354,0.916,0.841220334782542,0.707651651651652,-0.916,3
"Lichen","Lactose_F","Glucose",5,1,4.944,0.242740443525431,0.0589229229229229,0.056,1
"Lichen","Lactose_F","Inulin",0,0.806,0.21,0.447325496814233,0.2001001001001,-0.21,3
"Lichen","Lactose_F","myo-Inositol",0,0.891,0.111,0.320595979048056,0.102781781781782,-0.111,3
"Lichen","Lactose_F","Raffinose",0,0.614,0.466,0.652126727921245,0.425269269269269,-0.466,3
"Lichen","Lactose_F","Raffinose_F",0,0.746,0.277,0.498517321183045,0.24851951951952,-0.277,3
"Lichen","Lactose_F","Vitamin-free",0,0.671,0.366,0.557094565001629,0.310354354354354,-0.366,3
"Lichen","Maltose_F","DL-Lactate",0,0.371,0.875,0.824654506478352,0.680055055055055,-0.875,3
"Lichen","Maltose_F","Glucose",5,1,4.686,0.541938832062898,0.293697697697698,0.314,1
"Lichen","Maltose_F","Inulin",0,0.819,0.197,0.438615302267697,0.192383383383383,-0.197,3
"Lichen","Maltose_F","Lactose_F",0,0.95,0.052,0.230974780764804,0.0533493493493493,-0.052,3
"Lichen","Maltose_F","myo-Inositol",0,0.895,0.107,0.315674912925704,0.0996506506506507,-0.107,3
"Lichen","Maltose_F","Raffinose",0,0.623,0.446,0.630461324334397,0.397481481481481,-0.446,3
"Lichen","Maltose_F","Raffinose_F",0,0.761,0.261,0.488997053281631,0.239118118118118,-0.261,3
"Lichen","Maltose_F","Vitamin-free",0,0.691,0.343,0.545571854707195,0.297648648648649,-0.343,3
"Lichen","myo-Inositol","DL-Lactate",0,0.362,0.9,0.83348346995888,0.694694694694695,-0.9,3
"Lichen","myo-Inositol","Vitamin-free",0,0.673,0.362,0.552504535059452,0.305261261261261,-0.362,3
"Lichen","Raffinose","DL-Lactate",0,0.4,0.822,0.806825239421132,0.650966966966967,-0.822,3
"Lichen","Raffinose","myo-Inositol",0,0.896,0.106,0.314424653713513,0.0988628628628629,-0.106,3
"Lichen","Raffinose","Vitamin-free",0,0.696,0.333,0.53140699411411,0.282393393393393,-0.333,3
"Lichen","Raffinose_F","DL-Lactate",0,0.37,0.887,0.832420521085301,0.692923923923924,-0.887,3
"Lichen","Raffinose_F","Glucose",5,1,4.72,0.503839115049491,0.253853853853854,0.28,1
"Lichen","Raffinose_F","Inulin",0,0.815,0.202,0.444289762872603,0.197393393393393,-0.202,3
"Lichen","Raffinose_F","myo-Inositol",0,0.9,0.102,0.309340737200408,0.0956916916916917,-0.102,3
"Lichen","Raffinose_F","Raffinose",0,0.626,0.446,0.636780566199605,0.405489489489489,-0.446,3
"Lichen","Raffinose_F","Vitamin-free",0,0.682,0.35,0.543871120575266,0.295795795795796,-0.35,3
"Lichen","Sucrose_F","DL-Lactate",0,0.387,0.844,0.813834335922445,0.662326326326326,-0.844,3
"Lichen","Sucrose_F","Glucose",5,1,4.599,0.597122730730924,0.356555555555556,0.401,1
"Lichen","Sucrose_F","Inulin",0,0.812,0.205,0.446289339077436,0.199174174174174,-0.205,3
"Lichen","Sucrose_F","Lactose_F",0,0.951,0.051,0.229022818626117,0.0524514514514514,-0.051,3
"Lichen","Sucrose_F","Maltose_F",0,0.744,0.287,0.51855558998038,0.2688998998999,-0.287,3
"Lichen","Sucrose_F","myo-Inositol",0,0.897,0.105,0.313166206786545,0.0980730730730731,-0.105,3
"Lichen","Sucrose_F","Raffinose",0,0.625,0.447,0.63529095270954,0.403594594594595,-0.447,3
"Lichen","Sucrose_F","Raffinose_F",0,0.771,0.251,0.483976480041369,0.234233233233233,-0.251,3
"Lichen","Sucrose_F","Vitamin-free",0,0.693,0.342,0.545282801244761,0.297333333333333,-0.342,3
"Pollen","DL-Lactate","Starch formation",0,0.687,0.355,0.561507159607329,0.31529029029029,-0.355,3
"Pollen","Galactitol","DL-Lactate",0,0.228,1.24,0.940896001312199,0.885285285285285,-1.24,3
"Pollen","Galactitol","myo-Inositol",0,0.805,0.212,0.450842832103671,0.203259259259259,-0.212,3
"Pollen","Galactitol","Starch formation",0,0.633,0.439,0.636147532954175,0.404683683683684,-0.439,3
"Pollen","Glucose","DL-Lactate",0,1,0,0,0,0,3
"Pollen","Glucose","Galactitol",0,1,0,0,0,0,3
"Pollen","Glucose","Inulin",0,1,0,0,0,0,3
"Pollen","Glucose","Lactose",0,1,0,0,0,0,3
"Pollen","Glucose","Melibiose",0,1,0,0,0,0,3
"Pollen","Glucose","Methanol",0,1,0,0,0,0,3
"Pollen","Glucose","myo-Inositol",0,1,0,0,0,0,3
"Pollen","Glucose","Starch formation",0,1,0,0,0,0,3
"Pollen","Inulin","DL-Lactate",0,0.241,1.222,0.94106407943434,0.885601601601602,-1.222,3
"Pollen","Inulin","Galactitol",0,0.82,0.198,0.448326886319566,0.200996996996997,-0.198,3
"Pollen","Inulin","Lactose",0,0.773,0.248,0.484490176093108,0.234730730730731,-0.248,3
"Pollen","Inulin","Melibiose",0,0.781,0.236,0.467463926439808,0.218522522522523,-0.236,3
"Pollen","Inulin","Methanol",0,0.784,0.232,0.458678957863108,0.210386386386386,-0.232,3
"Pollen","Inulin","myo-Inositol",0,0.806,0.209,0.442170232506118,0.195514514514515,-0.209,3
"Pollen","Inulin","Starch formation",0,0.634,0.435,0.629421298631665,0.396171171171171,-0.435,3
"Pollen","Lactose","DL-Lactate",0,0.233,1.231,0.939426166083062,0.882521521521522,-1.231,3
"Pollen","Lactose","Galactitol",0,0.817,0.205,0.461723064388371,0.213188188188188,-0.205,3
"Pollen","Lactose","Methanol",0,0.785,0.23,0.455310122122611,0.207307307307307,-0.23,3
