"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN"
"Clinical","Lactose_F","Nitrate",1,0.988
"Clinical","Lactose_F","Vitamin-free",0,0.88
"Clinical","Lactose_F","2-Keto-D-gluconate",0,0.929
"Clinical","Lactose_F","Starch formation",1,0.99
"Clinical","Lactose_F","Growth at 19°C",0,0.999
"Clinical","Lactose_F","Growth at 25°C",0,1
"Clinical","Lactose_F","Growth at 30°C",0,0.997
"Clinical","Lactose_F","Growth at 37°C",1,1
"Clinical","Raffinose_F","Glucose",0,1
"Clinical","Raffinose_F","Methanol",19,1
"Clinical","Raffinose_F","myo-Inositol",17,1
"Clinical","Raffinose_F","Starch formation",20,1
"Clinical","Trehalose_F","Glucose",0,1
"Clinical","Trehalose_F","Methanol",29,1
"Clinical","Trehalose_F","myo-Inositol",28,1
"Clinical","Trehalose_F","Starch formation",31,1
"Clinical","Glucose","Inulin",79,1
"Clinical","Glucose","Sucrose",41,1
"Clinical","Glucose","Raffinose",58,1
"Clinical","Glucose","Melibiose",76,1
"Clinical","Glucose","Galactose",28,1
"Clinical","Glucose","Lactose",77,1
"Clinical","Glucose","Trehalose",32,1
"Clinical","Glucose","Maltose",41,1
"Clinical","Glucose","Melezitose",46,1
"Clinical","Glucose","Methyl-?-D-glucoside",46,1
"Clinical","Glucose","Soluble Starch",60,1
"Clinical","Glucose","Cellobiose",37,1
"Clinical","Glucose","Salicin",37,1
"Clinical","Glucose","L-Sorbose",38,1
"Clinical","Glucose","L-Rhamnose",62,1
"Clinical","Glucose","D-Xylose",28,1
"Clinical","Glucose","L-Arabinose",49,1
"Clinical","Glucose","D-Arabinose",61,1
"Clinical","Glucose","D-Ribose",48,1
"Clinical","Glucose","Methanol",85,1
"Clinical","Glucose","Ethanol",11,1
"Clinical","Glucose","Glycerol",10,1
"Clinical","Glucose","Erythritol",62,1
"Clinical","Glucose","Ribitol",35,1
"Clinical","Glucose","Galactitol",73,1
"Clinical","Glucose","D-Mannitol",23,1
"Clinical","Glucose","D-Glucitol",20,1
"Clinical","Glucose","myo-Inositol",81,1
"Clinical","Glucose","DL-Lactate",40,1
"Clinical","Glucose","Succinate",11,1
"Clinical","Glucose","Citrate",24,1
"Clinical","Glucose","D-Gluconate",27,1
"Clinical","Glucose","D-Glucosamine",52,1
"Clinical","Glucose","Nitrate",79,1
"Clinical","Glucose","Vitamin-free",71,1
"Clinical","Glucose","2-Keto-D-gluconate",44,1
"Clinical","Glucose","Starch formation",84,1
"Clinical","Glucose","Growth at 19°C",5,1
"Clinical","Glucose","Growth at 25°C",0,0.975
"Clinical","Glucose","Growth at 30°C",3,1
"Clinical","Glucose","Growth at 37°C",24,1
"Clinical","Inulin","Methanol",11,1
"Clinical","Inulin","myo-Inositol",10,1
"Clinical","Inulin","Starch formation",11,1
"Clinical","Sucrose","Methanol",47,1
"Clinical","Sucrose","myo-Inositol",42,1
"Clinical","Sucrose","Starch formation",47,1
"Clinical","Raffinose","Methanol",31,1
"Clinical","Raffinose","myo-Inositol",24,1
"Clinical","Raffinose","Starch formation",32,1
"Clinical","Melibiose","Methanol",14,1
"Clinical","Melibiose","myo-Inositol",10,1
"Clinical","Melibiose","Starch formation",14,1
"Clinical","Galactose","Methanol",58,1
"Clinical","Galactose","myo-Inositol",54,1
"Clinical","Galactose","Starch formation",58,1
"Clinical","Lactose","Methanol",13,1
"Clinical","Lactose","myo-Inositol",9,1
"Clinical","Lactose","Starch formation",12,1
"Clinical","Trehalose","Methanol",55,1
"Clinical","Trehalose","myo-Inositol",50,1
"Clinical","Trehalose","Starch formation",57,1
"Clinical","Maltose","Methanol",47,1
"Clinical","Maltose","myo-Inositol",41,1
"Clinical","Maltose","Starch formation",48,1
"Clinical","Melezitose","Methanol",42,1
"Clinical","Melezitose","myo-Inositol",39,1
"Clinical","Melezitose","Starch formation",43,1
"Clinical","Methyl-?-D-glucoside","Methanol",42,1
"Clinical","Methyl-?-D-glucoside","myo-Inositol",38,1
"Clinical","Methyl-?-D-glucoside","Starch formation",43,1
"Clinical","Soluble Starch","Methanol",30,1
"Clinical","Soluble Starch","myo-Inositol",24,1
"Clinical","Soluble Starch","Starch formation",30,1
"Clinical","Cellobiose","Methanol",50,1
"Clinical","Cellobiose","myo-Inositol",46,1
"Clinical","Cellobiose","Starch formation",50,1
"Clinical","Salicin","Methanol",51,1
"Clinical","Salicin","myo-Inositol",46,1
"Clinical","Salicin","Starch formation",50,1
"Clinical","L-Sorbose","Methanol",50,1
"Clinical","L-Sorbose","myo-Inositol",43,1
"Clinical","L-Sorbose","Starch formation",50,1
"Clinical","L-Rhamnose","Methanol",26,1
"Clinical","L-Rhamnose","myo-Inositol",20,1
"Clinical","L-Rhamnose","Starch formation",28,1
"Clinical","D-Xylose","Methanol",59,1
"Clinical","D-Xylose","myo-Inositol",53,1
"Clinical","D-Xylose","Starch formation",60,1
"Clinical","L-Arabinose","Methanol",38,1
"Clinical","L-Arabinose","myo-Inositol",33,1
"Clinical","L-Arabinose","Starch formation",39,1
"Clinical","D-Arabinose","Methanol",27,1
"Clinical","D-Arabinose","myo-Inositol",21,1
"Clinical","D-Arabinose","Starch formation",28,1
"Clinical","D-Ribose","Methanol",40,1
"Clinical","D-Ribose","myo-Inositol",34,1
"Clinical","D-Ribose","Starch formation",41,1
"Clinical","Methanol","Ethanol",3,1
"Clinical","Methanol","Glycerol",2,1
"Clinical","Methanol","Erythritol",2,0.999
"Clinical","Methanol","Ribitol",1,0.997
"Clinical","Methanol","Galactitol",4,1
"Clinical","Methanol","D-Mannitol",2,1
"Clinical","Methanol","D-Glucitol",3,1
"Clinical","Methanol","myo-Inositol",5,1
"Clinical","Methanol","DL-Lactate",4,1
"Clinical","Methanol","Succinate",1,1
"Clinical","Methanol","Citrate",3,1
"Clinical","Methanol","D-Gluconate",3,1
"Clinical","Methanol","D-Glucosamine",4,1
"Clinical","Methanol","Nitrate",3,1
"Clinical","Methanol","Vitamin-free",4,1
"Clinical","Methanol","2-Keto-D-gluconate",4,1
"Clinical","Methanol","Starch formation",4,1
"Clinical","Methanol","Growth at 19°C",0,0.999
"Clinical","Methanol","Growth at 25°C",0,1
"Clinical","Methanol","Growth at 30°C",0,0.991
"Clinical","Methanol","Growth at 37°C",1,0.996
"Clinical","Ethanol","myo-Inositol",72,1
"Clinical","Ethanol","Starch formation",76,1
"Clinical","Glycerol","myo-Inositol",71,1
"Clinical","Glycerol","Starch formation",77,1
"Clinical","Erythritol","myo-Inositol",21,1
"Clinical","Erythritol","Starch formation",28,1
"Clinical","Ribitol","myo-Inositol",46,1
"Clinical","Ribitol","Starch formation",53,1
"Clinical","Galactitol","myo-Inositol",10,1
"Clinical","Galactitol","Starch formation",17,1
"Clinical","D-Mannitol","myo-Inositol",60,1
"Clinical","D-Mannitol","Starch formation",65,1
"Clinical","D-Glucitol","myo-Inositol",62,1
"Clinical","D-Glucitol","Starch formation",68,1
"Clinical","myo-Inositol","DL-Lactate",2,1
"Clinical","myo-Inositol","Succinate",1,1
"Clinical","myo-Inositol","Citrate",2,1
"Clinical","myo-Inositol","D-Gluconate",2,1
"Clinical","myo-Inositol","D-Glucosamine",2,1
"Clinical","myo-Inositol","Nitrate",8,1
"Clinical","myo-Inositol","Vitamin-free",8,1
"Clinical","myo-Inositol","2-Keto-D-gluconate",3,1
"Clinical","myo-Inositol","Starch formation",9,1
"Clinical","myo-Inositol","Growth at 19°C",0,0.998
"Clinical","myo-Inositol","Growth at 25°C",0,0.999
"Clinical","myo-Inositol","Growth at 30°C",0,0.991
"Clinical","myo-Inositol","Growth at 37°C",2,1
"Clinical","DL-Lactate","Starch formation",49,1
"Clinical","Succinate","Starch formation",76,1
"Clinical","Citrate","Starch formation",64,1
"Clinical","D-Gluconate","Starch formation",60,1
"Clinical","D-Glucosamine","Starch formation",38,1
"Clinical","Nitrate","Starch formation",11,1
"Clinical","Vitamin-free","Starch formation",18,1
"Clinical","2-Keto-D-gluconate","Starch formation",45,1
"Clinical","Starch formation","Growth at 19°C",1,1
"Clinical","Starch formation","Growth at 25°C",0,0.996
"Clinical","Starch formation","Growth at 30°C",0,0.971
"Clinical","Starch formation","Growth at 37°C",1,0.988
"Rotting.Decaying","Glucose_F","Lactose_F",67,0.461
"Rotting.Decaying","Glucose_F","Glucose",0,1
"Rotting.Decaying","Galactose_F","Lactose_F",30,0.623
"Rotting.Decaying","Galactose_F","Glucose",0,1
"Rotting.Decaying","Sucrose_F","Lactose_F",29,0.999
"Rotting.Decaying","Sucrose_F","Glucose",0,1
"Rotting.Decaying","Maltose_F","Lactose_F",21,0.944
"Rotting.Decaying","Maltose_F","Glucose",0,1
"Rotting.Decaying","Lactose_F","Raffinose_F",0,0.28
"Rotting.Decaying","Lactose_F","Trehalose_F",0,0.181
"Rotting.Decaying","Lactose_F","Glucose",0,1
"Rotting.Decaying","Lactose_F","Inulin",1,0.654
"Rotting.Decaying","Lactose_F","Sucrose",0,0.651
"Rotting.Decaying","Lactose_F","Raffinose",0,0.361
"Rotting.Decaying","Lactose_F","Melibiose",0,0.095
"Rotting.Decaying","Lactose_F","Galactose",0,0.667
"Rotting.Decaying","Lactose_F","Lactose",0,0.096
"Rotting.Decaying","Lactose_F","Trehalose",0,0.757
"Rotting.Decaying","Lactose_F","Maltose",0,0.646
"Rotting.Decaying","Lactose_F","Melezitose",0,0.225
"Rotting.Decaying","Lactose_F","Methyl-?-D-glucoside",0,0.583
"Rotting.Decaying","Lactose_F","Soluble Starch",0,0.144
"Rotting.Decaying","Lactose_F","Cellobiose",0,0.733
"Rotting.Decaying","Lactose_F","Salicin",0,0.712
"Rotting.Decaying","Lactose_F","L-Sorbose",0,0.598
"Rotting.Decaying","Lactose_F","L-Rhamnose",1,0.564
"Rotting.Decaying","Lactose_F","D-Xylose",0,0.799
"Rotting.Decaying","Lactose_F","L-Arabinose",0,0.186
"Rotting.Decaying","Lactose_F","D-Arabinose",1,0.662
"Rotting.Decaying","Lactose_F","D-Ribose",0,0.515
"Rotting.Decaying","Lactose_F","Methanol",1,0.455
"Rotting.Decaying","Lactose_F","Ethanol",0,0.916
"Rotting.Decaying","Lactose_F","Glycerol",0,0.511
"Rotting.Decaying","Lactose_F","Erythritol",0,0.15
"Rotting.Decaying","Lactose_F","Ribitol",0,0.686
"Rotting.Decaying","Lactose_F","Galactitol",1,0.481
"Rotting.Decaying","Lactose_F","D-Mannitol",0,0.868
"Rotting.Decaying","Lactose_F","D-Glucitol",0,0.846
"Rotting.Decaying","Lactose_F","myo-Inositol",1,0.455
"Rotting.Decaying","Lactose_F","DL-Lactate",1,0.679
"Rotting.Decaying","Lactose_F","Succinate",0,0.884
"Rotting.Decaying","Lactose_F","Citrate",0,0.677
"Rotting.Decaying","Lactose_F","D-Gluconate",0,0.583
"Rotting.Decaying","Lactose_F","D-Glucosamine",0,0.536
"Rotting.Decaying","Lactose_F","Nitrate",1,0.513
"Rotting.Decaying","Lactose_F","Vitamin-free",0,0.118
"Rotting.Decaying","Lactose_F","2-Keto-D-gluconate",0,0.518
"Rotting.Decaying","Lactose_F","Starch formation",1,0.67
"Rotting.Decaying","Lactose_F","Growth at 19°C",0,0.984
"Rotting.Decaying","Lactose_F","Growth at 25°C",0,0.988
"Rotting.Decaying","Lactose_F","Growth at 30°C",0,0.895
"Rotting.Decaying","Lactose_F","Growth at 37°C",1,0.708
"Rotting.Decaying","Raffinose_F","Glucose",0,1
"Rotting.Decaying","Trehalose_F","Glucose",0,1
"Rotting.Decaying","Glucose","Inulin",79,0
"Rotting.Decaying","Glucose","Sucrose",41,0.206
"Rotting.Decaying","Glucose","Raffinose",58,0
"Rotting.Decaying","Glucose","Melibiose",76,0
"Rotting.Decaying","Glucose","Galactose",28,0.002
"Rotting.Decaying","Glucose","Lactose",77,0
"Rotting.Decaying","Glucose","Trehalose",32,0.809
"Rotting.Decaying","Glucose","Maltose",41,0.032
"Rotting.Decaying","Glucose","Melezitose",46,0
"Rotting.Decaying","Glucose","Methyl-?-D-glucoside",46,0.01
"Rotting.Decaying","Glucose","Soluble Starch",60,0
"Rotting.Decaying","Glucose","Cellobiose",37,0.981
"Rotting.Decaying","Glucose","Salicin",37,0.971
"Rotting.Decaying","Glucose","L-Sorbose",38,0.09
"Rotting.Decaying","Glucose","L-Rhamnose",62,0
"Rotting.Decaying","Glucose","D-Xylose",28,0.988
"Rotting.Decaying","Glucose","L-Arabinose",49,0
"Rotting.Decaying","Glucose","D-Arabinose",61,0.503
"Rotting.Decaying","Glucose","D-Ribose",48,0
"Rotting.Decaying","Glucose","Methanol",85,0.398
"Rotting.Decaying","Glucose","Ethanol",11,0.867
"Rotting.Decaying","Glucose","Glycerol",10,0.78
"Rotting.Decaying","Glucose","Erythritol",62,0.001
"Rotting.Decaying","Glucose","Ribitol",35,0.041
"Rotting.Decaying","Glucose","Galactitol",73,0
"Rotting.Decaying","Glucose","D-Mannitol",23,0.915
"Rotting.Decaying","Glucose","D-Glucitol",20,0.015
"Rotting.Decaying","Glucose","myo-Inositol",81,0.005
"Rotting.Decaying","Glucose","DL-Lactate",40,0.03
"Rotting.Decaying","Glucose","Succinate",11,0.762
"Rotting.Decaying","Glucose","Citrate",24,0.003
"Rotting.Decaying","Glucose","D-Gluconate",27,0
"Rotting.Decaying","Glucose","D-Glucosamine",52,0.25
"Rotting.Decaying","Glucose","Nitrate",79,0.136
"Rotting.Decaying","Glucose","Vitamin-free",71,0.004
"Rotting.Decaying","Glucose","2-Keto-D-gluconate",44,0.001
"Rotting.Decaying","Glucose","Starch formation",84,0.105
"Rotting.Decaying","Glucose","Growth at 19°C",5,1
"Rotting.Decaying","Glucose","Growth at 25°C",0,0.358
"Rotting.Decaying","Glucose","Growth at 30°C",3,0.004
"Rotting.Decaying","Glucose","Growth at 37°C",24,0
"Spoiled","Glucose_F","Glucose",0,1
"Spoiled","Glucose_F","Starch formation",65,1
"Spoiled","Galactose_F","Glucose",0,1
"Spoiled","Galactose_F","Starch formation",30,1
"Spoiled","Sucrose_F","Glucose",0,1
"Spoiled","Sucrose_F","Starch formation",30,1
"Spoiled","Maltose_F","Glucose",0,1
"Spoiled","Maltose_F","Starch formation",22,1
"Spoiled","Lactose_F","Glucose",0,1
"Spoiled","Lactose_F","Starch formation",1,0.91
"Spoiled","Raffinose_F","Glucose",0,1
"Spoiled","Raffinose_F","Starch formation",20,1
"Spoiled","Trehalose_F","Glucose",0,1
"Spoiled","Trehalose_F","Starch formation",31,1
"Spoiled","Glucose","Inulin",79,1
"Spoiled","Glucose","Sucrose",41,1
"Spoiled","Glucose","Raffinose",58,1
"Spoiled","Glucose","Melibiose",76,1
"Spoiled","Glucose","Galactose",28,1
"Spoiled","Glucose","Lactose",77,1
"Spoiled","Glucose","Trehalose",32,1
"Spoiled","Glucose","Maltose",41,1
"Spoiled","Glucose","Melezitose",46,1
"Spoiled","Glucose","Methyl-?-D-glucoside",46,1
"Spoiled","Glucose","Soluble Starch",60,1
"Spoiled","Glucose","Cellobiose",37,1
"Spoiled","Glucose","Salicin",37,1
"Spoiled","Glucose","L-Sorbose",38,1
"Spoiled","Glucose","L-Rhamnose",62,1
"Spoiled","Glucose","D-Xylose",28,1
"Spoiled","Glucose","L-Arabinose",49,1
"Spoiled","Glucose","D-Arabinose",61,1
"Spoiled","Glucose","D-Ribose",48,1
"Spoiled","Glucose","Methanol",85,1
"Spoiled","Glucose","Ethanol",11,1
"Spoiled","Glucose","Glycerol",10,1
"Spoiled","Glucose","Erythritol",62,1
"Spoiled","Glucose","Ribitol",35,1
"Spoiled","Glucose","Galactitol",73,1
"Spoiled","Glucose","D-Mannitol",23,1
"Spoiled","Glucose","D-Glucitol",20,1
"Spoiled","Glucose","myo-Inositol",81,1
"Spoiled","Glucose","DL-Lactate",40,1
"Spoiled","Glucose","Succinate",11,1
"Spoiled","Glucose","Citrate",24,1
"Spoiled","Glucose","D-Gluconate",27,1
"Spoiled","Glucose","D-Glucosamine",52,1
"Spoiled","Glucose","Nitrate",79,1
"Spoiled","Glucose","Vitamin-free",71,1
"Spoiled","Glucose","2-Keto-D-gluconate",44,1
"Spoiled","Glucose","Starch formation",84,1
"Spoiled","Glucose","Growth at 19°C",5,1
"Spoiled","Glucose","Growth at 25°C",0,0.935
"Spoiled","Glucose","Growth at 30°C",3,0.9
"Spoiled","Glucose","Growth at 37°C",24,1
"Spoiled","Inulin","Starch formation",11,1
"Spoiled","Sucrose","Starch formation",47,1
"Spoiled","Raffinose","Starch formation",32,1
"Spoiled","Melibiose","Starch formation",14,1
"Spoiled","Galactose","Starch formation",58,1
"Spoiled","Lactose","Starch formation",12,1
"Spoiled","Trehalose","Starch formation",57,1
"Spoiled","Maltose","Starch formation",48,1
"Spoiled","Melezitose","Starch formation",43,1
"Spoiled","Methyl-?-D-glucoside","Starch formation",43,1
"Spoiled","Soluble Starch","Starch formation",30,1
"Spoiled","Cellobiose","Starch formation",50,1
"Spoiled","Salicin","Starch formation",50,1
"Spoiled","L-Sorbose","Starch formation",50,1
"Spoiled","L-Rhamnose","Starch formation",28,1
"Spoiled","D-Xylose","Starch formation",60,1
"Spoiled","L-Arabinose","Starch formation",39,1
"Spoiled","D-Arabinose","Starch formation",28,1
"Spoiled","D-Ribose","Starch formation",41,1
"Spoiled","Methanol","Starch formation",4,1
"Spoiled","Ethanol","Starch formation",76,1
"Spoiled","Glycerol","Starch formation",77,1
"Spoiled","Erythritol","Starch formation",28,1
"Spoiled","Ribitol","Starch formation",53,1
"Spoiled","Galactitol","Starch formation",17,1
"Spoiled","D-Mannitol","Starch formation",65,1
"Spoiled","D-Glucitol","Starch formation",68,1
"Spoiled","myo-Inositol","Starch formation",9,1
"Spoiled","DL-Lactate","Starch formation",49,1
"Spoiled","Succinate","Starch formation",76,1
"Spoiled","Citrate","Starch formation",64,1
"Spoiled","D-Gluconate","Starch formation",60,1
"Spoiled","D-Glucosamine","Starch formation",38,1
"Spoiled","Nitrate","Starch formation",11,1
"Spoiled","Vitamin-free","Starch formation",18,1
"Spoiled","2-Keto-D-gluconate","Starch formation",45,1
"Spoiled","Starch formation","Growth at 19°C",1,1
"Spoiled","Starch formation","Growth at 25°C",0,0.994
"Spoiled","Starch formation","Growth at 30°C",0,0.941
"Spoiled","Starch formation","Growth at 37°C",1,0.983
"Contaminated","Glucose_F","Lactose_F",67,1
"Contaminated","Glucose_F","Raffinose_F",48,1
"Contaminated","Glucose_F","Glucose",0,1
"Contaminated","Glucose_F","Inulin",57,1
"Contaminated","Glucose_F","Melibiose",57,1
"Contaminated","Glucose_F","Lactose",56,1
"Contaminated","Glucose_F","Methyl-?-D-glucoside",28,1
"Contaminated","Glucose_F","Methanol",65,1
"Contaminated","Glucose_F","Erythritol",48,1
"Contaminated","Glucose_F","Nitrate",57,1
"Contaminated","Glucose_F","Vitamin-free",54,1
"Contaminated","Glucose_F","Starch formation",65,1
"Contaminated","Glucose_F","Growth at 37°C",14,1
"Contaminated","Galactose_F","Lactose_F",30,1
"Contaminated","Galactose_F","Raffinose_F",18,1
"Contaminated","Galactose_F","Glucose",0,1
"Contaminated","Galactose_F","Inulin",24,1
"Contaminated","Galactose_F","Melibiose",24,1
"Contaminated","Galactose_F","Lactose",22,1
"Contaminated","Galactose_F","Methyl-?-D-glucoside",7,1
"Contaminated","Galactose_F","Methanol",29,1
"Contaminated","Galactose_F","Erythritol",17,1
"Contaminated","Galactose_F","Nitrate",27,1
"Contaminated","Galactose_F","Vitamin-free",20,1
"Contaminated","Galactose_F","Starch formation",30,1
"Contaminated","Galactose_F","Growth at 37°C",4,1
"Contaminated","Sucrose_F","Lactose_F",29,1
"Contaminated","Sucrose_F","Raffinose_F",10,1
"Contaminated","Sucrose_F","Glucose",0,1
"Contaminated","Sucrose_F","Inulin",20,1
