"Isolation","Trait","Observed_PP","Percent_PP"
"Rotting.Decaying","Trehalose",67,0.478
"Rotting.Decaying","Maltose",50,0.339
"Rotting.Decaying","Melezitose",40,0.33
"Rotting.Decaying","Methyl-?-D-glucoside",45,0.474
"Rotting.Decaying","Soluble Starch",22,0.439
"Rotting.Decaying","Cellobiose",67,0.743
"Rotting.Decaying","Salicin",67,0.776
"Rotting.Decaying","L-Sorbose",57,0.76
"Rotting.Decaying","L-Rhamnose",27,0.822
"Rotting.Decaying","D-Xylose",78,0.888
"Rotting.Decaying","L-Arabinose",39,0.729
"Rotting.Decaying","D-Arabinose",39,0.87
"Rotting.Decaying","D-Ribose",40,0.542
"Rotting.Decaying","Methanol",14,0.883
"Rotting.Decaying","Ethanol",91,0.934
"Rotting.Decaying","Glycerol",89,0.622
"Rotting.Decaying","Erythritol",28,0.63
"Rotting.Decaying","Ribitol",58,0.56
"Rotting.Decaying","Galactitol",12,0.597
"Rotting.Decaying","D-Mannitol",77,0.543
"Rotting.Decaying","D-Glucitol",72,0.399
"Rotting.Decaying","myo-Inositol",12,0.734
"Rotting.Decaying","DL-Lactate",52,0.738
"Rotting.Decaying","Succinate",90,0.917
"Rotting.Decaying","Citrate",68,0.837
"Rotting.Decaying","D-Gluconate",47,0.245
"Rotting.Decaying","D-Glucosamine",46,0.862
"Rotting.Decaying","Nitrate",14,0.283
"Rotting.Decaying","Vitamin-free",18,0.436
"Rotting.Decaying","2-Keto-D-gluconate",44,0.61
"Rotting.Decaying","Starch formation",8,0.251
"Rotting.Decaying","Growth at 19°C",97,0.602
"Rotting.Decaying","Growth at 25°C",97,0.642
"Rotting.Decaying","Growth at 30°C",90,0.813
"Rotting.Decaying","Growth at 37°C",51,0.874
"Spoiled","Glucose_F",12,0.666
"Spoiled","Galactose_F",2,0.41
"Spoiled","Sucrose_F",5,0.782
"Spoiled","Maltose_F",1,0.545
"Spoiled","Lactose_F",1,0.894
"Spoiled","Raffinose_F",3,0.707
"Spoiled","Trehalose_F",4,0.642
"Spoiled","Glucose",17,1
"Spoiled","Inulin",1,0.622
"Spoiled","Sucrose",9,0.723
"Spoiled","Raffinose",6,0.802
"Spoiled","Melibiose",4,0.87
"Spoiled","Galactose",11,0.871
"Spoiled","Lactose",4,0.903
"Spoiled","Trehalose",8,0.564
"Spoiled","Maltose",7,0.65
"Spoiled","Melezitose",6,0.596
"Spoiled","Methyl-?-D-glucoside",7,0.755
"Spoiled","Soluble Starch",4,0.713
"Spoiled","Cellobiose",9,0.705
"Spoiled","Salicin",9,0.703
"Spoiled","L-Sorbose",10,0.853
"Spoiled","L-Rhamnose",2,0.57
"Spoiled","D-Xylose",9,0.55
"Spoiled","L-Arabinose",7,0.817
"Spoiled","D-Arabinose",6,0.793
"Spoiled","D-Ribose",6,0.655
"Spoiled","Methanol",1,0.693
"Spoiled","Ethanol",15,0.933
"Spoiled","Glycerol",15,0.897
"Spoiled","Erythritol",5,0.763
"Spoiled","Ribitol",10,0.763
"Spoiled","Galactitol",5,0.919
"Spoiled","D-Mannitol",11,0.535
"Spoiled","D-Glucitol",11,0.567
"Spoiled","myo-Inositol",1,0.778
"Spoiled","DL-Lactate",10,0.888
"Spoiled","Succinate",13,0.781
"Spoiled","Citrate",8,0.52
"Spoiled","D-Gluconate",7,0.577
"Spoiled","D-Glucosamine",5,0.668
"Spoiled","Nitrate",2,0.589
"Spoiled","Vitamin-free",1,0.496
"Spoiled","2-Keto-D-gluconate",5,0.555
"Spoiled","Starch formation",0,0.399
"Spoiled","Growth at 19°C",17,1
"Spoiled","Growth at 25°C",17,1
"Spoiled","Growth at 30°C",15,0.888
"Spoiled","Growth at 37°C",12,0.957
"Contaminated","Glucose_F",2,1
"Contaminated","Galactose_F",2,1
"Contaminated","Sucrose_F",1,0.925
"Contaminated","Maltose_F",1,0.956
"Contaminated","Lactose_F",0,0.97
"Contaminated","Raffinose_F",0,0.86
"Contaminated","Trehalose_F",2,1
"Contaminated","Glucose",2,1
"Contaminated","Inulin",0,0.895
"Contaminated","Sucrose",1,0.794
"Contaminated","Raffinose",1,0.905
"Contaminated","Melibiose",0,0.914
"Contaminated","Galactose",2,1
"Contaminated","Lactose",0,0.909
"Contaminated","Trehalose",2,1
"Contaminated","Maltose",2,1
"Contaminated","Melezitose",1,0.863
"Contaminated","Methyl-?-D-glucoside",0,0.668
"Contaminated","Soluble Starch",2,1
"Contaminated","Cellobiose",2,1
"Contaminated","Salicin",2,1
"Contaminated","L-Sorbose",1,0.813
"Contaminated","L-Rhamnose",1,0.91
"Contaminated","D-Xylose",2,1
"Contaminated","L-Arabinose",1,0.921
"Contaminated","D-Arabinose",2,1
"Contaminated","D-Ribose",1,0.895
"Contaminated","Methanol",0,0.888
"Contaminated","Ethanol",2,1
"Contaminated","Glycerol",1,0.663
"Contaminated","Erythritol",0,0.834
"Contaminated","Ribitol",2,1
"Contaminated","Galactitol",1,0.973
"Contaminated","D-Mannitol",2,1
"Contaminated","D-Glucitol",2,1
"Contaminated","myo-Inositol",1,0.981
"Contaminated","DL-Lactate",2,1
"Contaminated","Succinate",2,1
"Contaminated","Citrate",1,0.776
"Contaminated","D-Gluconate",1,0.83
"Contaminated","D-Glucosamine",2,1
"Contaminated","Nitrate",0,0.81
"Contaminated","Vitamin-free",0,0.809
"Contaminated","2-Keto-D-gluconate",1,0.801
"Contaminated","Starch formation",0,0.849
"Contaminated","Growth at 19°C",2,1
"Contaminated","Growth at 25°C",2,1
"Contaminated","Growth at 30°C",2,1
"Contaminated","Growth at 37°C",0,0.603
"Plant.Pathogen","Glucose_F",19,0.479
"Plant.Pathogen","Galactose_F",12,0.797
"Plant.Pathogen","Sucrose_F",8,0.732
"Plant.Pathogen","Maltose_F",6,0.734
"Plant.Pathogen","Lactose_F",1,0.784
"Plant.Pathogen","Raffinose_F",7,0.848
"Plant.Pathogen","Trehalose_F",8,0.625
"Plant.Pathogen","Glucose",29,1
"Plant.Pathogen","Inulin",9,0.948
"Plant.Pathogen","Sucrose",20,0.856
"Plant.Pathogen","Raffinose",14,0.95
"Plant.Pathogen","Melibiose",1,0.564
"Plant.Pathogen","Galactose",15,0.441
"Plant.Pathogen","Lactose",1,0.586
"Plant.Pathogen","Trehalose",20,0.734
"Plant.Pathogen","Maltose",17,0.796
"Plant.Pathogen","Melezitose",13,0.721
"Plant.Pathogen","Methyl-?-D-glucoside",14,0.777
"Plant.Pathogen","Soluble Starch",8,0.866
"Plant.Pathogen","Cellobiose",19,0.718
"Plant.Pathogen","Salicin",17,0.577
"Plant.Pathogen","L-Sorbose",18,0.828
"Plant.Pathogen","L-Rhamnose",1,0.313
"Plant.Pathogen","D-Xylose",19,0.643
"Plant.Pathogen","L-Arabinose",7,0.516
"Plant.Pathogen","D-Arabinose",7,0.672
"Plant.Pathogen","D-Ribose",5,0.187
"Plant.Pathogen","Methanol",0,0.464
"Plant.Pathogen","Ethanol",20,0.321
"Plant.Pathogen","Glycerol",24,0.738
"Plant.Pathogen","Erythritol",2,0.255
"Plant.Pathogen","Ribitol",15,0.561
"Plant.Pathogen","Galactitol",3,0.766
"Plant.Pathogen","D-Mannitol",21,0.57
"Plant.Pathogen","D-Glucitol",20,0.521
"Plant.Pathogen","myo-Inositol",0,0.535
"Plant.Pathogen","DL-Lactate",16,0.84
"Plant.Pathogen","Succinate",24,0.823
"Plant.Pathogen","Citrate",15,0.48
"Plant.Pathogen","D-Gluconate",12,0.418
"Plant.Pathogen","D-Glucosamine",5,0.304
"Plant.Pathogen","Nitrate",6,0.819
"Plant.Pathogen","Vitamin-free",3,0.485
"Plant.Pathogen","2-Keto-D-gluconate",11,0.59
"Plant.Pathogen","Starch formation",6,0.866
"Plant.Pathogen","Growth at 19°C",29,1
"Plant.Pathogen","Growth at 25°C",26,0.321
"Plant.Pathogen","Growth at 30°C",21,0.239
"Plant.Pathogen","Growth at 37°C",11,0.602
"Animal","Glucose_F",78,0.617
"Animal","Galactose_F",33,0.352
"Animal","Sucrose_F",35,0.638
"Animal","Maltose_F",23,0.383
"Animal","Lactose_F",1,0.266
"Animal","Raffinose_F",25,0.651
"Animal","Trehalose_F",32,0.357
"Animal","Glucose",104,1
"Animal","Inulin",13,0.323
"Animal","Sucrose",59,0.332
"Animal","Raffinose",37,0.594
"Animal","Melibiose",15,0.429
"Animal","Galactose",68,0.471
"Animal","Lactose",16,0.562
"Animal","Trehalose",70,0.491
"Animal","Maltose",58,0.46
"Animal","Melezitose",52,0.589
"Animal","Methyl-?-D-glucoside",52,0.572
"Animal","Soluble Starch",34,0.672
"Animal","Cellobiose",62,0.349
"Animal","Salicin",63,0.4
"Animal","L-Sorbose",54,0.39
"Animal","L-Rhamnose",33,0.808
"Animal","D-Xylose",74,0.609
"Animal","L-Arabinose",46,0.747
"Animal","D-Arabinose",32,0.399
"Animal","D-Ribose",47,0.566
"Animal","Methanol",7,0.454
"Animal","Ethanol",92,0.743
"Animal","Glycerol",92,0.729
"Animal","Erythritol",35,0.712
"Animal","Ribitol",66,0.609
"Animal","Galactitol",19,0.639
"Animal","D-Mannitol",79,0.319
"Animal","D-Glucitol",82,0.57
"Animal","myo-Inositol",10,0.53
"Animal","DL-Lactate",56,0.71
"Animal","Succinate",92,0.864
"Animal","Citrate",73,0.838
"Animal","D-Gluconate",71,0.894
"Animal","D-Glucosamine",44,0.618
"Animal","Nitrate",16,0.263
"Animal","Vitamin-free",21,0.402
"Animal","2-Keto-D-gluconate",53,0.697
"Animal","Starch formation",7,0.179
"Animal","Growth at 19°C",97,0.489
"Animal","Growth at 25°C",102,0.716
"Animal","Growth at 30°C",98,0.88
"Animal","Growth at 37°C",72,0.997
"Insect","Glucose_F",175,0.836
"Insect","Galactose_F",88,0.762
"Insect","Sucrose_F",67,0.64
"Insect","Maltose_F",62,0.858
"Insect","Lactose_F",12,0.872
"Insect","Raffinose_F",41,0.607
"Insect","Trehalose_F",102,0.959
"Insect","Glucose",217,1
"Insect","Inulin",20,0.088
"Insect","Sucrose",153,0.781
"Insect","Raffinose",58,0.163
"Insect","Melibiose",26,0.416
"Insect","Galactose",165,0.86
"Insect","Lactose",22,0.249
"Insect","Trehalose",164,0.541
"Insect","Maltose",152,0.91
"Insect","Melezitose",130,0.925
"Insect","Methyl-?-D-glucoside",131,0.927
"Insect","Soluble Starch",45,0.115
"Insect","Cellobiose",155,0.717
"Insect","Salicin",158,0.815
"Insect","L-Sorbose",121,0.351
"Insect","L-Rhamnose",54,0.549
"Insect","D-Xylose",157,0.443
"Insect","L-Arabinose",78,0.362
"Insect","D-Arabinose",72,0.491
"Insect","D-Ribose",107,0.724
"Insect","Methanol",10,0.095
"Insect","Ethanol",183,0.366
"Insect","Glycerol",200,0.775
"Insect","Erythritol",64,0.446
"Insect","Ribitol",159,0.911
"Insect","Galactitol",22,0.314
"Insect","D-Mannitol",203,0.979
"Insect","D-Glucitol",201,0.981
"Insect","myo-Inositol",12,0.271
"Insect","DL-Lactate",84,0.024
"Insect","Succinate",187,0.489
"Insect","Citrate",152,0.715
"Insect","D-Gluconate",151,0.933
"Insect","D-Glucosamine",100,0.693
"Insect","Nitrate",20,0.021
"Insect","Vitamin-free",28,0.019
"Insect","2-Keto-D-gluconate",129,0.945
"Insect","Starch formation",11,0.006
"Insect","Growth at 19°C",215,0.592
"Insect","Growth at 25°C",216,0.771
"Insect","Growth at 30°C",206,0.924
"Insect","Growth at 37°C",81,0.061
"Tree","Glucose_F",128,0.023
"Tree","Galactose_F",52,0.1
"Tree","Sucrose_F",38,0.079
"Tree","Maltose_F",32,0.148
"Tree","Lactose_F",3,0.201
"Tree","Raffinose_F",24,0.155
"Tree","Trehalose_F",57,0.256
"Tree","Glucose",200,1
"Tree","Inulin",31,0.791
"Tree","Sucrose",124,0.396
"Tree","Raffinose",63,0.588
"Tree","Melibiose",25,0.53
"Tree","Galactose",102,0.009
"Tree","Lactose",27,0.575
"Tree","Trehalose",152,0.72
"Tree","Maltose",110,0.292
"Tree","Melezitose",91,0.39
"Tree","Methyl-?-D-glucoside",91,0.298
"Tree","Soluble Starch",61,0.931
"Tree","Cellobiose",148,0.915
"Tree","Salicin",145,0.913
"Tree","L-Sorbose",101,0.257
"Tree","L-Rhamnose",60,0.911
"Tree","D-Xylose",161,0.938
"Tree","L-Arabinose",81,0.783
"Tree","D-Arabinose",85,0.973
"Tree","D-Ribose",96,0.801
"Tree","Methanol",31,0.973
"Tree","Ethanol",178,0.838
"Tree","Glycerol",179,0.542
"Tree","Erythritol",65,0.831
"Tree","Ribitol",128,0.591
"Tree","Galactitol",18,0.304
"Tree","D-Mannitol",178,0.92
"Tree","D-Glucitol",172,0.84
"Tree","myo-Inositol",25,0.834
"Tree","DL-Lactate",94,0.424
"Tree","Succinate",179,0.869
"Tree","Citrate",126,0.39
"Tree","D-Gluconate",104,0.191
"Tree","D-Glucosamine",80,0.565
"Tree","Nitrate",64,0.998
"Tree","Vitamin-free",57,0.956
"Tree","2-Keto-D-gluconate",77,0.135
"Tree","Starch formation",38,0.925
"Tree","Growth at 19°C",198,0.602
"Tree","Growth at 25°C",198,0.614
"Tree","Growth at 30°C",157,0.019
"Tree","Growth at 37°C",76,0.14
"Stone.Chamber","Glucose_F",2,1
"Stone.Chamber","Galactose_F",2,1
"Stone.Chamber","Sucrose_F",0,0.76
"Stone.Chamber","Maltose_F",0,0.855
"Stone.Chamber","Lactose_F",0,0.971
"Stone.Chamber","Raffinose_F",0,0.845
"Stone.Chamber","Trehalose_F",1,0.899
"Stone.Chamber","Glucose",2,1
"Stone.Chamber","Inulin",1,0.931
"Stone.Chamber","Sucrose",2,1
"Stone.Chamber","Raffinose",0,0.742
"Stone.Chamber","Melibiose",0,0.916
"Stone.Chamber","Galactose",2,1
"Stone.Chamber","Lactose",1,0.966
"Stone.Chamber","Trehalose",2,1
"Stone.Chamber","Maltose",2,1
"Stone.Chamber","Melezitose",1,0.839
"Stone.Chamber","Methyl-?-D-glucoside",1,0.814
"Stone.Chamber","Soluble Starch",0,0.83
"Stone.Chamber","Cellobiose",2,1
"Stone.Chamber","Salicin",2,1
"Stone.Chamber","L-Sorbose",2,1
"Stone.Chamber","L-Rhamnose",1,0.922
"Stone.Chamber","D-Xylose",2,1
"Stone.Chamber","L-Arabinose",2,1
"Stone.Chamber","D-Arabinose",2,1
"Stone.Chamber","D-Ribose",2,1
"Stone.Chamber","Methanol",0,0.886
"Stone.Chamber","Ethanol",2,1
"Stone.Chamber","Glycerol",2,1
"Stone.Chamber","Erythritol",2,1
"Stone.Chamber","Ribitol",2,1
"Stone.Chamber","Galactitol",0,0.905
"Stone.Chamber","D-Mannitol",2,1
"Stone.Chamber","D-Glucitol",2,1
"Stone.Chamber","myo-Inositol",0,0.928
"Stone.Chamber","DL-Lactate",1,0.767
"Stone.Chamber","Succinate",2,1
"Stone.Chamber","Citrate",2,1
"Stone.Chamber","D-Gluconate",2,1
"Stone.Chamber","D-Glucosamine",2,1
"Stone.Chamber","Nitrate",0,0.803
"Stone.Chamber","Vitamin-free",0,0.785
"Stone.Chamber","2-Keto-D-gluconate",2,1
"Stone.Chamber","Starch formation",0,0.811
"Stone.Chamber","Growth at 19°C",2,1
"Stone.Chamber","Growth at 25°C",2,1
"Stone.Chamber","Growth at 30°C",2,1
"Stone.Chamber","Growth at 37°C",1,0.796
"Lichen","Glucose_F",2,0.474
"Lichen","Galactose_F",1,0.672
"Lichen","Sucrose_F",0,0.655
"Lichen","Maltose_F",0,0.724
"Lichen","Lactose_F",0,0.947
"Lichen","Raffinose_F",0,0.745
"Lichen","Trehalose_F",1,0.724
"Lichen","Glucose",5,1
"Lichen","Inulin",0,0.803
"Lichen","Sucrose",2,0.531
"Lichen","Raffinose",0,0.608
"Lichen","Melibiose",1,0.888
"Lichen","Galactose",4,0.796
"Lichen","Lactose",2,0.953
"Lichen","Trehalose",4,0.871
"Lichen","Maltose",3,0.794
"Lichen","Melezitose",3,0.864
"Lichen","Methyl-?-D-glucoside",3,0.854
"Lichen","Soluble Starch",2,0.9
"Lichen","Cellobiose",3,0.74
"Lichen","Salicin",2,0.627
"Lichen","L-Sorbose",4,0.857
"Lichen","L-Rhamnose",3,0.958
"Lichen","D-Xylose",4,0.886
"Lichen","L-Arabinose",4,0.974
"Lichen","D-Arabinose",3,0.922
"Lichen","D-Ribose",3,0.852
"Lichen","Methanol",1,0.921
"Lichen","Ethanol",5,1
"Lichen","Glycerol",5,1
"Lichen","Erythritol",2,0.896
"Lichen","Ribitol",5,1
"Lichen","Galactitol",3,0.969
"Lichen","D-Mannitol",4,0.763
"Lichen","D-Glucitol",5,1
"Lichen","myo-Inositol",0,0.89
"Lichen","DL-Lactate",0,0.35
"Lichen","Succinate",5,1
"Lichen","Citrate",3,0.67
"Lichen","D-Gluconate",4,0.903
"Lichen","D-Glucosamine",2,0.816
"Lichen","Nitrate",1,0.824
"Lichen","Vitamin-free",0,0.669
"Lichen","2-Keto-D-gluconate",4,0.957
"Lichen","Starch formation",1,0.849
"Lichen","Growth at 19°C",5,1
"Lichen","Growth at 25°C",5,1
"Lichen","Growth at 30°C",5,1
"Lichen","Growth at 37°C",1,0.564
"Pollen","Glucose_F",7,1
"Pollen","Galactose_F",2,0.73
"Pollen","Sucrose_F",4,0.939
"Pollen","Maltose_F",5,0.981
"Pollen","Lactose_F",2,0.98
"Pollen","Raffinose_F",5,0.989
"Pollen","Trehalose_F",4,0.923
"Pollen","Glucose",7,1
"Pollen","Inulin",0,0.742
"Pollen","Sucrose",4,0.67
"Pollen","Raffinose",4,0.904
"Pollen","Melibiose",0,0.769
"Pollen","Galactose",6,0.897
"Pollen","Lactose",0,0.766
"Pollen","Trehalose",3,0.471
"Pollen","Maltose",4,0.757
"Pollen","Melezitose",3,0.715
"Pollen","Methyl-?-D-glucoside",6,0.967
"Pollen","Soluble Starch",2,0.785
"Pollen","Cellobiose",3,0.54
"Pollen","Salicin",3,0.532
"Pollen","L-Sorbose",5,0.871
"Pollen","L-Rhamnose",1,0.694
"Pollen","D-Xylose",3,0.425
"Pollen","L-Arabinose",2,0.706
"Pollen","D-Arabinose",1,0.612
"Pollen","D-Ribose",6,0.976
"Pollen","Methanol",0,0.776
"Pollen","Ethanol",4,0.441
"Pollen","Glycerol",7,1
"Pollen","Erythritol",3,0.842
"Pollen","Ribitol",3,0.545
"Pollen","Galactitol",0,0.811
"Pollen","D-Mannitol",7,1
"Pollen","D-Glucitol",7,1
"Pollen","myo-Inositol",0,0.796
"Pollen","DL-Lactate",0,0.221
"Pollen","Succinate",5,0.575
"Pollen","Citrate",4,0.652
"Pollen","D-Gluconate",4,0.706
"Pollen","D-Glucosamine",1,0.518
"Pollen","Nitrate",2,0.833
"Pollen","Vitamin-free",3,0.894
"Pollen","2-Keto-D-gluconate",4,0.823
"Pollen","Starch formation",0,0.625
"Pollen","Growth at 19°C",7,1
"Pollen","Growth at 25°C",7,1
"Pollen","Growth at 30°C",7,1
"Pollen","Growth at 37°C",3,0.702
"Feces.Dung","Glucose_F",23,0.835
"Feces.Dung","Galactose_F",9,0.664
"Feces.Dung","Sucrose_F",9,0.771
"Feces.Dung","Maltose_F",6,0.632
"Feces.Dung","Lactose_F",0,0.726
"Feces.Dung","Raffinose_F",5,0.746
"Feces.Dung","Trehalose_F",8,0.62
"Feces.Dung","Glucose",29,1
"Feces.Dung","Inulin",3,0.675
"Feces.Dung","Sucrose",12,0.32
"Feces.Dung","Raffinose",5,0.431
"Feces.Dung","Melibiose",0,0.424
"Feces.Dung","Galactose",14,0.371
"Feces.Dung","Lactose",3,0.689
"Feces.Dung","Trehalose",20,0.706
"Feces.Dung","Maltose",13,0.488
"Feces.Dung","Melezitose",10,0.494
"Feces.Dung","Methyl-?-D-glucoside",11,0.576
"Feces.Dung","Soluble Starch",7,0.656
"Feces.Dung","Cellobiose",14,0.457
"Feces.Dung","Salicin",15,0.532
"Feces.Dung","L-Sorbose",13,0.516
"Feces.Dung","L-Rhamnose",10,0.869
"Feces.Dung","D-Xylose",18,0.61
"Feces.Dung","L-Arabinose",9,0.642
"Feces.Dung","D-Arabinose",6,0.505
"Feces.Dung","D-Ribose",9,0.478
"Feces.Dung","Methanol",2,0.662
"Feces.Dung","Ethanol",28,0.961
"Feces.Dung","Glycerol",24,0.734
"Feces.Dung","Erythritol",6,0.631
"Feces.Dung","Ribitol",15,0.574
"Feces.Dung","Galactitol",2,0.596
"Feces.Dung","D-Mannitol",19,0.492
"Feces.Dung","D-Glucitol",19,0.517
"Feces.Dung","myo-Inositol",0,0.517
"Feces.Dung","DL-Lactate",17,0.869
"Feces.Dung","Succinate",25,0.876
"Feces.Dung","Citrate",16,0.611
"Feces.Dung","D-Gluconate",17,0.782
"Feces.Dung","D-Glucosamine",13,0.818
"Feces.Dung","Nitrate",5,0.631
"Feces.Dung","Vitamin-free",8,0.834
"Feces.Dung","2-Keto-D-gluconate",14,0.802
"Feces.Dung","Starch formation",0,0.219
"Feces.Dung","Growth at 19°C",25,0.571
"Feces.Dung","Growth at 25°C",27,0.649
"Feces.Dung","Growth at 30°C",27,0.865
"Feces.Dung","Growth at 37°C",20,0.971
"Pine","Glucose_F",23,0.162
"Pine","Galactose_F",13,0.441
"Pine","Sucrose_F",2,0.053
"Pine","Maltose_F",3,0.175
"Pine","Lactose_F",0,0.578
"Pine","Raffinose_F",1,0.122
"Pine","Trehalose_F",16,0.684
"Pine","Glucose",38,1
"Pine","Inulin",0,0.148
"Pine","Sucrose",18,0.125
"Pine","Raffinose",10,0.319
"Pine","Melibiose",9,0.825
"Pine","Galactose",25,0.383
"Pine","Lactose",13,0.942
"Pine","Trehalose",32,0.81
"Pine","Maltose",21,0.361
"Pine","Melezitose",17,0.397
"Pine","Methyl-?-D-glucoside",21,0.599
"Pine","Soluble Starch",10,0.554
"Pine","Cellobiose",29,0.74
"Pine","Salicin",29,0.774
"Pine","L-Sorbose",19,0.318
"Pine","L-Rhamnose",17,0.889
"Pine","D-Xylose",36,0.958
"Pine","L-Arabinose",27,0.982
"Pine","D-Arabinose",24,0.973
"Pine","D-Ribose",23,0.842
"Pine","Methanol",8,0.886
"Pine","Ethanol",36,0.886
"Pine","Glycerol",34,0.527
"Pine","Erythritol",18,0.899
"Pine","Ribitol",29,0.76
"Pine","Galactitol",6,0.675
"Pine","D-Mannitol",36,0.94
"Pine","D-Glucitol",37,0.938
"Pine","myo-Inositol",7,0.838
"Pine","DL-Lactate",15,0.203
"Pine","Succinate",34,0.714
"Pine","Citrate",26,0.503
"Pine","D-Gluconate",30,0.918
"Pine","D-Glucosamine",20,0.757
"Pine","Nitrate",13,0.805
"Pine","Vitamin-free",7,0.387
"Pine","2-Keto-D-gluconate",22,0.738
"Pine","Starch formation",2,0.263
"Pine","Growth at 19°C",37,0.498
"Pine","Growth at 25°C",37,0.522
"Pine","Growth at 30°C",35,0.741
"Pine","Growth at 37°C",19,0.592
"Bromeliad","Glucose_F",2,1
"Bromeliad","Galactose_F",0,0.767
"Bromeliad","Sucrose_F",0,0.823
"Bromeliad","Maltose_F",2,1
"Bromeliad","Lactose_F",1,0.991
"Bromeliad","Raffinose_F",1,0.958
"Bromeliad","Trehalose_F",0,0.795
