"Isolation","Trait_A","Trait_B","Mean_PP","SD_PP","Var_PP"
"Pathogenic","Sucrose_F","Glucose",NA,5.67561161161161,NA
"Pathogenic","Sucrose_F","Inulin",NA,2.67071471471471,NA
"Pathogenic","Sucrose_F","Sucrose",NA,4.95371771771772,NA
"Pathogenic","Sucrose_F","Raffinose",NA,4.97385285285285,NA
"Pathogenic","Sucrose_F","Melibiose",NA,2.28616516516517,NA
"Pathogenic","Sucrose_F","Galactose",NA,5.56594094094094,NA
"Pathogenic","Sucrose_F","Lactose",NA,1.90045145145145,NA
"Pathogenic","Sucrose_F","Trehalose",NA,5.26335935935936,NA
"Pathogenic","Sucrose_F","Maltose",NA,5.15364964964965,NA
"Pathogenic","Sucrose_F","Melezitose",NA,4.75362962962963,NA
"Pathogenic","Sucrose_F","Methyl-?-D-glucoside",NA,4.57684784784785,NA
"Pathogenic","Sucrose_F","Soluble Starch",NA,3.84778378378378,NA
"Pathogenic","Sucrose_F","Cellobiose",NA,5.54233333333333,NA
"Pathogenic","Sucrose_F","Salicin",NA,5.39501101101101,NA
"Pathogenic","Sucrose_F","L-Sorbose",NA,5.18821221221221,NA
"Pathogenic","Sucrose_F","L-Rhamnose",NA,3.86885985985986,NA
"Pathogenic","Sucrose_F","D-Xylose",NA,4.98043643643644,NA
"Pathogenic","Sucrose_F","L-Arabinose",NA,4.74982882882883,NA
"Pathogenic","Sucrose_F","D-Arabinose",NA,3.75947047047047,NA
"Pathogenic","Sucrose_F","D-Ribose",NA,4.97007007007007,NA
"Pathogenic","Sucrose_F","Methanol",NA,1.69143543543544,NA
"Pathogenic","Sucrose_F","Ethanol",NA,5.59120720720721,NA
"Pathogenic","Sucrose_F","Glycerol",NA,5.80827927927928,NA
"Pathogenic","Sucrose_F","Erythritol",NA,3.91119019019019,NA
"Pathogenic","Sucrose_F","Ribitol",NA,5.27404904904905,NA
"Pathogenic","Sucrose_F","Galactitol",NA,2.41857757757758,NA
"Pathogenic","Sucrose_F","D-Mannitol",NA,5.35118218218218,NA
"Pathogenic","Sucrose_F","D-Glucitol",NA,5.28944044044044,NA
"Pathogenic","Sucrose_F","myo-Inositol",NA,1.43103103103103,NA
"Pathogenic","Sucrose_F","DL-Lactate",NA,5.50181281281281,NA
"Pathogenic","Sucrose_F","Succinate",NA,5.63645245245245,NA
"Pathogenic","Sucrose_F","Citrate",NA,5.28275375375375,NA
"Pathogenic","Sucrose_F","D-Gluconate",NA,5.91070670670671,NA
"Pathogenic","Sucrose_F","D-Glucosamine",NA,4.45301201201201,NA
"Pathogenic","Sucrose_F","Nitrate",NA,3.45756856856857,NA
"Pathogenic","Sucrose_F","Vitamin-free",NA,3.9228978978979,NA
"Pathogenic","Sucrose_F","2-Keto-D-gluconate",NA,5.76460860860861,NA
"Pathogenic","Sucrose_F","Starch formation",NA,2.65537137137137,NA
"Pathogenic","Sucrose_F","Growth at 19°C",NA,5.67074174174174,NA
"Pathogenic","Sucrose_F","Growth at 25°C",NA,5.70189289289289,NA
"Pathogenic","Sucrose_F","Growth at 30°C",NA,5.90187687687688,NA
"Pathogenic","Sucrose_F","Growth at 37°C",NA,5.84231331331331,NA
"Pathogenic","Maltose_F","Lactose_F",NA,0.652056056056056,NA
"Pathogenic","Maltose_F","Raffinose_F",NA,2.63334934934935,NA
"Pathogenic","Maltose_F","Trehalose_F",NA,3.50653053053053,NA
"Pathogenic","Maltose_F","Glucose",NA,4.54637037037037,NA
"Pathogenic","Maltose_F","Inulin",NA,2.21061061061061,NA
"Pathogenic","Maltose_F","Sucrose",NA,4.16709109109109,NA
"Pathogenic","Maltose_F","Raffinose",NA,3.45184284284284,NA
"Pathogenic","Maltose_F","Melibiose",NA,2.04331931931932,NA
"Pathogenic","Maltose_F","Galactose",NA,4.22466366366366,NA
"Pathogenic","Maltose_F","Lactose",NA,1.77699299299299,NA
"Pathogenic","Maltose_F","Trehalose",NA,4.16679079079079,NA
"Pathogenic","Maltose_F","Maltose",NA,4.14892392392392,NA
"Pathogenic","Maltose_F","Melezitose",NA,3.93191591591592,NA
"Pathogenic","Maltose_F","Methyl-?-D-glucoside",NA,3.97272372372372,NA
"Pathogenic","Maltose_F","Soluble Starch",NA,3.51654054054054,NA
"Pathogenic","Maltose_F","Cellobiose",NA,4.61576676676677,NA
"Pathogenic","Maltose_F","Salicin",NA,4.52854454454454,NA
"Pathogenic","Maltose_F","L-Sorbose",NA,4.11266866866867,NA
"Pathogenic","Maltose_F","L-Rhamnose",NA,2.81278778778779,NA
"Pathogenic","Maltose_F","D-Xylose",NA,4.41438938938939,NA
"Pathogenic","Maltose_F","L-Arabinose",NA,3.83636036036036,NA
"Pathogenic","Maltose_F","D-Arabinose",NA,3.37868968968969,NA
"Pathogenic","Maltose_F","D-Ribose",NA,3.91077477477477,NA
"Pathogenic","Maltose_F","Methanol",NA,1.23132732732733,NA
"Pathogenic","Maltose_F","Ethanol",NA,4.54004004004004,NA
"Pathogenic","Maltose_F","Glycerol",NA,4.60015115115115,NA
"Pathogenic","Maltose_F","Erythritol",NA,3.18365465465465,NA
"Pathogenic","Maltose_F","Ribitol",NA,4.0056016016016,NA
"Pathogenic","Maltose_F","Galactitol",NA,1.93983983983984,NA
"Pathogenic","Maltose_F","D-Mannitol",NA,4.3212972972973,NA
"Pathogenic","Maltose_F","D-Glucitol",NA,4.39858958958959,NA
"Pathogenic","Maltose_F","myo-Inositol",NA,1.24584984984985,NA
"Pathogenic","Maltose_F","DL-Lactate",NA,4.36391491491491,NA
"Pathogenic","Maltose_F","Succinate",NA,4.52132032032032,NA
"Pathogenic","Maltose_F","Citrate",NA,4.33109509509509,NA
"Pathogenic","Maltose_F","D-Gluconate",NA,4.48102502502503,NA
"Pathogenic","Maltose_F","D-Glucosamine",NA,4.01178678678679,NA
"Pathogenic","Maltose_F","Nitrate",NA,2.53158758758759,NA
"Pathogenic","Maltose_F","Vitamin-free",NA,3.00592992992993,NA
"Pathogenic","Maltose_F","2-Keto-D-gluconate",NA,4.3060970970971,NA
"Pathogenic","Maltose_F","Starch formation",NA,1.98611011011011,NA
"Pathogenic","Maltose_F","Growth at 19°C",NA,4.54699099099099,NA
"Pathogenic","Maltose_F","Growth at 25°C",NA,4.58345945945946,NA
"Pathogenic","Maltose_F","Growth at 30°C",NA,4.89378978978979,NA
"Pathogenic","Maltose_F","Growth at 37°C",NA,4.45555555555556,NA
"Pathogenic","Lactose_F","Raffinose_F",NA,0.568004004004004,NA
"Pathogenic","Lactose_F","Trehalose_F",NA,0.706737737737738,NA
"Pathogenic","Lactose_F","Glucose",NA,1.26904404404404,NA
"Pathogenic","Lactose_F","Inulin",NA,0.328303303303303,NA
"Pathogenic","Lactose_F","Sucrose",NA,1.04687087087087,NA
"Pathogenic","Lactose_F","Raffinose",NA,0.785489489489489,NA
"Pathogenic","Lactose_F","Melibiose",NA,0.463087087087087,NA
"Pathogenic","Lactose_F","Galactose",NA,1.03606006006006,NA
"Pathogenic","Lactose_F","Lactose",NA,0.436436436436436,NA
"Pathogenic","Lactose_F","Trehalose",NA,1.06802402402402,NA
"Pathogenic","Lactose_F","Maltose",NA,0.946382382382382,NA
"Pathogenic","Lactose_F","Melezitose",NA,0.932907907907908,NA
"Pathogenic","Lactose_F","Methyl-?-D-glucoside",NA,0.929704704704705,NA
"Pathogenic","Lactose_F","Soluble Starch",NA,0.713109109109109,NA
"Pathogenic","Lactose_F","Cellobiose",NA,1.01700800800801,NA
"Pathogenic","Lactose_F","Salicin",NA,1.02690590590591,NA
"Pathogenic","Lactose_F","L-Sorbose",NA,0.908312312312312,NA
"Pathogenic","Lactose_F","L-Rhamnose",NA,0.628128128128128,NA
"Pathogenic","Lactose_F","D-Xylose",NA,1.16247347347347,NA
"Pathogenic","Lactose_F","L-Arabinose",NA,0.889833833833834,NA
"Pathogenic","Lactose_F","D-Arabinose",NA,0.740224224224224,NA
"Pathogenic","Lactose_F","D-Ribose",NA,0.888247247247247,NA
"Pathogenic","Lactose_F","Methanol",NA,0.142341341341341,NA
"Pathogenic","Lactose_F","Ethanol",NA,1.18109209209209,NA
"Pathogenic","Lactose_F","Glycerol",NA,1.20791891891892,NA
"Pathogenic","Lactose_F","Erythritol",NA,0.616591591591592,NA
"Pathogenic","Lactose_F","Ribitol",NA,1.00377877877878,NA
"Pathogenic","Lactose_F","Galactitol",NA,0.426497497497497,NA
"Pathogenic","Lactose_F","D-Mannitol",NA,1.15321721721722,NA
"Pathogenic","Lactose_F","D-Glucitol",NA,1.1931041041041,NA
"Pathogenic","Lactose_F","myo-Inositol",NA,0.234233233233233,NA
"Pathogenic","Lactose_F","DL-Lactate",NA,0.848448448448448,NA
"Pathogenic","Lactose_F","Succinate",NA,1.25820920920921,NA
"Pathogenic","Lactose_F","Citrate",NA,1.06143643643644,NA
"Pathogenic","Lactose_F","D-Gluconate",NA,1.02249349349349,NA
"Pathogenic","Lactose_F","D-Glucosamine",NA,0.818722722722723,NA
"Pathogenic","Lactose_F","Nitrate",NA,0.352471471471471,NA
"Pathogenic","Lactose_F","Vitamin-free",NA,0.486245245245245,NA
"Pathogenic","Lactose_F","2-Keto-D-gluconate",NA,0.856295295295295,NA
"Pathogenic","Lactose_F","Starch formation",NA,0.184375375375375,NA
"Pathogenic","Lactose_F","Growth at 19°C",NA,1.24891991991992,NA
"Pathogenic","Lactose_F","Growth at 25°C",NA,1.2637027027027,NA
"Pathogenic","Lactose_F","Growth at 30°C",NA,1.21481481481481,NA
"Pathogenic","Lactose_F","Growth at 37°C",NA,1.04744344344344,NA
"Pathogenic","Raffinose_F","Trehalose_F",NA,2.85807407407407,NA
"Pathogenic","Raffinose_F","Glucose",NA,4.58344744744745,NA
"Pathogenic","Raffinose_F","Inulin",NA,2.34932432432432,NA
"Pathogenic","Raffinose_F","Sucrose",NA,4.08308708708709,NA
"Pathogenic","Raffinose_F","Raffinose",NA,3.53493893893894,NA
"Pathogenic","Raffinose_F","Melibiose",NA,1.73373373373373,NA
"Pathogenic","Raffinose_F","Galactose",NA,4.29679279279279,NA
"Pathogenic","Raffinose_F","Lactose",NA,1.64734334334334,NA
"Pathogenic","Raffinose_F","Trehalose",NA,4.15175175175175,NA
"Pathogenic","Raffinose_F","Maltose",NA,3.88792692692693,NA
"Pathogenic","Raffinose_F","Melezitose",NA,3.78922822822823,NA
"Pathogenic","Raffinose_F","Methyl-?-D-glucoside",NA,4.08771871871872,NA
"Pathogenic","Raffinose_F","Soluble Starch",NA,2.85877477477477,NA
"Pathogenic","Raffinose_F","Cellobiose",NA,3.98512112112112,NA
"Pathogenic","Raffinose_F","Salicin",NA,3.96492392392392,NA
"Pathogenic","Raffinose_F","L-Sorbose",NA,4.00910910910911,NA
"Pathogenic","Raffinose_F","L-Rhamnose",NA,2.72476376376376,NA
"Pathogenic","Raffinose_F","D-Xylose",NA,4.06453553553554,NA
"Pathogenic","Raffinose_F","L-Arabinose",NA,3.37497497497497,NA
"Pathogenic","Raffinose_F","D-Arabinose",NA,3.07923823823824,NA
"Pathogenic","Raffinose_F","D-Ribose",NA,3.63955055055055,NA
"Pathogenic","Raffinose_F","Methanol",NA,1.30405505505506,NA
"Pathogenic","Raffinose_F","Ethanol",NA,4.32820720720721,NA
"Pathogenic","Raffinose_F","Glycerol",NA,4.45233133133133,NA
"Pathogenic","Raffinose_F","Erythritol",NA,2.90914514514515,NA
"Pathogenic","Raffinose_F","Ribitol",NA,3.92444344344344,NA
"Pathogenic","Raffinose_F","Galactitol",NA,2.01991991991992,NA
"Pathogenic","Raffinose_F","D-Mannitol",NA,4.21464564564565,NA
"Pathogenic","Raffinose_F","D-Glucitol",NA,4.27034134134134,NA
"Pathogenic","Raffinose_F","myo-Inositol",NA,1.18122022022022,NA
"Pathogenic","Raffinose_F","DL-Lactate",NA,4.47282382382382,NA
"Pathogenic","Raffinose_F","Succinate",NA,4.47887887887888,NA
"Pathogenic","Raffinose_F","Citrate",NA,4.52012012012012,NA
"Pathogenic","Raffinose_F","D-Gluconate",NA,4.18606506506507,NA
"Pathogenic","Raffinose_F","D-Glucosamine",NA,3.34325925925926,NA
"Pathogenic","Raffinose_F","Nitrate",NA,2.75928328328328,NA
"Pathogenic","Raffinose_F","Vitamin-free",NA,2.91667267267267,NA
"Pathogenic","Raffinose_F","2-Keto-D-gluconate",NA,4.06580980980981,NA
"Pathogenic","Raffinose_F","Starch formation",NA,1.86278178178178,NA
"Pathogenic","Raffinose_F","Growth at 19°C",NA,4.5984984984985,NA
"Pathogenic","Raffinose_F","Growth at 25°C",NA,4.61244344344344,NA
"Pathogenic","Raffinose_F","Growth at 30°C",NA,4.44705105105105,NA
"Pathogenic","Raffinose_F","Growth at 37°C",NA,4.68548448448448,NA
"Pathogenic","Trehalose_F","Glucose",NA,6.44647747747748,NA
"Pathogenic","Trehalose_F","Inulin",NA,2.43881381381381,NA
"Pathogenic","Trehalose_F","Sucrose",NA,5.50065165165165,NA
"Pathogenic","Trehalose_F","Raffinose",NA,4.33133033033033,NA
"Pathogenic","Trehalose_F","Melibiose",NA,2.32904504504504,NA
"Pathogenic","Trehalose_F","Galactose",NA,5.43340840840841,NA
"Pathogenic","Trehalose_F","Lactose",NA,2.34645745745746,NA
"Pathogenic","Trehalose_F","Trehalose",NA,5.94146046046046,NA
"Pathogenic","Trehalose_F","Maltose",NA,5.40751851851852,NA
"Pathogenic","Trehalose_F","Melezitose",NA,5.2938978978979,NA
"Pathogenic","Trehalose_F","Methyl-?-D-glucoside",NA,4.75717317317317,NA
"Pathogenic","Trehalose_F","Soluble Starch",NA,4.15903003003003,NA
"Pathogenic","Trehalose_F","Cellobiose",NA,5.43841341341341,NA
"Pathogenic","Trehalose_F","Salicin",NA,5.45322822822823,NA
"Pathogenic","Trehalose_F","L-Sorbose",NA,5.1987987987988,NA
"Pathogenic","Trehalose_F","L-Rhamnose",NA,3.8233023023023,NA
"Pathogenic","Trehalose_F","D-Xylose",NA,5.51838238238238,NA
"Pathogenic","Trehalose_F","L-Arabinose",NA,5.20023123123123,NA
"Pathogenic","Trehalose_F","D-Arabinose",NA,3.61551551551552,NA
"Pathogenic","Trehalose_F","D-Ribose",NA,4.84862362362362,NA
"Pathogenic","Trehalose_F","Methanol",NA,1.85693593593594,NA
"Pathogenic","Trehalose_F","Ethanol",NA,6.25422922922923,NA
"Pathogenic","Trehalose_F","Glycerol",NA,6.47237237237237,NA
"Pathogenic","Trehalose_F","Erythritol",NA,4.58341441441441,NA
"Pathogenic","Trehalose_F","Ribitol",NA,5.61258758758759,NA
"Pathogenic","Trehalose_F","Galactitol",NA,2.45700800800801,NA
"Pathogenic","Trehalose_F","D-Mannitol",NA,5.57867867867868,NA
"Pathogenic","Trehalose_F","D-Glucitol",NA,5.42702602602603,NA
"Pathogenic","Trehalose_F","myo-Inositol",NA,1.70657757757758,NA
"Pathogenic","Trehalose_F","DL-Lactate",NA,6.161005005005,NA
"Pathogenic","Trehalose_F","Succinate",NA,5.78109209209209,NA
"Pathogenic","Trehalose_F","Citrate",NA,5.61584684684685,NA
"Pathogenic","Trehalose_F","D-Gluconate",NA,6.66262662662663,NA
"Pathogenic","Trehalose_F","D-Glucosamine",NA,4.41218718718719,NA
"Pathogenic","Trehalose_F","Nitrate",NA,3.31703603603604,NA
"Pathogenic","Trehalose_F","Vitamin-free",NA,4.19786186186186,NA
"Pathogenic","Trehalose_F","2-Keto-D-gluconate",NA,5.40977377377377,NA
"Pathogenic","Trehalose_F","Starch formation",NA,2.57167567567568,NA
"Pathogenic","Trehalose_F","Growth at 19°C",NA,6.35179079079079,NA
"Pathogenic","Trehalose_F","Growth at 25°C",NA,6.4438998998999,NA
"Pathogenic","Trehalose_F","Growth at 30°C",NA,6.63382982982983,NA
"Pathogenic","Trehalose_F","Growth at 37°C",NA,6.52319419419419,NA
"Pathogenic","Glucose","Inulin",NA,4.16265865865866,NA
"Pathogenic","Glucose","Sucrose",NA,6.24284184184184,NA
"Pathogenic","Glucose","Raffinose",NA,6.08312212212212,NA
"Pathogenic","Glucose","Melibiose",NA,3.24426826826827,NA
"Pathogenic","Glucose","Galactose",NA,6.33296896896897,NA
"Pathogenic","Glucose","Lactose",NA,2.87178278278278,NA
"Pathogenic","Glucose","Trehalose",NA,5.53673273273273,NA
"Pathogenic","Glucose","Maltose",NA,5.64275875875876,NA
"Pathogenic","Glucose","Melezitose",NA,5.57463063063063,NA
"Pathogenic","Glucose","Methyl-?-D-glucoside",NA,5.35915815815816,NA
"Pathogenic","Glucose","Soluble Starch",NA,5.4284044044044,NA
"Pathogenic","Glucose","Cellobiose",NA,7.30584984984985,NA
"Pathogenic","Glucose","Salicin",NA,6.86964464464464,NA
"Pathogenic","Glucose","L-Sorbose",NA,7.72737137137137,NA
"Pathogenic","Glucose","L-Rhamnose",NA,5.47144644644645,NA
"Pathogenic","Glucose","D-Xylose",NA,5.07084584584585,NA
"Pathogenic","Glucose","L-Arabinose",NA,5.61597997997998,NA
"Pathogenic","Glucose","D-Arabinose",NA,5.87971071071071,NA
"Pathogenic","Glucose","D-Ribose",NA,5.72408308308308,NA
"Pathogenic","Glucose","Methanol",NA,3.30852452452452,NA
"Pathogenic","Glucose","Ethanol",NA,3.74542142142142,NA
"Pathogenic","Glucose","Glycerol",NA,2.4942982982983,NA
"Pathogenic","Glucose","Erythritol",NA,5.76054454454454,NA
"Pathogenic","Glucose","Ribitol",NA,5.78251851851852,NA
"Pathogenic","Glucose","Galactitol",NA,2.97253653653654,NA
"Pathogenic","Glucose","D-Mannitol",NA,3.85525425425425,NA
"Pathogenic","Glucose","D-Glucitol",NA,3.8292042042042,NA
"Pathogenic","Glucose","myo-Inositol",NA,2.56694194194194,NA
"Pathogenic","Glucose","DL-Lactate",NA,10.2265375375375,NA
"Pathogenic","Glucose","Succinate",NA,3.47337337337337,NA
"Pathogenic","Glucose","Citrate",NA,6.42384784784785,NA
"Pathogenic","Glucose","D-Gluconate",NA,7.57973873873874,NA
"Pathogenic","Glucose","D-Glucosamine",NA,7.02581681681682,NA
"Pathogenic","Glucose","Nitrate",NA,5.51061061061061,NA
"Pathogenic","Glucose","Vitamin-free",NA,6.92950550550551,NA
"Pathogenic","Glucose","2-Keto-D-gluconate",NA,7.86423923923924,NA
"Pathogenic","Glucose","Starch formation",NA,5.86315915915916,NA
"Pathogenic","Glucose","Growth at 19°C",NA,0.479254254254254,NA
"Pathogenic","Glucose","Growth at 25°C",NA,0.277876876876877,NA
"Pathogenic","Glucose","Growth at 30°C",NA,3.30097997997998,NA
"Pathogenic","Glucose","Growth at 37°C",NA,10.55898998999,NA
"Pathogenic","Inulin","Sucrose",NA,3.40538038038038,NA
"Pathogenic","Inulin","Raffinose",NA,2.96658258258258,NA
"Pathogenic","Inulin","Melibiose",NA,1.50301401401401,NA
"Pathogenic","Inulin","Galactose",NA,3.49747247247247,NA
"Pathogenic","Inulin","Lactose",NA,1.37010610610611,NA
"Pathogenic","Inulin","Trehalose",NA,3.72359459459459,NA
"Pathogenic","Inulin","Maltose",NA,3.43239139139139,NA
"Pathogenic","Inulin","Melezitose",NA,3.26566566566567,NA
"Pathogenic","Inulin","Methyl-?-D-glucoside",NA,3.27887887887888,NA
"Pathogenic","Inulin","Soluble Starch",NA,2.30801901901902,NA
"Pathogenic","Inulin","Cellobiose",NA,3.4615005005005,NA
"Pathogenic","Inulin","Salicin",NA,3.46896896896897,NA
"Pathogenic","Inulin","L-Sorbose",NA,3.10580980980981,NA
"Pathogenic","Inulin","L-Rhamnose",NA,1.98988988988989,NA
"Pathogenic","Inulin","D-Xylose",NA,3.76783183183183,NA
"Pathogenic","Inulin","L-Arabinose",NA,3.03974374374374,NA
"Pathogenic","Inulin","D-Arabinose",NA,2.47498598598599,NA
"Pathogenic","Inulin","D-Ribose",NA,3.15132732732733,NA
"Pathogenic","Inulin","Methanol",NA,0.729248248248248,NA
"Pathogenic","Inulin","Ethanol",NA,3.84700600600601,NA
"Pathogenic","Inulin","Glycerol",NA,4.09603203203203,NA
"Pathogenic","Inulin","Erythritol",NA,2.39232832832833,NA
"Pathogenic","Inulin","Ribitol",NA,3.51139039039039,NA
"Pathogenic","Inulin","Galactitol",NA,1.67243143143143,NA
"Pathogenic","Inulin","D-Mannitol",NA,3.82742742742743,NA
"Pathogenic","Inulin","D-Glucitol",NA,3.97477077077077,NA
"Pathogenic","Inulin","myo-Inositol",NA,0.947411411411411,NA
"Pathogenic","Inulin","DL-Lactate",NA,3.28388788788789,NA
"Pathogenic","Inulin","Succinate",NA,3.98765165165165,NA
