"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN"
"Contaminated","Galactose_F","Trehalose",0,0.987
"Contaminated","Galactose_F","Maltose",0,0.976
"Contaminated","Galactose_F","Soluble Starch",0,0.947
"Contaminated","Galactose_F","Cellobiose",0,0.984
"Contaminated","Galactose_F","Salicin",0,0.977
"Contaminated","Galactose_F","D-Xylose",0,0.987
"Contaminated","Galactose_F","D-Arabinose",0,0.949
"Contaminated","Galactose_F","Ethanol",0,0.995
"Contaminated","Galactose_F","Ribitol",0,0.977
"Contaminated","Galactose_F","D-Mannitol",0,0.996
"Contaminated","Galactose_F","D-Glucitol",0,0.983
"Contaminated","Galactose_F","DL-Lactate",0,0.96
"Contaminated","Galactose_F","Succinate",0,0.991
"Contaminated","Galactose_F","D-Glucosamine",0,0.962
"Contaminated","Galactose_F","Growth at 19°C",0,1
"Contaminated","Galactose_F","Growth at 25°C",0,0.999
"Contaminated","Galactose_F","Growth at 30°C",0,0.993
"Contaminated","Trehalose_F","Glucose",0,1
"Contaminated","Trehalose_F","Galactose",0,0.978
"Contaminated","Trehalose_F","Trehalose",0,0.985
"Contaminated","Trehalose_F","Maltose",0,0.97
"Contaminated","Trehalose_F","Soluble Starch",0,0.946
"Contaminated","Trehalose_F","Cellobiose",0,0.983
"Contaminated","Trehalose_F","Salicin",0,0.979
"Contaminated","Trehalose_F","D-Xylose",0,0.985
"Contaminated","Trehalose_F","D-Arabinose",0,0.948
"Contaminated","Trehalose_F","Ethanol",0,0.989
"Contaminated","Trehalose_F","Ribitol",0,0.969
"Contaminated","Trehalose_F","D-Mannitol",0,0.993
"Contaminated","Trehalose_F","D-Glucitol",0,0.989
"Contaminated","Trehalose_F","DL-Lactate",0,0.956
"Contaminated","Trehalose_F","Succinate",0,0.996
"Contaminated","Trehalose_F","D-Glucosamine",0,0.951
"Contaminated","Trehalose_F","Growth at 19°C",0,1
"Contaminated","Trehalose_F","Growth at 25°C",0,0.999
"Contaminated","Trehalose_F","Growth at 30°C",0,0.995
"Contaminated","Glucose","Galactose",0,1
"Contaminated","Glucose","Trehalose",0,1
"Contaminated","Glucose","Maltose",0,1
"Contaminated","Glucose","Soluble Starch",0,1
"Contaminated","Glucose","Cellobiose",0,1
"Contaminated","Glucose","Salicin",0,1
"Contaminated","Glucose","D-Xylose",0,1
"Contaminated","Glucose","D-Arabinose",0,1
"Contaminated","Glucose","Ethanol",0,1
"Contaminated","Glucose","Ribitol",0,1
"Contaminated","Glucose","D-Mannitol",0,1
"Contaminated","Glucose","D-Glucitol",0,1
"Contaminated","Glucose","DL-Lactate",0,1
"Contaminated","Glucose","Succinate",0,1
"Contaminated","Glucose","D-Glucosamine",0,1
"Contaminated","Glucose","Growth at 19°C",0,1
"Contaminated","Glucose","Growth at 25°C",0,1
"Contaminated","Glucose","Growth at 30°C",0,1
"Contaminated","Galactose","Trehalose",0,0.995
"Contaminated","Galactose","Maltose",0,0.993
"Contaminated","Galactose","Soluble Starch",0,0.98
"Contaminated","Galactose","Cellobiose",0,0.996
"Contaminated","Galactose","Salicin",0,0.992
"Contaminated","Galactose","D-Xylose",0,0.996
"Contaminated","Galactose","D-Arabinose",0,0.981
"Contaminated","Galactose","Ethanol",0,0.999
"Contaminated","Galactose","Ribitol",0,0.992
"Contaminated","Galactose","D-Mannitol",0,0.999
"Contaminated","Galactose","D-Glucitol",0,0.997
"Contaminated","Galactose","DL-Lactate",0,0.983
"Contaminated","Galactose","Succinate",0,0.999
"Contaminated","Galactose","D-Glucosamine",0,0.982
"Contaminated","Galactose","Growth at 19°C",0,1
"Contaminated","Galactose","Growth at 25°C",0,1
"Contaminated","Galactose","Growth at 30°C",0,0.998
"Contaminated","Trehalose","Maltose",0,0.995
"Contaminated","Trehalose","Soluble Starch",0,0.988
"Contaminated","Trehalose","Cellobiose",0,0.994
"Contaminated","Trehalose","Salicin",0,0.996
"Contaminated","Trehalose","D-Xylose",0,0.993
"Contaminated","Trehalose","D-Arabinose",0,0.989
"Contaminated","Trehalose","Ethanol",0,0.996
"Contaminated","Trehalose","Ribitol",0,0.989
"Contaminated","Trehalose","D-Mannitol",0,0.995
"Contaminated","Trehalose","D-Glucitol",0,0.995
"Contaminated","Trehalose","DL-Lactate",0,0.988
"Contaminated","Trehalose","Succinate",0,0.997
"Contaminated","Trehalose","D-Glucosamine",0,0.987
"Contaminated","Trehalose","Growth at 19°C",0,1
"Contaminated","Trehalose","Growth at 25°C",0,1
"Contaminated","Trehalose","Growth at 30°C",0,0.999
"Contaminated","Maltose","Soluble Starch",0,0.962
"Contaminated","Maltose","Cellobiose",0,0.987
"Contaminated","Maltose","Salicin",0,0.981
"Contaminated","Maltose","D-Xylose",0,0.99
"Contaminated","Maltose","D-Arabinose",0,0.975
"Contaminated","Maltose","Ethanol",0,0.995
"Contaminated","Maltose","Ribitol",0,0.985
"Contaminated","Maltose","D-Mannitol",0,0.99
"Contaminated","Maltose","D-Glucitol",0,0.992
"Contaminated","Maltose","DL-Lactate",0,0.986
"Contaminated","Maltose","Succinate",0,0.993
"Contaminated","Maltose","D-Glucosamine",0,0.976
"Contaminated","Maltose","Growth at 19°C",0,1
"Contaminated","Maltose","Growth at 25°C",0,1
"Contaminated","Maltose","Growth at 30°C",0,0.998
"Contaminated","Soluble Starch","Cellobiose",0,0.989
"Contaminated","Soluble Starch","Salicin",0,0.984
"Contaminated","Soluble Starch","D-Xylose",0,0.983
"Contaminated","Soluble Starch","D-Arabinose",0,0.941
"Contaminated","Soluble Starch","Ethanol",0,0.99
"Contaminated","Soluble Starch","Ribitol",0,0.964
"Contaminated","Soluble Starch","D-Mannitol",0,0.993
"Contaminated","Soluble Starch","D-Glucitol",0,0.99
"Contaminated","Soluble Starch","DL-Lactate",0,0.964
"Contaminated","Soluble Starch","Succinate",0,0.99
"Contaminated","Soluble Starch","D-Glucosamine",0,0.948
"Contaminated","Soluble Starch","Growth at 19°C",0,1
"Contaminated","Soluble Starch","Growth at 25°C",0,0.999
"Contaminated","Soluble Starch","Growth at 30°C",0,0.994
"Contaminated","Cellobiose","Salicin",0,0.996
"Contaminated","Cellobiose","D-Xylose",0,0.989
"Contaminated","Cellobiose","D-Arabinose",0,0.986
"Contaminated","Cellobiose","Ethanol",0,0.996
"Contaminated","Cellobiose","Ribitol",0,0.987
"Contaminated","Cellobiose","D-Mannitol",0,0.997
"Contaminated","Cellobiose","D-Glucitol",0,0.992
"Contaminated","Cellobiose","DL-Lactate",0,0.986
"Contaminated","Cellobiose","Succinate",0,0.999
"Contaminated","Cellobiose","D-Glucosamine",0,0.988
"Contaminated","Cellobiose","Growth at 19°C",0,1
"Contaminated","Cellobiose","Growth at 25°C",0,1
"Contaminated","Cellobiose","Growth at 30°C",0,0.999
"Contaminated","Salicin","D-Xylose",0,0.995
"Contaminated","Salicin","D-Arabinose",0,0.981
"Contaminated","Salicin","Ethanol",0,1
"Contaminated","Salicin","Ribitol",0,0.988
"Contaminated","Salicin","D-Mannitol",0,0.995
"Contaminated","Salicin","D-Glucitol",0,0.997
"Contaminated","Salicin","DL-Lactate",0,0.982
"Contaminated","Salicin","Succinate",0,0.998
"Contaminated","Salicin","D-Glucosamine",0,0.98
"Contaminated","Salicin","Growth at 19°C",0,1
"Contaminated","Salicin","Growth at 25°C",0,1
"Contaminated","Salicin","Growth at 30°C",0,0.998
"Contaminated","D-Xylose","D-Arabinose",0,0.976
"Contaminated","D-Xylose","Ethanol",0,0.996
"Contaminated","D-Xylose","Ribitol",0,0.992
"Contaminated","D-Xylose","D-Mannitol",0,0.999
"Contaminated","D-Xylose","D-Glucitol",0,0.994
"Contaminated","D-Xylose","DL-Lactate",0,0.985
"Contaminated","D-Xylose","Succinate",0,0.997
"Contaminated","D-Xylose","D-Glucosamine",0,0.988
"Contaminated","D-Xylose","Growth at 19°C",0,1
"Contaminated","D-Xylose","Growth at 25°C",0,1
"Contaminated","D-Xylose","Growth at 30°C",0,1
"Contaminated","D-Arabinose","Ethanol",0,0.994
"Contaminated","D-Arabinose","Ribitol",0,0.971
"Contaminated","D-Arabinose","D-Mannitol",0,0.994
"Contaminated","D-Arabinose","D-Glucitol",0,0.991
"Contaminated","D-Arabinose","DL-Lactate",0,0.971
"Contaminated","D-Arabinose","Succinate",0,0.989
"Contaminated","D-Arabinose","D-Glucosamine",0,0.963
"Contaminated","D-Arabinose","Growth at 19°C",0,1
"Contaminated","D-Arabinose","Growth at 25°C",0,1
"Contaminated","D-Arabinose","Growth at 30°C",0,0.993
"Contaminated","Ethanol","Ribitol",0,0.997
"Contaminated","Ethanol","D-Mannitol",0,1
"Contaminated","Ethanol","D-Glucitol",0,0.999
"Contaminated","Ethanol","DL-Lactate",0,0.991
"Contaminated","Ethanol","Succinate",0,0.998
"Contaminated","Ethanol","D-Glucosamine",0,0.992
"Contaminated","Ethanol","Growth at 19°C",0,1
"Contaminated","Ethanol","Growth at 25°C",0,1
"Contaminated","Ethanol","Growth at 30°C",0,0.999
"Contaminated","Ribitol","D-Mannitol",0,0.994
"Contaminated","Ribitol","D-Glucitol",0,0.992
"Contaminated","Ribitol","DL-Lactate",0,0.987
"Contaminated","Ribitol","Succinate",0,0.997
"Contaminated","Ribitol","D-Glucosamine",0,0.975
"Contaminated","Ribitol","Growth at 19°C",0,1
"Contaminated","Ribitol","Growth at 25°C",0,1
"Contaminated","Ribitol","Growth at 30°C",0,0.995
"Contaminated","D-Mannitol","D-Glucitol",0,0.999
"Contaminated","D-Mannitol","DL-Lactate",0,0.994
"Contaminated","D-Mannitol","Succinate",0,0.998
"Contaminated","D-Mannitol","D-Glucosamine",0,0.998
"Contaminated","D-Mannitol","Growth at 19°C",0,1
"Contaminated","D-Mannitol","Growth at 25°C",0,1
"Contaminated","D-Mannitol","Growth at 30°C",0,0.999
"Contaminated","D-Glucitol","DL-Lactate",0,0.986
"Contaminated","D-Glucitol","Succinate",0,0.999
"Contaminated","D-Glucitol","D-Glucosamine",0,0.992
"Contaminated","D-Glucitol","Growth at 19°C",0,1
"Contaminated","D-Glucitol","Growth at 25°C",0,1
"Contaminated","D-Glucitol","Growth at 30°C",0,0.997
"Contaminated","DL-Lactate","Succinate",0,0.994
"Contaminated","DL-Lactate","D-Glucosamine",0,0.971
"Contaminated","DL-Lactate","Growth at 19°C",0,1
"Contaminated","DL-Lactate","Growth at 25°C",0,1
"Contaminated","DL-Lactate","Growth at 30°C",0,0.994
"Contaminated","Succinate","D-Glucosamine",0,0.995
"Contaminated","Succinate","Growth at 19°C",0,1
"Contaminated","Succinate","Growth at 25°C",0,1
"Contaminated","Succinate","Growth at 30°C",0,0.999
"Contaminated","D-Glucosamine","Growth at 19°C",0,1
"Contaminated","D-Glucosamine","Growth at 25°C",0,0.999
"Contaminated","D-Glucosamine","Growth at 30°C",0,0.998
"Contaminated","Growth at 19°C","Growth at 25°C",0,1
"Contaminated","Growth at 19°C","Growth at 30°C",0,1
"Contaminated","Growth at 25°C","Growth at 30°C",0,1
"Plant.Pathogen","Glucose","Growth at 19°C",0,1
"Animal","Glucose","Growth at 37°C",0,1
"Insect","Glucose","D-Glucitol",9,1
"Tree","Glucose","Nitrate",79,1
"Stone.Chamber","Glucose_F","Galactose_F",0,0.992
"Stone.Chamber","Glucose_F","Glucose",0,1
"Stone.Chamber","Glucose_F","Sucrose",0,0.996
"Stone.Chamber","Glucose_F","Galactose",0,0.997
"Stone.Chamber","Glucose_F","Trehalose",0,0.998
"Stone.Chamber","Glucose_F","Maltose",0,0.998
"Stone.Chamber","Glucose_F","Cellobiose",0,0.998
"Stone.Chamber","Glucose_F","Salicin",0,0.998
"Stone.Chamber","Glucose_F","L-Sorbose",0,0.995
"Stone.Chamber","Glucose_F","D-Xylose",0,0.996
"Stone.Chamber","Glucose_F","L-Arabinose",0,0.993
"Stone.Chamber","Glucose_F","D-Arabinose",0,0.992
"Stone.Chamber","Glucose_F","D-Ribose",0,0.992
"Stone.Chamber","Glucose_F","Ethanol",0,1
"Stone.Chamber","Glucose_F","Glycerol",0,0.999
"Stone.Chamber","Glucose_F","Erythritol",0,0.987
"Stone.Chamber","Glucose_F","Ribitol",0,0.998
"Stone.Chamber","Glucose_F","D-Mannitol",0,1
"Stone.Chamber","Glucose_F","D-Glucitol",0,0.999
"Stone.Chamber","Glucose_F","Succinate",0,0.999
"Stone.Chamber","Glucose_F","Citrate",0,0.996
"Stone.Chamber","Glucose_F","D-Gluconate",0,0.995
"Stone.Chamber","Glucose_F","D-Glucosamine",0,0.992
"Stone.Chamber","Glucose_F","2-Keto-D-gluconate",0,0.994
"Stone.Chamber","Glucose_F","Growth at 19°C",0,1
"Stone.Chamber","Glucose_F","Growth at 25°C",0,1
"Stone.Chamber","Glucose_F","Growth at 30°C",0,1
"Stone.Chamber","Galactose_F","Glucose",0,1
"Stone.Chamber","Galactose_F","Sucrose",0,0.993
"Stone.Chamber","Galactose_F","Galactose",0,0.99
"Stone.Chamber","Galactose_F","Trehalose",0,0.998
"Stone.Chamber","Galactose_F","Maltose",0,0.991
"Stone.Chamber","Galactose_F","Cellobiose",0,0.99
"Stone.Chamber","Galactose_F","Salicin",0,0.996
"Stone.Chamber","Galactose_F","L-Sorbose",0,0.989
"Stone.Chamber","Galactose_F","D-Xylose",0,0.997
"Stone.Chamber","Galactose_F","L-Arabinose",0,0.991
"Stone.Chamber","Galactose_F","D-Arabinose",0,0.975
"Stone.Chamber","Galactose_F","D-Ribose",0,0.983
"Stone.Chamber","Galactose_F","Ethanol",0,0.999
"Stone.Chamber","Galactose_F","Glycerol",0,1
"Stone.Chamber","Galactose_F","Erythritol",0,0.982
"Stone.Chamber","Galactose_F","Ribitol",0,0.993
"Stone.Chamber","Galactose_F","D-Mannitol",0,0.994
"Stone.Chamber","Galactose_F","D-Glucitol",0,0.997
"Stone.Chamber","Galactose_F","Succinate",0,0.995
"Stone.Chamber","Galactose_F","Citrate",0,0.989
"Stone.Chamber","Galactose_F","D-Gluconate",0,0.988
"Stone.Chamber","Galactose_F","D-Glucosamine",0,0.979
"Stone.Chamber","Galactose_F","2-Keto-D-gluconate",0,0.985
"Stone.Chamber","Galactose_F","Growth at 19°C",0,1
"Stone.Chamber","Galactose_F","Growth at 25°C",0,0.998
"Stone.Chamber","Galactose_F","Growth at 30°C",0,0.999
"Stone.Chamber","Glucose","Sucrose",0,1
"Stone.Chamber","Glucose","Galactose",0,1
"Stone.Chamber","Glucose","Trehalose",0,1
"Stone.Chamber","Glucose","Maltose",0,1
"Stone.Chamber","Glucose","Cellobiose",0,1
"Stone.Chamber","Glucose","Salicin",0,1
"Stone.Chamber","Glucose","L-Sorbose",0,1
"Stone.Chamber","Glucose","D-Xylose",0,1
"Stone.Chamber","Glucose","L-Arabinose",0,1
"Stone.Chamber","Glucose","D-Arabinose",0,1
"Stone.Chamber","Glucose","D-Ribose",0,1
"Stone.Chamber","Glucose","Ethanol",0,1
"Stone.Chamber","Glucose","Glycerol",0,1
"Stone.Chamber","Glucose","Erythritol",0,1
"Stone.Chamber","Glucose","Ribitol",0,1
"Stone.Chamber","Glucose","D-Mannitol",0,1
"Stone.Chamber","Glucose","D-Glucitol",0,1
"Stone.Chamber","Glucose","Succinate",0,1
"Stone.Chamber","Glucose","Citrate",0,1
"Stone.Chamber","Glucose","D-Gluconate",0,1
"Stone.Chamber","Glucose","D-Glucosamine",0,1
"Stone.Chamber","Glucose","2-Keto-D-gluconate",0,1
"Stone.Chamber","Glucose","Growth at 19°C",0,1
"Stone.Chamber","Glucose","Growth at 25°C",0,1
"Stone.Chamber","Glucose","Growth at 30°C",0,1
"Stone.Chamber","Sucrose","Galactose",0,0.999
"Stone.Chamber","Sucrose","Trehalose",0,0.998
"Stone.Chamber","Sucrose","Maltose",0,0.998
"Stone.Chamber","Sucrose","Cellobiose",0,0.996
"Stone.Chamber","Sucrose","Salicin",0,0.998
"Stone.Chamber","Sucrose","L-Sorbose",0,0.995
"Stone.Chamber","Sucrose","D-Xylose",0,0.999
"Stone.Chamber","Sucrose","L-Arabinose",0,0.993
"Stone.Chamber","Sucrose","D-Arabinose",0,0.991
"Stone.Chamber","Sucrose","D-Ribose",0,0.989
"Stone.Chamber","Sucrose","Ethanol",0,0.999
"Stone.Chamber","Sucrose","Glycerol",0,0.999
"Stone.Chamber","Sucrose","Erythritol",0,0.994
"Stone.Chamber","Sucrose","Ribitol",0,0.997
"Stone.Chamber","Sucrose","D-Mannitol",0,0.995
"Stone.Chamber","Sucrose","D-Glucitol",0,0.999
"Stone.Chamber","Sucrose","Succinate",0,1
"Stone.Chamber","Sucrose","Citrate",0,0.993
"Stone.Chamber","Sucrose","D-Gluconate",0,0.998
"Stone.Chamber","Sucrose","D-Glucosamine",0,0.995
"Stone.Chamber","Sucrose","2-Keto-D-gluconate",0,0.997
"Stone.Chamber","Sucrose","Growth at 19°C",0,1
"Stone.Chamber","Sucrose","Growth at 25°C",0,1
"Stone.Chamber","Sucrose","Growth at 30°C",0,0.999
"Stone.Chamber","Galactose","Trehalose",0,0.998
"Stone.Chamber","Galactose","Maltose",0,0.999
"Stone.Chamber","Galactose","Cellobiose",0,0.995
"Stone.Chamber","Galactose","Salicin",0,0.993
"Stone.Chamber","Galactose","L-Sorbose",0,0.998
"Stone.Chamber","Galactose","D-Xylose",0,0.995
"Stone.Chamber","Galactose","L-Arabinose",0,0.996
"Stone.Chamber","Galactose","D-Arabinose",0,0.994
"Stone.Chamber","Galactose","D-Ribose",0,0.993
"Stone.Chamber","Galactose","Ethanol",0,0.998
"Stone.Chamber","Galactose","Glycerol",0,1
"Stone.Chamber","Galactose","Erythritol",0,0.991
"Stone.Chamber","Galactose","Ribitol",0,0.995
"Stone.Chamber","Galactose","D-Mannitol",0,0.998
"Stone.Chamber","Galactose","D-Glucitol",0,1
"Stone.Chamber","Galactose","Succinate",0,0.999
"Stone.Chamber","Galactose","Citrate",0,0.996
"Stone.Chamber","Galactose","D-Gluconate",0,0.998
"Stone.Chamber","Galactose","D-Glucosamine",0,0.991
"Stone.Chamber","Galactose","2-Keto-D-gluconate",0,0.997
"Stone.Chamber","Galactose","Growth at 19°C",0,1
"Stone.Chamber","Galactose","Growth at 25°C",0,0.999
"Stone.Chamber","Galactose","Growth at 30°C",0,0.999
"Stone.Chamber","Trehalose","Maltose",0,0.999
"Stone.Chamber","Trehalose","Cellobiose",0,0.999
"Stone.Chamber","Trehalose","Salicin",0,0.998
"Stone.Chamber","Trehalose","L-Sorbose",0,0.996
"Stone.Chamber","Trehalose","D-Xylose",0,1
"Stone.Chamber","Trehalose","L-Arabinose",0,0.995
"Stone.Chamber","Trehalose","D-Arabinose",0,0.998
"Stone.Chamber","Trehalose","D-Ribose",0,0.992
"Stone.Chamber","Trehalose","Ethanol",0,0.999
"Stone.Chamber","Trehalose","Glycerol",0,1
"Stone.Chamber","Trehalose","Erythritol",0,0.994
"Stone.Chamber","Trehalose","Ribitol",0,0.999
"Stone.Chamber","Trehalose","D-Mannitol",0,0.998
"Stone.Chamber","Trehalose","D-Glucitol",0,1
"Stone.Chamber","Trehalose","Succinate",0,1
"Stone.Chamber","Trehalose","Citrate",0,0.996
"Stone.Chamber","Trehalose","D-Gluconate",0,0.998
"Stone.Chamber","Trehalose","D-Glucosamine",0,0.997
"Stone.Chamber","Trehalose","2-Keto-D-gluconate",0,0.998
"Stone.Chamber","Trehalose","Growth at 19°C",0,1
"Stone.Chamber","Trehalose","Growth at 25°C",0,1
"Stone.Chamber","Trehalose","Growth at 30°C",0,1
"Stone.Chamber","Maltose","Cellobiose",0,0.998
"Stone.Chamber","Maltose","Salicin",0,0.997
"Stone.Chamber","Maltose","L-Sorbose",0,0.993
"Stone.Chamber","Maltose","D-Xylose",0,0.997
"Stone.Chamber","Maltose","L-Arabinose",0,0.991
"Stone.Chamber","Maltose","D-Arabinose",0,0.993
"Stone.Chamber","Maltose","D-Ribose",0,0.994
"Stone.Chamber","Maltose","Ethanol",0,0.998
"Stone.Chamber","Maltose","Glycerol",0,1
"Stone.Chamber","Maltose","Erythritol",0,0.99
"Stone.Chamber","Maltose","Ribitol",0,0.995
"Stone.Chamber","Maltose","D-Mannitol",0,1
"Stone.Chamber","Maltose","D-Glucitol",0,0.999
"Stone.Chamber","Maltose","Succinate",0,0.997
"Stone.Chamber","Maltose","Citrate",0,0.993
"Stone.Chamber","Maltose","D-Gluconate",0,0.996
"Stone.Chamber","Maltose","D-Glucosamine",0,0.996
"Stone.Chamber","Maltose","2-Keto-D-gluconate",0,0.992
"Stone.Chamber","Maltose","Growth at 19°C",0,1
"Stone.Chamber","Maltose","Growth at 25°C",0,0.999
"Stone.Chamber","Maltose","Growth at 30°C",0,1
"Stone.Chamber","Cellobiose","Salicin",0,0.996
"Stone.Chamber","Cellobiose","L-Sorbose",0,0.995
"Stone.Chamber","Cellobiose","D-Xylose",0,0.999
"Stone.Chamber","Cellobiose","L-Arabinose",0,0.994
"Stone.Chamber","Cellobiose","D-Arabinose",0,0.992
"Stone.Chamber","Cellobiose","D-Ribose",0,0.989
"Stone.Chamber","Cellobiose","Ethanol",0,0.998
"Stone.Chamber","Cellobiose","Glycerol",0,1
"Stone.Chamber","Cellobiose","Erythritol",0,0.992
"Stone.Chamber","Cellobiose","Ribitol",0,0.998
"Stone.Chamber","Cellobiose","D-Mannitol",0,1
"Stone.Chamber","Cellobiose","D-Glucitol",0,1
"Stone.Chamber","Cellobiose","Succinate",0,0.998
"Stone.Chamber","Cellobiose","Citrate",0,0.997
"Stone.Chamber","Cellobiose","D-Gluconate",0,0.997
"Stone.Chamber","Cellobiose","D-Glucosamine",0,0.993
"Stone.Chamber","Cellobiose","2-Keto-D-gluconate",0,0.996
"Stone.Chamber","Cellobiose","Growth at 19°C",0,1
"Stone.Chamber","Cellobiose","Growth at 25°C",0,1
"Stone.Chamber","Cellobiose","Growth at 30°C",0,0.998
"Stone.Chamber","Salicin","L-Sorbose",0,0.999
"Stone.Chamber","Salicin","D-Xylose",0,0.997
"Stone.Chamber","Salicin","L-Arabinose",0,0.997
"Stone.Chamber","Salicin","D-Arabinose",0,0.995
"Stone.Chamber","Salicin","D-Ribose",0,0.993
"Stone.Chamber","Salicin","Ethanol",0,0.999
"Stone.Chamber","Salicin","Glycerol",0,1
"Stone.Chamber","Salicin","Erythritol",0,0.997
"Stone.Chamber","Salicin","Ribitol",0,0.996
"Stone.Chamber","Salicin","D-Mannitol",0,0.999
"Stone.Chamber","Salicin","D-Glucitol",0,0.999
"Stone.Chamber","Salicin","Succinate",0,1
"Stone.Chamber","Salicin","Citrate",0,0.999
"Stone.Chamber","Salicin","D-Gluconate",0,0.999
"Stone.Chamber","Salicin","D-Glucosamine",0,0.994
"Stone.Chamber","Salicin","2-Keto-D-gluconate",0,0.996
"Stone.Chamber","Salicin","Growth at 19°C",0,1
"Stone.Chamber","Salicin","Growth at 25°C",0,1
"Stone.Chamber","Salicin","Growth at 30°C",0,0.999
"Stone.Chamber","L-Sorbose","D-Xylose",0,0.998
"Stone.Chamber","L-Sorbose","L-Arabinose",0,0.987
"Stone.Chamber","L-Sorbose","D-Arabinose",0,0.991
"Stone.Chamber","L-Sorbose","D-Ribose",0,0.993
"Stone.Chamber","L-Sorbose","Ethanol",0,1
"Stone.Chamber","L-Sorbose","Glycerol",0,1
"Stone.Chamber","L-Sorbose","Erythritol",0,0.992
"Stone.Chamber","L-Sorbose","Ribitol",0,0.997
"Stone.Chamber","L-Sorbose","D-Mannitol",0,0.998
"Stone.Chamber","L-Sorbose","D-Glucitol",0,0.998
"Stone.Chamber","L-Sorbose","Succinate",0,0.998
"Stone.Chamber","L-Sorbose","Citrate",0,0.99
"Stone.Chamber","L-Sorbose","D-Gluconate",0,0.998
"Stone.Chamber","L-Sorbose","D-Glucosamine",0,0.991
"Stone.Chamber","L-Sorbose","2-Keto-D-gluconate",0,0.99
"Stone.Chamber","L-Sorbose","Growth at 19°C",0,1
"Stone.Chamber","L-Sorbose","Growth at 25°C",0,0.999
"Stone.Chamber","L-Sorbose","Growth at 30°C",0,0.999
"Stone.Chamber","D-Xylose","L-Arabinose",0,0.993
"Stone.Chamber","D-Xylose","D-Arabinose",0,0.993
"Stone.Chamber","D-Xylose","D-Ribose",0,0.996
"Stone.Chamber","D-Xylose","Ethanol",0,1
"Stone.Chamber","D-Xylose","Glycerol",0,0.998
"Stone.Chamber","D-Xylose","Erythritol",0,0.993
"Stone.Chamber","D-Xylose","Ribitol",0,0.996
"Stone.Chamber","D-Xylose","D-Mannitol",0,1
"Stone.Chamber","D-Xylose","D-Glucitol",0,0.999
"Stone.Chamber","D-Xylose","Succinate",0,0.999
"Stone.Chamber","D-Xylose","Citrate",0,0.997
"Stone.Chamber","D-Xylose","D-Gluconate",0,0.999
"Stone.Chamber","D-Xylose","D-Glucosamine",0,0.996
"Stone.Chamber","D-Xylose","2-Keto-D-gluconate",0,0.996
"Stone.Chamber","D-Xylose","Growth at 19°C",0,1
"Stone.Chamber","D-Xylose","Growth at 25°C",0,1
