"Isolation","Trait_A","Trait_B","Observed_NP","Percent_NP"
"Stone.Chamber","Raffinose_F","Vitamin-free",12,1
"Stone.Chamber","Raffinose_F","Starch formation",6,1
"Stone.Chamber","Raffinose_F","Growth at 19°C",65,1
"Stone.Chamber","Glucose","Raffinose",0,0.742
"Stone.Chamber","Glucose","Melibiose",0,0.916
"Stone.Chamber","Glucose","Soluble Starch",0,0.83
"Stone.Chamber","Glucose","Methanol",0,0.886
"Stone.Chamber","Glucose","Galactitol",0,0.905
"Stone.Chamber","Glucose","myo-Inositol",0,0.928
"Stone.Chamber","Glucose","Nitrate",0,0.803
"Stone.Chamber","Glucose","Vitamin-free",0,0.785
"Stone.Chamber","Glucose","Starch formation",0,0.811
"Stone.Chamber","Glucose","Growth at 19°C",0,0
"Stone.Chamber","Raffinose","Melibiose",0,0.985
"Stone.Chamber","Raffinose","Soluble Starch",13,1
"Stone.Chamber","Raffinose","Methanol",4,1
"Stone.Chamber","Raffinose","Galactitol",4,1
"Stone.Chamber","Raffinose","myo-Inositol",1,1
"Stone.Chamber","Raffinose","Nitrate",5,1
"Stone.Chamber","Raffinose","Vitamin-free",10,1
"Stone.Chamber","Raffinose","Starch formation",6,1
"Stone.Chamber","Raffinose","Growth at 19°C",53,1
"Stone.Chamber","Melibiose","Soluble Starch",20,1
"Stone.Chamber","Melibiose","Methanol",5,1
"Stone.Chamber","Melibiose","Galactitol",9,1
"Stone.Chamber","Melibiose","myo-Inositol",5,1
"Stone.Chamber","Melibiose","Nitrate",10,1
"Stone.Chamber","Melibiose","Vitamin-free",17,1
"Stone.Chamber","Melibiose","Starch formation",6,1
"Stone.Chamber","Melibiose","Growth at 19°C",71,1
"Stone.Chamber","Soluble Starch","Methanol",5,1
"Stone.Chamber","Soluble Starch","Galactitol",7,1
"Stone.Chamber","Soluble Starch","myo-Inositol",3,1
"Stone.Chamber","Soluble Starch","Nitrate",7,1
"Stone.Chamber","Soluble Starch","Vitamin-free",10,1
"Stone.Chamber","Soluble Starch","Starch formation",6,1
"Stone.Chamber","Soluble Starch","Growth at 19°C",55,1
"Stone.Chamber","Methanol","Galactitol",16,1
"Stone.Chamber","Methanol","myo-Inositol",9,1
"Stone.Chamber","Methanol","Nitrate",9,1
"Stone.Chamber","Methanol","Vitamin-free",18,1
"Stone.Chamber","Methanol","Starch formation",5,1
"Stone.Chamber","Methanol","Growth at 19°C",80,1
"Stone.Chamber","Galactitol","myo-Inositol",2,1
"Stone.Chamber","Galactitol","Nitrate",9,1
"Stone.Chamber","Galactitol","Vitamin-free",16,1
"Stone.Chamber","Galactitol","Starch formation",6,1
"Stone.Chamber","Galactitol","Growth at 19°C",68,1
"Stone.Chamber","myo-Inositol","Nitrate",10,1
"Stone.Chamber","myo-Inositol","Vitamin-free",18,1
"Stone.Chamber","myo-Inositol","Starch formation",6,1
"Stone.Chamber","myo-Inositol","Growth at 19°C",76,1
"Stone.Chamber","Nitrate","Vitamin-free",17,1
"Stone.Chamber","Nitrate","Starch formation",6,1
"Stone.Chamber","Nitrate","Growth at 19°C",74,1
"Stone.Chamber","Vitamin-free","Starch formation",5,1
"Stone.Chamber","Vitamin-free","Growth at 19°C",66,1
"Stone.Chamber","Starch formation","Growth at 19°C",80,1
"Lichen","Sucrose_F","Maltose_F",2,1
"Lichen","Sucrose_F","Lactose_F",0,0.995
"Lichen","Sucrose_F","Raffinose_F",0,0.971
"Lichen","Sucrose_F","Glucose",60,1
"Lichen","Sucrose_F","Inulin",1,1
"Lichen","Sucrose_F","Raffinose",8,1
"Lichen","Sucrose_F","myo-Inositol",5,1
"Lichen","Sucrose_F","DL-Lactate",30,1
"Lichen","Sucrose_F","Vitamin-free",8,1
"Lichen","Maltose_F","Lactose_F",0,0.996
"Lichen","Maltose_F","Raffinose_F",8,1
"Lichen","Maltose_F","Glucose",68,1
"Lichen","Maltose_F","Inulin",5,1
"Lichen","Maltose_F","Raffinose",18,1
"Lichen","Maltose_F","myo-Inositol",5,1
"Lichen","Maltose_F","DL-Lactate",37,1
"Lichen","Maltose_F","Vitamin-free",10,1
"Lichen","Lactose_F","Raffinose_F",19,1
"Lichen","Lactose_F","Glucose",89,1
"Lichen","Lactose_F","Inulin",11,1
"Lichen","Lactose_F","Raffinose",31,1
"Lichen","Lactose_F","myo-Inositol",9,1
"Lichen","Lactose_F","DL-Lactate",50,1
"Lichen","Lactose_F","Vitamin-free",18,1
"Lichen","Raffinose_F","Glucose",70,1
"Lichen","Raffinose_F","Inulin",1,1
"Lichen","Raffinose_F","Raffinose",12,1
"Lichen","Raffinose_F","myo-Inositol",6,1
"Lichen","Raffinose_F","DL-Lactate",37,1
"Lichen","Raffinose_F","Vitamin-free",12,1
"Lichen","Glucose","Inulin",0,0.803
"Lichen","Glucose","Raffinose",0,0.608
"Lichen","Glucose","myo-Inositol",0,0.89
"Lichen","Glucose","DL-Lactate",0,0.35
"Lichen","Glucose","Vitamin-free",0,0.669
"Lichen","Inulin","Raffinose",21,1
"Lichen","Inulin","myo-Inositol",8,1
"Lichen","Inulin","DL-Lactate",43,1
"Lichen","Inulin","Vitamin-free",15,1
"Lichen","Raffinose","myo-Inositol",1,1
"Lichen","Raffinose","DL-Lactate",31,1
"Lichen","Raffinose","Vitamin-free",10,1
"Lichen","myo-Inositol","DL-Lactate",43,1
"Lichen","myo-Inositol","Vitamin-free",18,1
"Lichen","DL-Lactate","Vitamin-free",7,1
"Pollen","Glucose","Inulin",0,0.742
"Pollen","Glucose","Melibiose",0,0.769
"Pollen","Glucose","Lactose",0,0.766
"Pollen","Glucose","Methanol",0,0.776
"Pollen","Glucose","Galactitol",0,0.811
"Pollen","Glucose","myo-Inositol",0,0.796
"Pollen","Glucose","DL-Lactate",0,0.221
"Pollen","Glucose","Starch formation",0,0.625
"Pollen","Inulin","Melibiose",8,1
"Pollen","Inulin","Lactose",9,1
"Pollen","Inulin","Methanol",5,1
"Pollen","Inulin","Galactitol",12,1
"Pollen","Inulin","myo-Inositol",8,1
"Pollen","Inulin","DL-Lactate",43,1
"Pollen","Inulin","Starch formation",6,1
"Pollen","Melibiose","Lactose",6,1
"Pollen","Melibiose","Methanol",5,1
"Pollen","Melibiose","Galactitol",9,1
"Pollen","Melibiose","myo-Inositol",5,1
"Pollen","Melibiose","DL-Lactate",42,1
"Pollen","Melibiose","Starch formation",6,1
"Pollen","Lactose","Methanol",5,1
"Pollen","Lactose","Galactitol",11,1
"Pollen","Lactose","myo-Inositol",5,1
"Pollen","Lactose","DL-Lactate",45,1
"Pollen","Lactose","Starch formation",5,1
"Pollen","Methanol","Galactitol",16,1
"Pollen","Methanol","myo-Inositol",9,1
"Pollen","Methanol","DL-Lactate",49,1
"Pollen","Methanol","Starch formation",5,1
"Pollen","Galactitol","myo-Inositol",2,1
"Pollen","Galactitol","DL-Lactate",41,1
"Pollen","Galactitol","Starch formation",6,1
"Pollen","myo-Inositol","DL-Lactate",43,1
"Pollen","myo-Inositol","Starch formation",6,1
"Pollen","DL-Lactate","Starch formation",5,1
"Feces.Dung","Lactose_F","Glucose",89,1
"Feces.Dung","Lactose_F","Melibiose",13,1
"Feces.Dung","Lactose_F","myo-Inositol",9,1
"Feces.Dung","Lactose_F","Starch formation",6,1
"Feces.Dung","Glucose","Melibiose",0,0.424
"Feces.Dung","Glucose","myo-Inositol",0,0.517
"Feces.Dung","Glucose","Starch formation",0,0.219
"Feces.Dung","Melibiose","myo-Inositol",5,1
"Feces.Dung","Melibiose","Starch formation",6,1
"Feces.Dung","myo-Inositol","Starch formation",6,1
"Pine","Lactose_F","Glucose",89,1
"Pine","Lactose_F","Inulin",11,1
"Pine","Glucose","Inulin",0,0.148
"Bromeliad","Galactose_F","Sucrose_F",11,1
"Bromeliad","Galactose_F","Trehalose_F",10,1
"Bromeliad","Galactose_F","Glucose",59,1
"Bromeliad","Galactose_F","Inulin",4,1
"Bromeliad","Galactose_F","Raffinose",17,1
"Bromeliad","Galactose_F","Melibiose",7,1
"Bromeliad","Galactose_F","Lactose",4,1
"Bromeliad","Galactose_F","Soluble Starch",13,1
"Bromeliad","Galactose_F","L-Arabinose",20,1
"Bromeliad","Galactose_F","D-Arabinose",13,1
"Bromeliad","Galactose_F","Methanol",3,1
"Bromeliad","Galactose_F","Galactitol",7,1
"Bromeliad","Galactose_F","myo-Inositol",5,1
"Bromeliad","Galactose_F","DL-Lactate",36,1
"Bromeliad","Galactose_F","Succinate",48,1
"Bromeliad","Galactose_F","Nitrate",7,1
"Bromeliad","Galactose_F","Growth at 37°C",39,1
"Bromeliad","Sucrose_F","Trehalose_F",10,1
"Bromeliad","Sucrose_F","Glucose",60,1
"Bromeliad","Sucrose_F","Inulin",1,1
"Bromeliad","Sucrose_F","Raffinose",8,1
"Bromeliad","Sucrose_F","Melibiose",5,1
"Bromeliad","Sucrose_F","Lactose",5,1
"Bromeliad","Sucrose_F","Soluble Starch",13,1
"Bromeliad","Sucrose_F","L-Arabinose",21,1
"Bromeliad","Sucrose_F","D-Arabinose",16,1
"Bromeliad","Sucrose_F","Methanol",4,1
"Bromeliad","Sucrose_F","Galactitol",9,1
"Bromeliad","Sucrose_F","myo-Inositol",5,1
"Bromeliad","Sucrose_F","DL-Lactate",30,1
"Bromeliad","Sucrose_F","Succinate",49,1
"Bromeliad","Sucrose_F","Nitrate",5,1
"Bromeliad","Sucrose_F","Growth at 37°C",41,1
"Bromeliad","Trehalose_F","Glucose",59,1
"Bromeliad","Trehalose_F","Inulin",4,1
"Bromeliad","Trehalose_F","Raffinose",16,1
"Bromeliad","Trehalose_F","Melibiose",5,1
"Bromeliad","Trehalose_F","Lactose",5,1
"Bromeliad","Trehalose_F","Soluble Starch",14,1
"Bromeliad","Trehalose_F","L-Arabinose",19,1
"Bromeliad","Trehalose_F","D-Arabinose",14,1
"Bromeliad","Trehalose_F","Methanol",3,1
"Bromeliad","Trehalose_F","Galactitol",7,1
"Bromeliad","Trehalose_F","myo-Inositol",6,1
"Bromeliad","Trehalose_F","DL-Lactate",37,1
"Bromeliad","Trehalose_F","Succinate",51,1
"Bromeliad","Trehalose_F","Nitrate",7,1
"Bromeliad","Trehalose_F","Growth at 37°C",41,1
"Bromeliad","Glucose","Inulin",0,0.9
"Bromeliad","Glucose","Raffinose",0,0.81
"Bromeliad","Glucose","Melibiose",0,0.933
"Bromeliad","Glucose","Lactose",0,0.93
"Bromeliad","Glucose","Soluble Starch",0,0.827
"Bromeliad","Glucose","L-Arabinose",0,0.78
"Bromeliad","Glucose","D-Arabinose",0,0.803
"Bromeliad","Glucose","Methanol",0,0.923
"Bromeliad","Glucose","Galactitol",0,0.936
"Bromeliad","Glucose","myo-Inositol",0,0.923
"Bromeliad","Glucose","DL-Lactate",0,0.648
"Bromeliad","Glucose","Succinate",0,0.406
"Bromeliad","Glucose","Nitrate",0,0.85
"Bromeliad","Glucose","Growth at 37°C",0,0.653
"Bromeliad","Inulin","Raffinose",21,1
"Bromeliad","Inulin","Melibiose",8,1
"Bromeliad","Inulin","Lactose",9,1
"Bromeliad","Inulin","Soluble Starch",25,1
"Bromeliad","Inulin","L-Arabinose",33,1
"Bromeliad","Inulin","D-Arabinose",22,1
"Bromeliad","Inulin","Methanol",5,1
"Bromeliad","Inulin","Galactitol",12,1
"Bromeliad","Inulin","myo-Inositol",8,1
"Bromeliad","Inulin","DL-Lactate",43,1
"Bromeliad","Inulin","Succinate",68,1
"Bromeliad","Inulin","Nitrate",10,1
"Bromeliad","Inulin","Growth at 37°C",57,1
"Bromeliad","Raffinose","Melibiose",0,0.993
"Bromeliad","Raffinose","Lactose",3,1
"Bromeliad","Raffinose","Soluble Starch",13,1
"Bromeliad","Raffinose","L-Arabinose",19,1
"Bromeliad","Raffinose","D-Arabinose",12,1
"Bromeliad","Raffinose","Methanol",4,1
"Bromeliad","Raffinose","Galactitol",4,1
"Bromeliad","Raffinose","myo-Inositol",1,1
"Bromeliad","Raffinose","DL-Lactate",31,1
"Bromeliad","Raffinose","Succinate",48,1
"Bromeliad","Raffinose","Nitrate",5,1
"Bromeliad","Raffinose","Growth at 37°C",42,1
"Bromeliad","Melibiose","Lactose",6,1
"Bromeliad","Melibiose","Soluble Starch",20,1
"Bromeliad","Melibiose","L-Arabinose",28,1
"Bromeliad","Melibiose","D-Arabinose",19,1
"Bromeliad","Melibiose","Methanol",5,1
"Bromeliad","Melibiose","Galactitol",9,1
"Bromeliad","Melibiose","myo-Inositol",5,1
"Bromeliad","Melibiose","DL-Lactate",42,1
"Bromeliad","Melibiose","Succinate",65,1
"Bromeliad","Melibiose","Nitrate",10,1
"Bromeliad","Melibiose","Growth at 37°C",57,1
"Bromeliad","Lactose","Soluble Starch",20,1
"Bromeliad","Lactose","L-Arabinose",28,1
"Bromeliad","Lactose","D-Arabinose",19,1
"Bromeliad","Lactose","Methanol",5,1
"Bromeliad","Lactose","Galactitol",11,1
"Bromeliad","Lactose","myo-Inositol",5,1
"Bromeliad","Lactose","DL-Lactate",45,1
"Bromeliad","Lactose","Succinate",66,1
"Bromeliad","Lactose","Nitrate",10,1
"Bromeliad","Lactose","Growth at 37°C",58,1
"Bromeliad","Soluble Starch","L-Arabinose",17,1
"Bromeliad","Soluble Starch","D-Arabinose",16,1
"Bromeliad","Soluble Starch","Methanol",5,1
"Bromeliad","Soluble Starch","Galactitol",7,1
"Bromeliad","Soluble Starch","myo-Inositol",3,1
"Bromeliad","Soluble Starch","DL-Lactate",33,1
"Bromeliad","Soluble Starch","Succinate",51,1
"Bromeliad","Soluble Starch","Nitrate",7,1
"Bromeliad","Soluble Starch","Growth at 37°C",42,1
"Bromeliad","L-Arabinose","D-Arabinose",4,1
"Bromeliad","L-Arabinose","Methanol",2,1
"Bromeliad","L-Arabinose","Galactitol",0,0.996
"Bromeliad","L-Arabinose","myo-Inositol",1,1
"Bromeliad","L-Arabinose","DL-Lactate",31,1
"Bromeliad","L-Arabinose","Succinate",40,1
"Bromeliad","L-Arabinose","Nitrate",5,1
"Bromeliad","L-Arabinose","Growth at 37°C",37,1
"Bromeliad","D-Arabinose","Methanol",3,1
"Bromeliad","D-Arabinose","Galactitol",1,1
"Bromeliad","D-Arabinose","myo-Inositol",1,1
"Bromeliad","D-Arabinose","DL-Lactate",34,1
"Bromeliad","D-Arabinose","Succinate",51,1
"Bromeliad","D-Arabinose","Nitrate",6,1
"Bromeliad","D-Arabinose","Growth at 37°C",44,1
"Bromeliad","Methanol","Galactitol",16,1
"Bromeliad","Methanol","myo-Inositol",9,1
"Bromeliad","Methanol","DL-Lactate",49,1
"Bromeliad","Methanol","Succinate",75,1
"Bromeliad","Methanol","Nitrate",9,1
"Bromeliad","Methanol","Growth at 37°C",62,1
"Bromeliad","Galactitol","myo-Inositol",2,1
"Bromeliad","Galactitol","DL-Lactate",41,1
"Bromeliad","Galactitol","Succinate",63,1
"Bromeliad","Galactitol","Nitrate",9,1
"Bromeliad","Galactitol","Growth at 37°C",54,1
"Bromeliad","myo-Inositol","DL-Lactate",43,1
"Bromeliad","myo-Inositol","Succinate",71,1
"Bromeliad","myo-Inositol","Nitrate",10,1
"Bromeliad","myo-Inositol","Growth at 37°C",59,1
"Bromeliad","DL-Lactate","Succinate",32,1
"Bromeliad","DL-Lactate","Nitrate",4,1
"Bromeliad","DL-Lactate","Growth at 37°C",27,1
"Bromeliad","Succinate","Nitrate",0,0.949
"Bromeliad","Succinate","Growth at 37°C",9,1
"Bromeliad","Nitrate","Growth at 37°C",57,1
"Flower","Glucose","myo-Inositol",0,0.14
"Cactus","Glucose","Vitamin-free",0,0.002
"Ipomoea","Glucose","Lactose",0,0.468
"Ipomoea","Glucose","Soluble Starch",0,0.121
"Ipomoea","Glucose","Methanol",0,0.382
"Ipomoea","Glucose","Erythritol",0,0.119
"Ipomoea","Glucose","myo-Inositol",0,0.479
"Ipomoea","Glucose","Vitamin-free",0,0.088
"Ipomoea","Glucose","Starch formation",0,0.178
"Ipomoea","Lactose","Soluble Starch",20,1
"Ipomoea","Lactose","Methanol",5,1
"Ipomoea","Lactose","Erythritol",18,1
"Ipomoea","Lactose","myo-Inositol",5,1
"Ipomoea","Lactose","Vitamin-free",15,1
"Ipomoea","Lactose","Starch formation",5,1
"Ipomoea","Soluble Starch","Methanol",5,1
"Ipomoea","Soluble Starch","Erythritol",12,1
"Ipomoea","Soluble Starch","myo-Inositol",3,1
"Ipomoea","Soluble Starch","Vitamin-free",10,1
"Ipomoea","Soluble Starch","Starch formation",6,1
"Ipomoea","Methanol","Erythritol",25,1
"Ipomoea","Methanol","myo-Inositol",9,1
"Ipomoea","Methanol","Vitamin-free",18,1
"Ipomoea","Methanol","Starch formation",5,1
"Ipomoea","Erythritol","myo-Inositol",2,1
"Ipomoea","Erythritol","Vitamin-free",13,1
"Ipomoea","Erythritol","Starch formation",6,1
"Ipomoea","myo-Inositol","Vitamin-free",18,1
"Ipomoea","myo-Inositol","Starch formation",6,1
"Ipomoea","Vitamin-free","Starch formation",5,1
"Oak","Glucose","Galactitol",0,0
"Hibiscus","Glucose","Lactose",0,0.68
"Hibiscus","Glucose","L-Rhamnose",0,0.431
"Hibiscus","Glucose","Methanol",0,0.641
"Hibiscus","Glucose","Erythritol",0,0.35
"Hibiscus","Glucose","myo-Inositol",0,0.684
"Hibiscus","Glucose","Starch formation",0,0.422
"Hibiscus","Lactose","L-Rhamnose",22,1
"Hibiscus","Lactose","Methanol",5,1
"Hibiscus","Lactose","Erythritol",18,1
"Hibiscus","Lactose","myo-Inositol",5,1
"Hibiscus","Lactose","Starch formation",5,1
"Hibiscus","L-Rhamnose","Methanol",3,1
"Hibiscus","L-Rhamnose","Erythritol",13,1
"Hibiscus","L-Rhamnose","myo-Inositol",1,1
"Hibiscus","L-Rhamnose","Starch formation",6,1
"Hibiscus","Methanol","Erythritol",25,1
"Hibiscus","Methanol","myo-Inositol",9,1
"Hibiscus","Methanol","Starch formation",5,1
"Hibiscus","Erythritol","myo-Inositol",2,1
"Hibiscus","Erythritol","Starch formation",6,1
"Hibiscus","myo-Inositol","Starch formation",6,1
"Beetle","Glucose","Raffinose",0,0
"Ant","Lactose_F","Trehalose_F",30,1
"Ant","Lactose_F","Glucose",89,1
"Ant","Lactose_F","Methanol",5,1
"Ant","Lactose_F","Nitrate",11,1
"Ant","Lactose_F","Starch formation",6,1
"Ant","Trehalose_F","Glucose",59,1
"Ant","Trehalose_F","Methanol",3,1
"Ant","Trehalose_F","Nitrate",7,1
"Ant","Trehalose_F","Starch formation",6,1
"Ant","Glucose","Methanol",0,0.813
"Ant","Glucose","Nitrate",0,0.688
"Ant","Glucose","Starch formation",0,0.737
"Ant","Methanol","Nitrate",9,1
"Ant","Methanol","Starch formation",5,1
"Ant","Nitrate","Starch formation",6,1
"Fruit.fly","Glucose","Erythritol",0,0.025
"Bee","Glucose","Methanol",0,0.491
"Water","Lactose_F","Raffinose_F",19,1
"Water","Lactose_F","Glucose",89,1
"Water","Lactose_F","Inulin",11,1
"Water","Lactose_F","Raffinose",31,1
"Water","Lactose_F","Melibiose",13,1
"Water","Lactose_F","Galactitol",17,1
"Water","Lactose_F","myo-Inositol",9,1
"Water","Lactose_F","Starch formation",6,1
"Water","Raffinose_F","Glucose",70,1
"Water","Raffinose_F","Inulin",1,1
"Water","Raffinose_F","Raffinose",12,1
"Water","Raffinose_F","Melibiose",6,1
"Water","Raffinose_F","Galactitol",10,1
"Water","Raffinose_F","myo-Inositol",6,1
"Water","Raffinose_F","Starch formation",6,1
"Water","Glucose","Inulin",0,0.805
"Water","Glucose","Raffinose",0,0.628
"Water","Glucose","Melibiose",0,0.851
"Water","Glucose","Galactitol",0,0.851
"Water","Glucose","myo-Inositol",0,0.888
"Water","Glucose","Starch formation",0,0.747
"Water","Inulin","Raffinose",21,1
"Water","Inulin","Melibiose",8,1
"Water","Inulin","Galactitol",12,1
"Water","Inulin","myo-Inositol",8,1
"Water","Inulin","Starch formation",6,1
"Water","Raffinose","Melibiose",0,0.979
"Water","Raffinose","Galactitol",4,1
"Water","Raffinose","myo-Inositol",1,1
"Water","Raffinose","Starch formation",6,1
"Water","Melibiose","Galactitol",9,1
"Water","Melibiose","myo-Inositol",5,1
"Water","Melibiose","Starch formation",6,1
"Water","Galactitol","myo-Inositol",2,1
